,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,F01,FAM,,Unkn,,4743.10692849324,,Unknown,Unassigned,False
,F02,FAM,,Unkn,,4802.2724654829,,Unknown,Unassigned,False
,F03,FAM,,Unkn,,4736.48505026156,,Unknown,Unassigned,False
,F04,FAM,,Unkn,,4728.73437489173,,Unknown,Unassigned,False
,F05,FAM,,Unkn,,4804.7832263905,,Unknown,Unassigned,False
,F06,FAM,,Unkn,,4877.75651379139,,Unknown,Unassigned,False
,F07,FAM,,Unkn,,4831.17518823316,,Unknown,Unassigned,False
,F08,FAM,,Unkn,,4748.12590677941,,Unknown,Unassigned,False
,F09,FAM,,Unkn,,4725.79253008319,,Unknown,Unassigned,False
,F10,FAM,,Unkn,,4779.22849210799,,Unknown,Unassigned,False
,F11,FAM,,Unkn,,4781.86297320117,,Unknown,Unassigned,False
,F12,FAM,,Unkn,,4718.00964139825,,Unknown,Unassigned,False
,G01,FAM,,Unkn,,13095.6492286609,,Unknown,Unassigned,False
,G02,FAM,,Unkn,,14281.4380675257,,Unknown,Unassigned,False
,G03,FAM,,Unkn,,9661.49309761645,,Unknown,Unassigned,False
,G04,FAM,,Unkn,,12933.4096521509,,Unknown,Unassigned,False
,G05,FAM,,Unkn,,12169.3009864617,,Unknown,Unassigned,False
,G06,FAM,,Unkn,,9994.5294025711,,Unknown,Unassigned,False
,G07,FAM,,Unkn,,10609.6054714867,,Unknown,Unassigned,False
,G08,FAM,,Unkn,,13117.8006615875,,Unknown,Unassigned,False
,G09,FAM,,Unkn,,10750.0244359134,,Unknown,Unassigned,False
,G10,FAM,,Unkn,,14217.6488180559,,Unknown,Unassigned,False
,G11,FAM,,Unkn,,13049.9228576394,,Unknown,Unassigned,False
,G12,FAM,,Unkn,,8632.47678539753,,Unknown,Unassigned,False
,H01,FAM,,Unkn,,10930.1457638821,,Unknown,Unassigned,False
,H02,FAM,,Unkn,,10762.2296837368,,Unknown,Unassigned,False
,H03,FAM,,Unkn,,8568.25731310057,,Unknown,Unassigned,False
,H04,FAM,,Unkn,,8840.03292753312,,Unknown,Unassigned,False
,H05,FAM,,Unkn,,10885.216093091,,Unknown,Unassigned,False
,H06,FAM,,Unkn,,8868.09594130465,,Unknown,Unassigned,False
,H07,FAM,,Unkn,,8075.5035897945,,Unknown,Unassigned,False
,H08,FAM,,Unkn,,8697.891722768,,Unknown,Unassigned,False
,H09,FAM,,Unkn,,12092.794188258,,Unknown,Unassigned,False
,H10,FAM,,Unkn,,9461.57104461925,,Unknown,Unassigned,False
,H11,FAM,,Unkn,,11290.150294465,,Unknown,Unassigned,False
,H12,FAM,,Unkn,,8745.09859034932,,Unknown,Unassigned,False
