,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,4713.89422900069,4505.50340137908,4441.69950400759,4454.00661226075,4530.72159304356,4570.36466614925,4567.932470194,4485.71002083115,4400.46798993454,4356.11551586884,4348.38899475827,4229.42050510266,4854.99501142697,4609.87342905114,4470.68046275449,4459.40716320262,4509.59474550507,4572.04233538387,4557.33771526339,4475.93529308605,4460.89097582462,4468.44598800256,4629.52899218178,4340.36564511975,4817.03690309056,4594.34296399303,4519.32468559143,4520.65695438963,4536.26801446431,4623.96570595605,4616.75161899412,4543.98606107795,4493.82057257406,4497.03438244568,4588.31117157751,4452.65182878433,4904.06441930709,4498.6055729526,4507.39629903105,4511.81517683751,4562.69082493871,4561.57531664868,4563.4788863248,4584.39205221263,4534.22941502344,4504.24226938939,4489.93577852732,4407.46686272166,4983.77656334745,4637.53263357236,4529.78639734832,4549.76313496167,4594.69786534943,4588.07634734133,4582.13045799781,4560.83928707672,4540.54787068451,4534.40920444074,4476.61959559219,4423.33640555343,4818.77198013558,4525.73195830735,4533.22783953367,4513.35173823028,4588.13685239681,4593.2451863035,4628.77009004261,4555.89842938839,4530.84322523923,4531.07655893188,4579.89914614834,4424.95027256409,4834.36574512725,4665.97651112437,4633.37798480555,4524.7212487686,4596.83186553856,4710.43166687348,4807.47456572126,4616.69870319479,4538.76953398583,4620.22005004103,4596.54728739709,4370.91047094885,4176.81789686865,4344.52791978715,4473.70115746512,4418.61391237804,4536.99277405612,4567.12070678308,4608.42620276972,4527.92144120936,4467.78276682437,4409.90604550133,4433.29729900076,4311.97662124771
,2,5263.32633999104,4799.82219738197,4606.14484157346,4629.71810900202,4703.58009836113,4735.28081029435,4739.06741693531,4660.82357250863,4585.75611297003,4533.12279793373,4519.34726766502,4405.83239683869,5408.63942196826,4937.39780842863,4656.66284998337,4623.64330023366,4654.03692554754,4722.67266552485,4718.85407552454,4643.55501027282,4617.84549215601,4635.31852594011,4810.52261616943,4503.39796063986,5372.30773814045,4884.96823680111,4654.71433301719,4650.80240161021,4660.41544986093,4742.34247459252,4735.9056388094,4656.76771812964,4607.47796753694,4604.1127758651,4697.92503972246,4552.08287270802,5492.12846197918,4730.45274412514,4610.9268593312,4614.82925859673,4651.6301997251,4662.24278459875,4640.21973750707,4669.47073367552,4614.38993191843,4580.9305938055,4569.44812411993,4484.00550102716,5586.13830725142,4897.94343593696,4622.38834160024,4633.8740811158,4679.34602514693,4661.71192418444,4669.24213920259,4634.30168496658,4615.57401792667,4611.29077819145,4541.58511035907,4497.91282377574,5265.57620947299,4694.68827160536,4617.40055704812,4590.7394890604,4677.01763948469,4681.81888995964,4711.97462451583,4626.92928400399,4598.80588247636,4609.67899039183,4647.4023657602,4493.85343577738,5297.12857202403,4857.42806404748,4715.75562164037,4611.73341219689,4675.84651427029,4790.69832649233,4880.65439670993,4689.01284514509,4609.77997153287,4688.54342064667,4674.68412830607,4453.46566656787,4245.62725602772,4415.32276028335,4562.04227468433,4491.60561548493,4612.82615965077,4654.24691468076,4680.34522076661,4609.60467782567,4544.4477801354,4485.19027083484,4514.20494663997,4382.93487330173
,3,5882.96506613813,5117.77640187473,4713.35600889133,4747.07381466694,4852.82203668077,4883.57363070691,4881.50664375803,4803.07371102715,4729.24949087293,4678.47279986714,4664.9061136766,4555.56306078105,6012.58059379135,5267.96124788735,4773.01370628123,4749.56218677373,4794.66425719876,4852.96374862392,4853.03050655044,4769.11733692517,4759.09234579971,4782.45701933311,4928.59071880932,4644.86721738277,5998.96177152943,5167.55511965995,4790.70989942306,4795.52320333566,4795.99249773054,4901.7629699706,4884.25448270877,4799.72967550467,4739.30892851056,4755.37421210798,4853.25676112198,4708.07922647402,6119.47054727385,4995.73207164926,4726.59377760966,4732.10107631177,4761.22806559478,4732.41992837316,4735.01690317564,4780.0870010508,4722.84265734511,4691.55984952517,4693.55692503804,4571.907550828,6208.31746918116,5128.47844282768,4676.35446425877,4691.48395296811,4737.71407946648,4715.24052958371,4722.24611574212,4689.87151271837,4678.14665293138,4674.02565560279,4609.70080796713,4549.36498516825,5702.99589028263,4860.64148433756,4668.07641550354,4627.48560529377,4731.5869398699,4733.79477315248,4755.73353027232,4678.93989056547,4650.29271780604,4644.04205947008,4699.97947533133,4547.73517147747,5754.04518248507,5029.45841427362,4765.18417233992,4654.89543180718,4725.66790371129,4840.91283445537,4922.58513078714,4738.33652012888,4657.77843693471,4735.20424640082,4724.66620572383,4502.83328003637,4287.78410073529,4452.14104593269,4607.18884207433,4543.72519190324,4660.88976077009,4692.89723556232,4743.16836174385,4672.05966083874,4587.5866826994,4535.64311434129,4557.10206901676,4434.95471046502
,4,6538.67497035334,5437.15004819627,4837.38401379896,4823.78195615316,4927.74455580826,4971.30549359182,4984.017899735,4921.78123907182,4829.30662566305,4777.86197028293,4746.3268551069,4647.2348174331,6664.51417034003,5633.53213054531,4876.4914234385,4824.06669110244,4877.47066374142,4936.66731879088,4929.81482309241,4861.03569532653,4860.50120798823,4876.60727294751,5017.16524908794,4727.95079636272,6696.36752413247,5496.89526276875,4882.79730881392,4904.19772266998,4902.30180428937,4991.68282999691,4989.94092116475,4894.73756674342,4837.47727946801,4860.29929657623,4954.09168791635,4822.43958490278,6828.32199722477,5289.58889831165,4846.9256371829,4848.86312550234,4871.74745485146,4853.18226445105,4852.44219341353,4895.40806960155,4842.58036012588,4817.92222265138,4815.78487273995,4702.79208936351,6898.99285596531,5406.07929720966,4742.18178057406,4757.72895815893,4796.90955343507,4775.51422975931,4771.99310543853,4738.86063856857,4725.94134192963,4745.40735301032,4655.37632854223,4606.59158682403,6149.46027228653,4978.82013352573,4706.35564018449,4678.87798861019,4756.19377496147,4783.55894724741,4795.38467195355,4723.81335262309,4699.72240744821,4693.38159980836,4741.48490862822,4595.49141009932,6219.30073067871,5206.1713598845,4803.16557728018,4697.92501403871,4771.67015599602,4890.18822281105,4956.08904213725,4776.5024640737,4706.44367991194,4768.97217123609,4759.12546821023,4530.39290225377,4317.39781920836,4475.62252164768,4649.96584131377,4584.49683788805,4705.75630593438,4728.10491580957,4782.17288708973,4696.92572499171,4637.09162554405,4570.80987542932,4587.64039951688,4473.56849242608
,5,7233.17905588008,5776.9892444972,4902.27191898572,4905.3324782819,5002.59841304847,5045.58168501315,5046.48831465353,4982.86641515387,4889.07579388095,4821.82360409961,4806.07589783523,4707.91830842601,7338.18763992526,6007.90575445322,4945.08059490537,4900.53373621312,4961.142882124,4995.77589687522,4998.51359178489,4918.03074576437,4930.75800561411,4936.52204196441,5054.91646229035,4781.6053940709,7424.67504917468,5846.87293256145,4948.32959204141,4957.73568306608,4962.14572775214,5054.64422534616,5044.51036522928,4958.11026771465,4915.50001294403,4919.10730145967,5000.74042404318,4895.63368166906,7578.0691435239,5599.40894737052,4901.82706628121,4908.43472575305,4934.78807785785,4917.79667726785,4926.84869091581,4964.2059888432,4926.16486840287,4896.12510257396,4882.14194804316,4788.25877831512,7626.86984004088,5701.8388417441,4850.40889228547,4854.25904300848,4899.29799410381,4877.03518375344,4879.97720979838,4846.32944404309,4839.9736872283,4852.95379191971,4765.46293802162,4704.07171892062,6614.51058001277,5130.84789689381,4766.87984392174,4708.1692244791,4802.48186039309,4821.58322477337,4837.89545920779,4765.0787079468,4735.69849244337,4738.47534370304,4776.98410224505,4625.81767879717,6694.70672277293,5378.62714811044,4842.0292253571,4729.3854345466,4800.97469986645,4912.98409867711,4996.04768844203,4816.36920799333,4734.35971035516,4805.83613551557,4791.96675655442,4566.58948908671,4333.41683268761,4491.84830539129,4672.18480765658,4627.78705687301,4745.67005571386,4771.18929859805,4797.95407663743,4737.49394225862,4665.0675886937,4602.02152466113,4618.76158897197,4499.14863532463
,6,7952.32714752235,6115.56070238525,4951.30695362176,4955.35036836987,5074.83745591387,5099.19189629053,5109.1811011306,5033.3026675796,4936.47239474243,4852.21678345789,4832.33940049639,4740.17413990688,8054.68154755993,6403.00768791535,4990.71361087281,4977.45816410973,5018.22136093039,5049.54739059836,5064.75947351511,4986.71575298572,4970.20938387302,4976.59498189325,5090.56110501869,4805.27893614029,8204.23233812563,6216.96460659012,5011.63310823231,5001.58769196835,5022.1246132243,5103.07239131042,5101.77847573763,5018.09215981006,4955.31991679258,4960.92504055061,5041.95455272326,4933.16279197351,8411.89192525247,5940.08355912135,4940.2987935723,4959.96949378274,5000.12622071062,4974.44161569701,4994.13493281845,5030.32382073608,4975.26268707985,4929.92923252253,4925.7786379797,4829.91770947736,8404.38076644281,6014.04760267093,4913.91131255882,4933.18230509079,4970.70913581078,4941.86405713493,4950.1102507097,4927.67376815662,4917.50982762129,4926.60692144807,4836.9773553008,4785.26769113969,7032.11043574953,5290.39666531892,4857.48152265068,4803.46391256974,4895.34029155523,4899.64399354032,4929.45713012232,4861.06452940024,4837.7164148831,4828.06506993213,4864.59321550452,4684.91872491169,7191.18041083868,5560.77779751984,4879.96515284198,4769.75330543442,4844.33064447605,4951.13119545205,5049.21131027588,4848.9462210074,4772.30860235921,4838.01237188951,4815.23053431816,4591.80242295376,4354.97025520113,4514.53175911474,4713.03967485605,4650.37009906966,4771.79224542423,4803.24892694056,4851.96531950452,4763.75022792493,4692.23577882484,4631.58076787811,4645.63990741634,4566.19217932159
,7,8682.77189403366,6476.05340894343,5008.60896422606,5022.94265500356,5127.56094535978,5119.25948837159,5129.52578116704,5069.83986971866,4988.05997580073,4895.09901421832,4860.53953490757,4773.47191177484,8794.60222509137,6800.16734900541,5039.28821133914,5022.75206181499,5079.31776241905,5102.20722219612,5124.57894985146,5046.8741674518,5009.97913997884,5003.56665773344,5133.98196615568,4836.50955838649,9012.08529724123,6615.1834169603,5057.48370037272,5045.0189977569,5059.17760955523,5140.88657346208,5151.16916901398,5070.44874372145,5002.46008866115,4994.78757473815,5068.72840221107,4957.03251659347,9274.27490826367,6290.68246128303,4985.63554500423,4998.02321574567,5048.06804437979,5026.13624777147,5032.20278672642,5068.2955079681,5018.01692686737,4959.7270183817,4941.17044951749,4859.01860048583,9229.90677475798,6353.64501072797,4967.98660655178,4971.39462165071,5033.43498155496,5001.34754919635,5007.32984375868,4975.50665114578,4959.52005347188,4958.80183423474,4884.02257583554,4828.62501607209,7525.97476136843,5458.10646805525,4916.47178205512,4876.39027381204,4959.57100953007,4967.58148907356,4994.81484421714,4929.58758319195,4908.09051573178,4901.50516333745,4923.26671963029,4779.05888118888,7692.43771776104,5740.68486851949,4963.54058152779,4845.56776575474,4928.70985753849,5036.99228762066,5126.62302564444,4921.48150706814,4837.87035858916,4909.6694172983,4874.25818812429,4669.30377424603,4383.44720789625,4527.2643713848,4762.30598751422,4707.50570737791,4822.57327470597,4850.34111380395,4867.62351820856,4802.82265394601,4732.75259076002,4661.24940616534,4676.39178668053,4657.25944719591
,8,9445.04514056097,6826.63218594701,5041.73333916592,5057.44460986542,5165.08011919227,5174.9557376734,5181.29905306241,5111.44171579999,5012.08234547389,4923.68878733001,4882.46096451171,4798.69388223805,9560.33678371449,7228.35651831324,5085.46407845794,5057.26529681712,5112.62932653523,5163.04428024865,5174.03135000404,5088.85912597455,5042.36342863778,5042.32538132183,5144.71943141631,4877.28173815043,9844.88005854988,7016.82829763602,5097.74042885122,5076.82457847789,5096.2379945013,5204.12508848194,5207.31629802594,5107.08886158358,5023.60386189946,5020.48758820833,5094.25225996811,4994.71619067845,10190.538057058,6668.92249251782,5018.02966502677,5030.11787792973,5086.8779071341,5069.35979217524,5059.86902861976,5106.21915853509,5035.99194049125,4979.40111284091,4974.6239898347,4885.9562032941,10081.4176514116,6699.12099479503,4999.15814364537,5002.05090742602,5067.9056557786,5037.15252014885,5036.73691832812,5011.24591065789,4991.81779942062,4989.39227150406,4905.25336934994,4863.41329454188,8065.72596720165,5624.98614189867,4959.59113190797,4913.58635778456,5008.64948045005,5013.65439639558,5046.9722716436,4969.41868553921,4937.00825268564,4943.7913659753,4964.32405629009,4816.07972270184,8214.35271154383,5929.25083452612,5020.61222327789,4917.02975574292,4982.69854672612,5087.2048707723,5184.49086131177,4989.22074191325,4898.75194833678,4971.84874376456,4945.38916230807,4764.07063817088,4396.79738901025,4557.3233919043,4824.88588718707,4772.26256399612,4888.45035040005,4933.41984676913,4952.63780131031,4891.06819422262,4792.6413261834,4735.68486393022,4735.62142559523,4710.37666657127
,9,10209.4739684273,7191.8060988904,5088.21514758448,5109.17854048852,5179.62774381417,5222.49880529268,5211.3687659331,5146.01051642439,5038.83539290779,4953.13979858079,4921.69406828564,4818.63204499337,10348.9875667465,7653.27814273895,5132.64264401184,5091.11446851197,5154.86985197817,5215.48860073542,5213.38190213567,5125.36793065146,5088.01225743056,5076.19007837312,5176.05974265964,4900.44403326706,10699.3316208223,7459.09551969798,5129.57960772312,5106.92720051542,5131.49102263762,5252.89517724022,5244.83996077227,5145.22973469899,5062.06714064601,5046.93329629649,5125.38940162517,5022.27054248952,11147.1348743672,7048.77342775677,5041.45674691174,5058.1264746455,5114.14104848652,5099.05250498038,5091.84935971555,5130.24080119362,5074.06138776036,5009.21491102707,4991.27976152099,4906.8963174626,11013.3432968912,7073.78550674168,5029.04742107993,5054.6486549319,5104.05522545307,5070.76227731706,5062.9727517737,5043.51548320284,5015.08128512078,5003.70660782037,4925.02797570371,4883.86754679706,8588.84421206863,5811.09397403025,4989.92302335955,4951.01742085275,5059.96761247817,5058.38197292188,5083.03090238943,5004.43701957662,4975.77384265033,4957.22237885017,4981.07012148853,4847.43895282163,8734.69896561873,6126.86118986059,5066.57439057298,4946.21584203726,5024.83483756647,5133.2463769386,5227.34753401877,5020.92211690248,4941.7776846261,5009.78104202168,4993.04791598523,4801.19068806899,4418.50929648425,4571.01749573174,4876.83832307249,4823.43964042026,4943.64465402863,4986.21586545065,5007.33510511833,4942.06723570971,4863.69794457579,4801.00216915648,4802.91839053632,4745.35313411073
,10,10956.5203627363,7551.0918754512,5111.25629028703,5145.40720104461,5225.77831599362,5258.76344398987,5258.50699942652,5159.83857208109,5078.92333235401,4974.9263918871,4940.21045052276,4848.6422286623,11143.2199997771,8079.87374444059,5151.75785896879,5136.36183527624,5180.85429813467,5242.28303438249,5237.05418129178,5147.79850725573,5120.99548503451,5100.56180620081,5212.04154706763,4913.58076569927,11574.2658199251,7873.97580810252,5164.65162032461,5131.36425602117,5156.01697469624,5294.95532530975,5273.00494244358,5171.21072525861,5078.89133645022,5069.90745331982,5152.33674575905,5039.87669421285,12118.5384255103,7445.36290599104,5074.5700394561,5086.59106309182,5147.82255200578,5121.80502667098,5123.71625195062,5165.89707503168,5089.88033998694,5031.99568806219,5017.57032562067,4935.48347444957,11915.5472223883,7457.45104789872,5050.1052282892,5069.50835681373,5128.69193530743,5104.89502963047,5092.01674711089,5063.07141627735,5038.7531348238,5043.37095880262,4939.79489798092,4892.8215908278,9153.4243471713,5981.60542365333,5013.73210071472,4974.36604566242,5068.16849402311,5076.53987633916,5101.67533225646,5029.30449008581,4991.34923148967,4992.45276535701,5019.53248787953,4860.45978658484,9294.66041444056,6315.28778917655,5095.63111309423,4980.15526456713,5056.66736335725,5155.1034678585,5258.33616414002,5061.48835008138,4973.23117397316,5039.53239271682,5017.8664037412,4831.27466656636,4425.18297704268,4591.50965476532,4900.32409581509,4855.03757783603,4983.9398719562,5019.66839814649,5044.34253364563,4968.75336713322,4902.43485183028,4828.84775339658,4846.52413496932,4766.74095367147
