sample_id,concentration,NEBuffer
1a,10,NEBuffer 4 (fresh)
1b,10,NEBuffer 4 + 2.1 (fresh)
1c,10,NEBuffer 4 (thawed)
2a,5,NEBuffer 4 (fresh)
2b,5,NEBuffer 4 + 2.1 (fresh)
2c,5,NEBuffer 4 (thawed)
3a,2.5,NEBuffer 4 (fresh)
3b,2.5,NEBuffer 4 + 2.1 (fresh)
3c,2.5,NEBuffer 4 (thawed)
4a,1.25,NEBuffer 4 (fresh)
4b,1.25,NEBuffer 4 + 2.1 (fresh)
4c,1.25,NEBuffer 4 (thawed)
5a,0.625,NEBuffer 4 (fresh)
5b,0.625,NEBuffer 4 + 2.1 (fresh)
5c,0.625,NEBuffer 4 (thawed)
6a,0.3125,NEBuffer 4 (fresh)
6b,0.3125,NEBuffer 4 + 2.1 (fresh)
6c,0.3125,NEBuffer 4 (thawed)
7a,0.15625,NEBuffer 4 (fresh)
7b,0.15625,NEBuffer 4 + 2.1 (fresh)
7c,0.15625,NEBuffer 4 (thawed)
8a,0.078125,NEBuffer 4 (fresh)
8b,0.078125,NEBuffer 4 + 2.1 (fresh)
8c,0.078125,NEBuffer 4 (thawed)
9a,0.0390625,NEBuffer 4 (fresh)
9b,0.0390625,NEBuffer 4 + 2.1 (fresh)
9c,0.0390625,NEBuffer 4 (thawed)
10a,0.01953125,NEBuffer 4 (fresh)
10b,0.01953125,NEBuffer 4 + 2.1 (fresh)
10c,0.01953125,NEBuffer 4 (thawed)
11a,0.009765625,NEBuffer 4 (fresh)
11b,0.009765625,NEBuffer 4 + 2.1 (fresh)
11c,0.009765625,NEBuffer 4 (thawed)
12a,0,NEBuffer 4 (fresh)
12b,0,NEBuffer 4 + 2.1 (fresh)
12c,0,NEBuffer 4 (thawed)
