PlateRepeat,Well,Label,MeasTime,Signal,Result
1,A01,US LUM 96 (cps) - GC AL EC - 10s(1),00:00.0,51101288,5110129
2,A01,US LUM 96 (cps) - GC AL EC - 10s(1),02:47.4,44853428,4485343
3,A01,US LUM 96 (cps) - GC AL EC - 10s(1),05:34.7,47232012,4723201
4,A01,US LUM 96 (cps) - GC AL EC - 10s(1),08:22.0,51124632,5112463
5,A01,US LUM 96 (cps) - GC AL EC - 10s(1),11:09.4,52942940,5294294
6,A01,US LUM 96 (cps) - GC AL EC - 10s(1),13:56.8,54693360,5469336
7,A01,US LUM 96 (cps) - GC AL EC - 10s(1),16:44.1,55523964,5552396
8,A01,US LUM 96 (cps) - GC AL EC - 10s(1),19:31.4,56432376,5643238
9,A01,US LUM 96 (cps) - GC AL EC - 10s(1),22:18.7,57252972,5725297
10,A01,US LUM 96 (cps) - GC AL EC - 10s(1),25:06.1,57932476,5793248
11,A01,US LUM 96 (cps) - GC AL EC - 10s(1),27:53.4,58455808,5845581
12,A01,US LUM 96 (cps) - GC AL EC - 10s(1),30:40.7,58682876,5868288
13,A01,US LUM 96 (cps) - GC AL EC - 10s(1),33:28.1,58940236,5894024
14,A01,US LUM 96 (cps) - GC AL EC - 10s(1),36:15.4,59060856,5906086
15,A01,US LUM 96 (cps) - GC AL EC - 10s(1),39:02.8,59271220,5927122
16,A01,US LUM 96 (cps) - GC AL EC - 10s(1),41:50.2,59115772,5911577
17,A01,US LUM 96 (cps) - GC AL EC - 10s(1),44:37.5,59105460,5910546
18,A01,US LUM 96 (cps) - GC AL EC - 10s(1),47:24.8,59018780,5901878
19,A01,US LUM 96 (cps) - GC AL EC - 10s(1),50:12.1,57301988,5730199
20,A01,US LUM 96 (cps) - GC AL EC - 10s(1),52:59.5,58932232,5893223
21,A01,US LUM 96 (cps) - GC AL EC - 10s(1),55:46.9,58876368,5887637
22,A01,US LUM 96 (cps) - GC AL EC - 10s(1),58:34.2,58690620,5869062
23,A01,US LUM 96 (cps) - GC AL EC - 10s(1),01:21.5,58644368,5864437
24,A01,US LUM 96 (cps) - GC AL EC - 10s(1),04:08.9,58639152,5863915
25,A01,US LUM 96 (cps) - GC AL EC - 10s(1),06:56.2,58504560,5850456
26,A01,US LUM 96 (cps) - GC AL EC - 10s(1),09:43.5,58802752,5880275
27,A01,US LUM 96 (cps) - GC AL EC - 10s(1),12:30.8,58415560,5841556
28,A01,US LUM 96 (cps) - GC AL EC - 10s(1),15:18.2,56568464,5656846
29,A01,US LUM 96 (cps) - GC AL EC - 10s(1),18:05.5,58096680,5809668
30,A01,US LUM 96 (cps) - GC AL EC - 10s(1),20:52.9,58371344,5837134
