PlateRepeat,Well,Label,MeasTime,Signal,Result
1,G01,US LUM 96 (cps) - GC AL EC - 10s(1),00:00.0,29964,2996
2,G01,US LUM 96 (cps) - GC AL EC - 10s(1),02:06.1,24404,2440
3,G01,US LUM 96 (cps) - GC AL EC - 10s(1),04:12.2,19104,1910
4,G01,US LUM 96 (cps) - GC AL EC - 10s(1),06:18.4,15764,1576
5,G01,US LUM 96 (cps) - GC AL EC - 10s(1),08:24.4,12884,1288
6,G01,US LUM 96 (cps) - GC AL EC - 10s(1),10:30.5,10384,1038
7,G01,US LUM 96 (cps) - GC AL EC - 10s(1),12:36.6,8648,865
8,G01,US LUM 96 (cps) - GC AL EC - 10s(1),14:42.7,7076,708
9,G01,US LUM 96 (cps) - GC AL EC - 10s(1),16:48.8,6060,606
10,G01,US LUM 96 (cps) - GC AL EC - 10s(1),18:55.0,5032,503
11,G01,US LUM 96 (cps) - GC AL EC - 10s(1),21:01.0,4100,410
12,G01,US LUM 96 (cps) - GC AL EC - 10s(1),23:07.2,3528,353
13,G01,US LUM 96 (cps) - GC AL EC - 10s(1),25:13.3,3108,311
14,G01,US LUM 96 (cps) - GC AL EC - 10s(1),27:19.5,2640,264
15,G01,US LUM 96 (cps) - GC AL EC - 10s(1),29:25.7,2416,242
16,G01,US LUM 96 (cps) - GC AL EC - 10s(1),31:31.8,2084,208
17,G01,US LUM 96 (cps) - GC AL EC - 10s(1),33:37.9,1912,191
18,G01,US LUM 96 (cps) - GC AL EC - 10s(1),35:44.1,1780,178
19,G01,US LUM 96 (cps) - GC AL EC - 10s(1),37:50.2,1624,162
20,G01,US LUM 96 (cps) - GC AL EC - 10s(1),39:56.3,1524,152
21,G01,US LUM 96 (cps) - GC AL EC - 10s(1),42:02.5,1396,140
22,G01,US LUM 96 (cps) - GC AL EC - 10s(1),44:08.6,1216,122
23,G01,US LUM 96 (cps) - GC AL EC - 10s(1),46:14.7,1200,120
24,G01,US LUM 96 (cps) - GC AL EC - 10s(1),48:20.8,1204,120
25,G01,US LUM 96 (cps) - GC AL EC - 10s(1),50:26.9,1104,110
26,G01,US LUM 96 (cps) - GC AL EC - 10s(1),52:33.0,1076,108
27,G01,US LUM 96 (cps) - GC AL EC - 10s(1),54:39.1,1152,115
