
Basic assay information 
Assay ID: ,,,,314
Assay Started: ,,,,11/26/2019 5:35:23 PM
Assay Finished: ,,,,11/26/2019 5:37:18 PM
Assay Exported: ,,,,11/26/2019 5:52:43 PM
Protocol ID: ,,,,100129
Protocol Name: ,,,,384-well plate with the optimized 384 Corning (white plate)
Serial#: ,,,,="1050194"



Protocol information
Instrument nickname,,,,EnVision
Instrument serial number,,,,1050194
Assay started,,,,11/26/2019 5:35:23 PM
User,,,,N/A
Assay ID,,,,314
Protocol name,,,,384-well plate with the optimized 384 Corning (white plate)
Plate name,,,,384 Corning (white plate and bottom  cylindrical)

Labels:
Label name,,,,US LUM 384 (cps)
 Aperture:
 Aperture name,,,,384 Plate US Luminescence aperture




Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,"=""""",11.08,23.68,23.68,35.2,35.2,23.08,23.18,11/26/2019 5:37:01 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,US LUM 384 (cps),0,48,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),

PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,
1,1,"="""="""""""",1,A01,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:00.000,426656,0.1,4266560,,
1,1,"="""="""""""",N/A,A01,-,N/A,0,0,0,0,0,N/A,N/A,N/A,4266560,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A02,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:00.202,15500,0.1,155000,,
1,1,"="""="""""""",N/A,A02,-,N/A,0,0,0,0,0,N/A,N/A,N/A,155000,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A03,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:00.423,229228,0.1,2292280,,
1,1,"="""="""""""",N/A,A03,-,N/A,0,0,0,0,0,N/A,N/A,N/A,2292280,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A04,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:00.655,20588,0.1,205880,,
1,1,"="""="""""""",N/A,A04,-,N/A,0,0,0,0,0,N/A,N/A,N/A,205880,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A05,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:00.888,75952,0.1,759520,,
1,1,"="""="""""""",N/A,A05,-,N/A,0,0,0,0,0,N/A,N/A,N/A,759520,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A06,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:01.081,16140,0.1,161400,,
1,1,"="""="""""""",N/A,A06,-,N/A,0,0,0,0,0,N/A,N/A,N/A,161400,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A07,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:01.274,36744,0.1,367440,,
1,1,"="""="""""""",N/A,A07,-,N/A,0,0,0,0,0,N/A,N/A,N/A,367440,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A08,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:01.468,7688,0.1,76880,,
1,1,"="""="""""""",N/A,A08,-,N/A,0,0,0,0,0,N/A,N/A,N/A,76880,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A09,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:01.660,18128,0.1,181280,,
1,1,"="""="""""""",N/A,A09,-,N/A,0,0,0,0,0,N/A,N/A,N/A,181280,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A10,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:01.854,3756,0.1,37560,,
1,1,"="""="""""""",N/A,A10,-,N/A,0,0,0,0,0,N/A,N/A,N/A,37560,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A11,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:02.048,10912,0.1,109120,,
1,1,"="""="""""""",N/A,A11,-,N/A,0,0,0,0,0,N/A,N/A,N/A,109120,Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps)(1) channel 1,
1,1,"="""="""""""",1,A12,-,US LUM 384 (cps)(1),0,0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,00:00:02.241,1900,0.1,19000,,
