Protocol Description
,Protocol name: amy-enliten-detectr044
,Result File name: \Thumb Drive\Promega\Data\CSV\1hrinc-25m_amy-enliten-detectr044_12-6-2019_8-07-09 PM.csv
,Total steps: 1


Step 1,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,X,X,X,X,X,X,1543220,105697,X,38.6001,X,X
,B,X,X,X,X,X,X,22754.9,17323.1,X,30.1,X,X
,C,X,X,X,X,X,X,3382.88,8292.49,X,36.5001,X,X
,D,X,X,X,X,X,X,812.528,7615.24,X,27.2,X,X
,E,X,X,X,X,X,X,816.128,5757.89,X,29.1,X,X
,F,X,X,X,X,X,X,810.828,6662.66,X,31.5,X,X
,G,X,X,X,X,X,X,824.529,9789.72,X,30.5,X,X
,H,X,X,X,X,X,X,774.125,7372.78,X,30.3,X,X


Notes for the assay run: Enter Notes
