Protocol Description
,Protocol name: amy-enliten-detectr044
,Result File name: \Thumb Drive\Promega\Data\CSV\amp0hr_amy-enliten-detectr044_12-6-2019_7-09-19 PM.csv
,Total steps: 1


Step 1,Luminescence,100µl per well (Injector 1) 2sec. ,50µl per well (Injector 2) 2sec. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,X,X,X,150141,X,X,X,X,X,X,X,X
,B,X,X,X,186342,X,X,X,X,X,X,X,X
,C,X,X,X,330556,X,X,X,X,X,X,X,X
,D,X,X,X,412263,X,X,X,X,X,X,X,X
,E,X,X,X,425075,X,X,X,X,X,X,X,X
,F,X,X,X,322266,X,X,X,X,X,X,X,X
,G,X,X,X,319932,X,X,X,X,X,X,X,X
,H,X,X,X,278286,X,X,X,X,X,X,X,X

,Read 2
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,X,X,X,13880.6,X,X,X,X,X,X,X,X
,B,X,X,X,13498.3,X,X,X,X,X,X,X,X
,C,X,X,X,21016.7,X,X,X,X,X,X,X,X
,D,X,X,X,24649.7,X,X,X,X,X,X,X,X
,E,X,X,X,23315.8,X,X,X,X,X,X,X,X
,F,X,X,X,22784,X,X,X,X,X,X,X,X
,G,X,X,X,18094.7,X,X,X,X,X,X,X,X
,H,X,X,X,15832,X,X,X,X,X,X,X,X

Results
,A1,,A2,,A3,,A4,,A5,,A6,,A7,,A8,,A9,,A10,,A11,,A12,,B1,,B2,,B3,,B4,,B5,,B6,,B7,,B8,,B9,,B10,,B11,,B12,,C1,,C2,,C3,,C4,,C5,,C6,,C7,,C8,,C9,,C10,,C11,,C12,,D1,,D2,,D3,,D4,,D5,,D6,,D7,,D8,,D9,,D10,,D11,,D12,,E1,,E2,,E3,,E4,,E5,,E6,,E7,,E8,,E9,,E10,,E11,,E12,,F1,,F2,,F3,,F4,,F5,,F6,,F7,,F8,,F9,,F10,,F11,,F12,,G1,,G2,,G3,,G4,,G5,,G6,,G7,,G8,,G9,,G10,,G11,,G12,,H1,,H2,,H3,,H4,,H5,,H6,,H7,,H8,,H9,,H10,,H11,,H12,
,,,,,,,150141,13880.6,,,,,,,,,,,,,,,,,,,,,,,186342,13498.3,,,,,,,,,,,,,,,,,,,,,,,330556,21016.7,,,,,,,,,,,,,,,,,,,,,,,412263,24649.7,,,,,,,,,,,,,,,,,,,,,,,425075,23315.8,,,,,,,,,,,,,,,,,,,,,,,322266,22784,,,,,,,,,,,,,,,,,,,,,,,319932,18094.7,,,,,,,,,,,,,,,,,,,,,,,278286,15832,,,,,,,,,,,,,,,,


Notes for the assay run: Enter Notes
