Protocol Description
,Protocol name: amy-enliten-detectr044
,Result File name: \Thumb Drive\Promega\Data\CSV\enlitenstds_amy-enliten-detectr044_12-6-2019_4-03-37 PM.csv
,Total steps: 1


Step 1,Luminescence,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics
Results
,Well,Read 1,Read 2,Read 3,Read 4,Read 5,Read 6
,A1,1.89047E+07,1.86538E+07,1.84611E+07,1.83359E+07,1.80941E+07,1.78762E+07
,A2,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07
,A3,1.93808E+07,1.89636E+07,1.88637E+07,1.86211E+07,1.86473E+07,1.81271E+07
,A4,
,A5,
,A6,
,A7,
,A8,
,A9,
,A10,
,A11,
,A12,
,B1,1827960,1828920,1820970,1795270,1784950,1775570
,B2,1731420,1723400,1720140,1742560,1693070,1722060
,B3,1588090,1595510,1634550,1596850,1567990,1551360
,B4,
,B5,
,B6,
,B7,
,B8,
,B9,
,B10,
,B11,
,B12,
,C1,579738,578283,572975,566600,563633,559782
,C2,506107,505216,499594,497910,499061,491078
,C3,465422,467054,464558,459031,454016,454418
,C4,
,C5,
,C6,
,C7,
,C8,
,C9,
,C10,
,C11,
,C12,
,D1,341836,341548,340392,334000,336256,333686
,D2,338175,338801,336364,334911,332987,330593
,D3,327322,321108,319054,315700,313177,310380
,D4,
,D5,
,D6,
,D7,
,D8,
,D9,
,D10,
,D11,
,D12,
,E1,298982,298599,300100,296738,292298,290924
,E2,310128,307508,305919,304469,301228,299228
,E3,299623,296710,295132,294704,290512,288400
,E4,
,E5,
,E6,
,E7,
,E8,
,E9,
,E10,
,E11,
,E12,
,F1,284780,281488,278943,279982,275934,273104
,F2,282412,280707,279192,277196,276076,272265
,F3,283300,282500,283756,277208,274681,273034
,F4,
,F5,
,F6,
,F7,
,F8,
,F9,
,F10,
,F11,
,F12,
,G1,262866,261681,259372,257041,257064,256828
,G2,266492,261832,262622,261019,259001,256757
,G3,260884,261636,261256,255875,256880,253396
,G4,
,G5,
,G6,
,G7,
,G8,
,G9,
,G10,
,G11,
,G12,
,H1,251619,249164,248201,248102,245204,247015
,H2,252330,248691,251238,246164,244774,243823
,H3,252728,252497,251139,247753,244659,244604
,H4,
,H5,
,H6,
,H7,
,H8,
,H9,
,H10,
,H11,
,H12,


Notes for the assay run: Enter Notes
