Protocol Description
,Protocol name: amyl-detectr048
,Result File name: \Thumb Drive\Promega\Data\CSV\nokinase-afL_amyl-detectr048_12-19-2019_9-49-13 PM.csv
,Total steps: 1


Step 1,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,115342,X,7938.15,8428.08,12107.8,X,500327,455852,396410,X,X,X
,B,13588.4,X,9102.68,8144.39,7374.18,X,85384.1,76505.3,71749.8,X,X,X
,C,2625.89,X,7407.91,6783.23,6895.8,X,6094.36,12934.4,9105.18,X,X,X
,D,1743.33,X,8598,8010.19,8514.64,X,4444.83,5466.16,5752.69,X,X,X
,E,1654.11,X,9600.67,10079.9,10474.9,X,5426.24,5869.85,6017.42,X,X,X
,F,1579.4,X,11896.3,12603.5,12958.9,X,7387.99,7987.98,8148.49,X,X,X
,G,1458.39,X,14878.1,15755.2,16265.1,X,6200.31,10243.5,10700.5,X,X,X
,H,1622.51,X,18746.4,19843.9,21416.3,X,13518.7,14954.3,15596.4,X,X,X


Notes for the assay run: Enter Notes
