Protocol Description
,Protocol name: amyl-detectr048
,Result File name: \Thumb Drive\Promega\Data\CSV\nokinase-afQ_amyl-detectr048_12-19-2019_9-47-45 PM.csv
,Total steps: 1


Step 1,Luminescence. 1 repeat. 96 well plate
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,114744,X,7604.43,9205.56,12360.4,X,507203,458550,402660,X,X,X
,B,13355.5,X,10404.5,9355.67,8689.17,X,85143.4,80650.3,72880.4,X,X,X
,C,2636.29,X,9031.42,8098.75,8228.84,X,6525.79,14002.2,9499.79,X,X,X
,D,1670.12,X,10953,10592.7,10826.9,X,5341.2,6697.88,7188.17,X,X,X
,E,1658.12,X,13713.9,13431.6,14687.1,X,7456.33,8282.88,8981.39,X,X,X
,F,1346.08,X,17388.7,17855.4,18680.6,X,12276.3,13365.5,14252.5,X,X,X
,G,1382.08,X,22292.9,23272.7,24841.9,X,14174.4,20754.1,21577.5,X,X,X
,H,1524.1,X,29177.7,32181.4,35218,X,32999.7,35559,38951.6,X,X,X


Notes for the assay run: Enter Notes
