Protocol Description
,Protocol name: amyl-detectr049
,Result File name: \Thumb Drive\Promega\Data\CSV\atp-stds_amyl-detectr049_1-9-2020_10-32-59 PM.csv
,Total steps: 1


Step 1,Luminescence,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics
Results
,Well,Read 1,Read 2,Read 3,Read 4,Read 5,Read 6
,A1,
,A2,
,A3,
,A4,
,A5,
,A6,
,A7,3738.19,3733.99,3798.41,3681.87,3676.87,3643.76
,A8,3899.74,3925.85,3789.1,3703.28,3783.1,3737.99
,A9,4862.89,4835.88,4758.25,4759.65,4735.24,4675.22
,A10,
,A11,
,A12,
,B1,
,B2,
,B3,
,B4,
,B5,
,B6,
,B7,5776.8,5641.24,5522.08,5468.66,5561.3,5352
,B8,6362.2,6147.99,6072.45,6022.12,6015.52,5966.3
,B9,6098.76,6055.74,6016.52,6055.14,6026.33,5751.59
,B10,
,B11,
,B12,
,C1,
,C2,
,C3,
,C4,
,C5,
,C6,
,C7,6005.52,5883.75,5836.73,5837.93,5714.67,5628.13
,C8,6119.27,6058.84,5968.1,5899.66,5894.96,5826.43
,C9,5635.43,5542.19,5520.08,5494.77,5386.82,5299.28
,C10,
,C11,
,C12,
,D1,
,D2,
,D3,
,D4,
,D5,
,D6,
,D7,280313,289351,273017,253339,235291,220419
,D8,6913.11,6805.05,6758.52,6731.2,6560.81,6531.89
,D9,6802.64,6801.04,6687.38,6612.74,6549.2,6567.91
,D10,
,D11,
,D12,
,E1,
,E2,
,E3,
,E4,
,E5,
,E6,
,E7,20257.7,20026.5,19933.4,19607.3,19615.7,19370.7
,E8,19956.5,19817.6,19939.1,19598.7,19565.7,19101
,E9,19912.5,19805.9,19753.7,19514.5,19330.5,19005.2
,E10,
,E11,
,E12,
,F1,
,F2,
,F3,
,F4,
,F5,
,F6,
,F7,155957,154210,152208,151014,149842,147119
,F8,154747,152421,151628,150508,148442,149751
,F9,156346,157057,153905,153149,151602,152391
,F10,
,F11,
,F12,
,G1,
,G2,
,G3,
,G4,
,G5,
,G6,
,G7,1493280,1495450,1497090,1475970,1480380,1430140
,G8,1484540,1472210,1469590,1477340,1464240,1413760
,G9,1481630,1477790,1462760,1442500,1443230,1425560
,G10,
,G11,
,G12,
,H1,
,H2,
,H3,
,H4,
,H5,
,H6,
,H7,2.08039E+07,2.06052E+07,5E+07,5E+07,5E+07,5E+07
,H8,2.08863E+07,2.06431E+07,2.03485E+07,1.99864E+07,1.97744E+07,5E+07
,H9,5E+07,5E+07,5E+07,5E+07,5E+07,5E+07
,H10,
,H11,
,H12,


Notes for the assay run: Enter Notes
