,Unnamed: 0,time,row_384,column_384,row_96,column_96,rfu_value,well,stock_conc,gRNA
4608,4608,02:00:00,A,1,A,1,40.735,A1,1000.0,11A
4609,4609,02:00:00,B,1,A,1,77.749,B1,1000.0,11C
4610,4610,02:00:00,C,1,B,1,95.595,C1,1000.0,11E
4611,4611,02:00:00,D,1,B,1,215.987,D1,1000.0,12H
4640,4640,02:00:00,A,3,A,2,64.744,A3,500.0,11A
4641,4641,02:00:00,B,3,A,2,88.411,B3,500.0,11C
4642,4642,02:00:00,C,3,B,2,62.88,C3,500.0,11E
4643,4643,02:00:00,D,3,B,2,217.101,D3,500.0,12H
4672,4672,02:00:00,A,5,A,3,24.186,A5,250.0,11A
4673,4673,02:00:00,B,5,A,3,71.837,B5,250.0,11C
4674,4674,02:00:00,C,5,B,3,71.455,C5,250.0,11E
4675,4675,02:00:00,D,5,B,3,181.619,D5,250.0,12H
4704,4704,02:00:00,A,7,A,4,26.266,A7,125.0,11A
4705,4705,02:00:00,B,7,A,4,54.361000000000004,B7,125.0,11C
4706,4706,02:00:00,C,7,B,4,40.336999999999996,C7,125.0,11E
4707,4707,02:00:00,D,7,B,4,163.987,D7,125.0,12H
4736,4736,02:00:00,A,9,A,5,12.415,A9,62.5,11A
4737,4737,02:00:00,B,9,A,5,45.848,B9,62.5,11C
4738,4738,02:00:00,C,9,B,5,28.253,C9,62.5,11E
4739,4739,02:00:00,D,9,B,5,156.80700000000002,D9,62.5,12H
4768,4768,02:00:00,A,11,A,6,7.992000000000001,A11,31.125,11A
4769,4769,02:00:00,B,11,A,6,29.898000000000003,B11,31.125,11C
4770,4770,02:00:00,C,11,B,6,20.174,C11,31.125,11E
4771,4771,02:00:00,D,11,B,6,108.667,D11,31.125,12H
4800,4800,02:00:00,A,13,A,7,6.672000000000001,A13,15.625,11A
4801,4801,02:00:00,B,13,A,7,11.283,B13,15.625,11C
4802,4802,02:00:00,C,13,B,7,11.59,C13,15.625,11E
4803,4803,02:00:00,D,13,B,7,51.666000000000004,D13,15.625,12H
4832,4832,02:00:00,A,15,A,8,4.199,A15,7.8125,11A
4833,4833,02:00:00,B,15,A,8,4.77,B15,7.8125,11C
4834,4834,02:00:00,C,15,B,8,7.966,C15,7.8125,11E
4835,4835,02:00:00,D,15,B,8,22.734,D15,7.8125,12H
4864,4864,02:00:00,A,17,A,9,4.46,A17,3.9,11A
4865,4865,02:00:00,B,17,A,9,4.667,B17,3.9,11C
4866,4866,02:00:00,C,17,B,9,5.172999999999999,C17,3.9,11E
4867,4867,02:00:00,D,17,B,9,10.113999999999999,D17,3.9,12H
4896,4896,02:00:00,A,19,A,10,4.351,A19,1.95,11A
4897,4897,02:00:00,B,19,A,10,4.696000000000001,B19,1.95,11C
4898,4898,02:00:00,C,19,B,10,4.177,C19,1.95,11E
4899,4899,02:00:00,D,19,B,10,6.107,D19,1.95,12H
4928,4928,02:00:00,A,21,A,11,4.22,A21,0.98,11A
4929,4929,02:00:00,B,21,A,11,4.313,B21,0.98,11C
4930,4930,02:00:00,C,21,B,11,4.525,C21,0.98,11E
4931,4931,02:00:00,D,21,B,11,4.523,D21,0.98,12H
4960,4960,02:00:00,A,23,A,12,4.331,A23,0.0,11A
4961,4961,02:00:00,B,23,A,12,3.722,B23,0.0,11C
4962,4962,02:00:00,C,23,B,12,4.315,C23,0.0,11E
4963,4963,02:00:00,D,23,B,12,3.949,D23,0.0,12H
