,Unnamed: 0,time,row_384,column_384,rfu_value,well,stock_conc,gRNA
576,2315,02:00:00,L,1,262.594,L1,1000.0,IVT
577,2316,02:00:00,M,1,231.846,M1,1000.0,IVT
578,2317,02:00:00,N,1,49.538,N1,1000.0,synthetic
579,2318,02:00:00,O,1,85.65100000000002,O1,1000.0,synthetic
580,2331,02:00:00,L,3,270.224,L3,500.0,IVT
581,2332,02:00:00,M,3,258.248,M3,500.0,IVT
582,2333,02:00:00,N,3,62.315,N3,500.0,synthetic
583,2334,02:00:00,O,3,110.434,O3,500.0,synthetic
584,2347,02:00:00,L,5,290.11,L5,250.0,IVT
585,2348,02:00:00,M,5,265.333,M5,250.0,IVT
586,2349,02:00:00,N,5,75.314,N5,250.0,synthetic
587,2350,02:00:00,O,5,185.408,O5,250.0,synthetic
588,2363,02:00:00,L,7,243.46400000000003,L7,125.0,IVT
589,2364,02:00:00,M,7,246.908,M7,125.0,IVT
590,2365,02:00:00,N,7,111.414,N7,125.0,synthetic
591,2366,02:00:00,O,7,181.786,O7,125.0,synthetic
592,2379,02:00:00,L,9,212.414,L9,62.5,IVT
593,2380,02:00:00,M,9,223.665,M9,62.5,IVT
594,2381,02:00:00,N,9,125.234,N9,62.5,synthetic
595,2382,02:00:00,O,9,158.895,O9,62.5,synthetic
596,2395,02:00:00,L,11,173.03400000000005,L11,31.25,IVT
597,2396,02:00:00,M,11,177.009,M11,31.25,IVT
598,2397,02:00:00,N,11,114.134,N11,31.25,synthetic
599,2398,02:00:00,O,11,144.07,O11,31.25,synthetic
600,2411,02:00:00,L,13,78.321,L13,15.6,IVT
601,2412,02:00:00,M,13,95.874,M13,15.6,IVT
602,2413,02:00:00,N,13,68.309,N13,15.6,synthetic
603,2414,02:00:00,O,13,103.87,O13,15.6,synthetic
604,2427,02:00:00,L,15,60.66,L15,7.8,IVT
605,2428,02:00:00,M,15,67.993,M15,7.8,IVT
606,2429,02:00:00,N,15,46.082,N15,7.8,synthetic
607,2430,02:00:00,O,15,62.285,O15,7.8,synthetic
608,2443,02:00:00,L,17,31.636,L17,3.9,IVT
609,2444,02:00:00,M,17,31.144,M17,3.9,IVT
610,2445,02:00:00,N,17,25.376,N17,3.9,synthetic
611,2446,02:00:00,O,17,42.647,O17,3.9,synthetic
612,2459,02:00:00,L,19,16.325,L19,1.95,IVT
613,2460,02:00:00,M,19,16.714000000000002,M19,1.95,IVT
614,2461,02:00:00,N,19,16.762,N19,1.95,synthetic
615,2462,02:00:00,O,19,17.328,O19,1.95,synthetic
616,2475,02:00:00,L,21,8.771,L21,0.975,IVT
617,2476,02:00:00,M,21,9.065,M21,0.975,IVT
618,2477,02:00:00,N,21,12.156,N21,0.975,synthetic
619,2478,02:00:00,O,21,13.893,O21,0.975,synthetic
620,2491,02:00:00,L,23,4.717,L23,0.0,IVT
621,2492,02:00:00,M,23,4.716,M23,0.0,IVT
622,2493,02:00:00,N,23,5.3439999999999985,N23,0.0,synthetic
623,2494,02:00:00,O,23,5.898,O23,0.0,synthetic
