,Unnamed: 0,time,row_384,column_384,rfu_value,stock_conc,target_DNA,replicate
0,0,00:00:00,A,2,4.04,360.0,target_added,a
1,1,00:00:00,B,2,3.2030000000000003,360.0,target_added,b
2,2,00:00:00,C,2,2.96,360.0,no_target,a
3,3,00:00:00,D,2,3.216,360.0,no_target,b
4,16,00:00:00,A,4,3.457,180.0,target_added,a
5,17,00:00:00,B,4,3.47,180.0,target_added,b
6,18,00:00:00,C,4,2.948,180.0,no_target,a
7,19,00:00:00,D,4,3.01,180.0,no_target,b
8,32,00:00:00,A,6,3.627,90.0,target_added,a
9,33,00:00:00,B,6,3.298,90.0,target_added,b
10,34,00:00:00,C,6,3.108,90.0,no_target,a
11,35,00:00:00,D,6,3.357,90.0,no_target,b
12,48,00:00:00,A,8,3.642,45.0,target_added,a
13,49,00:00:00,B,8,3.378,45.0,target_added,b
14,50,00:00:00,C,8,3.015,45.0,no_target,a
15,51,00:00:00,D,8,2.818,45.0,no_target,b
16,64,00:00:00,A,10,3.295,22.5,target_added,a
17,65,00:00:00,B,10,3.579,22.5,target_added,b
18,66,00:00:00,C,10,3.099,22.5,no_target,a
19,67,00:00:00,D,10,3.847,22.5,no_target,b
20,80,00:00:00,A,12,3.431,11.25,target_added,a
21,81,00:00:00,B,12,3.999,11.25,target_added,b
22,82,00:00:00,C,12,3.26,11.25,no_target,a
23,83,00:00:00,D,12,2.863,11.25,no_target,b
24,96,00:00:00,A,14,3.58,5.625,target_added,a
25,97,00:00:00,B,14,3.642,5.625,target_added,b
26,98,00:00:00,C,14,2.834,5.625,no_target,a
27,99,00:00:00,D,14,3.143,5.625,no_target,b
28,112,00:00:00,A,16,3.459,2.8125,target_added,a
29,113,00:00:00,B,16,3.686,2.8125,target_added,b
30,114,00:00:00,C,16,3.022,2.8125,no_target,a
31,115,00:00:00,D,16,3.052,2.8125,no_target,b
32,128,00:00:00,A,18,3.272,1.40625,target_added,a
33,129,00:00:00,B,18,3.141,1.40625,target_added,b
34,130,00:00:00,C,18,2.804,1.40625,no_target,a
35,131,00:00:00,D,18,2.755,1.40625,no_target,b
36,144,00:00:00,A,20,3.342,0.703125,target_added,a
37,145,00:00:00,B,20,3.132,0.703125,target_added,b
38,146,00:00:00,C,20,3.944,0.703125,no_target,a
39,147,00:00:00,D,20,3.167,0.703125,no_target,b
40,160,00:00:00,A,22,3.274,0.35156,target_added,a
41,161,00:00:00,B,22,3.749,0.35156,target_added,b
42,162,00:00:00,C,22,3.0980000000000003,0.35156,no_target,a
43,163,00:00:00,D,22,3.137,0.35156,no_target,b
44,176,00:00:00,A,24,3.043,0.0,target_added,a
45,177,00:00:00,B,24,3.135,0.0,target_added,b
46,178,00:00:00,C,24,4.095,0.0,no_target,a
47,179,00:00:00,D,24,3.2960000000000003,0.0,no_target,b
48,192,00:10:00,A,2,4.08,360.0,target_added,a
49,193,00:10:00,B,2,3.655,360.0,target_added,b
50,194,00:10:00,C,2,3.138,360.0,no_target,a
51,195,00:10:00,D,2,3.2110000000000003,360.0,no_target,b
52,208,00:10:00,A,4,4.127,180.0,target_added,a
53,209,00:10:00,B,4,3.74,180.0,target_added,b
54,210,00:10:00,C,4,3.145,180.0,no_target,a
55,211,00:10:00,D,4,3.152,180.0,no_target,b
56,224,00:10:00,A,6,3.791,90.0,target_added,a
57,225,00:10:00,B,6,3.782,90.0,target_added,b
58,226,00:10:00,C,6,3.412,90.0,no_target,a
59,227,00:10:00,D,6,3.216,90.0,no_target,b
60,240,00:10:00,A,8,4.143,45.0,target_added,a
61,241,00:10:00,B,8,3.657,45.0,target_added,b
62,242,00:10:00,C,8,3.003,45.0,no_target,a
63,243,00:10:00,D,8,2.889,45.0,no_target,b
64,256,00:10:00,A,10,3.548,22.5,target_added,a
65,257,00:10:00,B,10,3.848,22.5,target_added,b
66,258,00:10:00,C,10,3.26,22.5,no_target,a
67,259,00:10:00,D,10,3.789,22.5,no_target,b
68,272,00:10:00,A,12,4.127,11.25,target_added,a
69,273,00:10:00,B,12,4.1789999999999985,11.25,target_added,b
70,274,00:10:00,C,12,3.193,11.25,no_target,a
71,275,00:10:00,D,12,3.065,11.25,no_target,b
72,288,00:10:00,A,14,4.103,5.625,target_added,a
73,289,00:10:00,B,14,4.235,5.625,target_added,b
74,290,00:10:00,C,14,2.853,5.625,no_target,a
75,291,00:10:00,D,14,3.0380000000000003,5.625,no_target,b
76,304,00:10:00,A,16,4.267,2.8125,target_added,a
77,305,00:10:00,B,16,4.197,2.8125,target_added,b
78,306,00:10:00,C,16,2.96,2.8125,no_target,a
79,307,00:10:00,D,16,2.958,2.8125,no_target,b
80,320,00:10:00,A,18,3.619,1.40625,target_added,a
81,321,00:10:00,B,18,3.821,1.40625,target_added,b
82,322,00:10:00,C,18,2.7960000000000003,1.40625,no_target,a
83,323,00:10:00,D,18,2.763,1.40625,no_target,b
84,336,00:10:00,A,20,3.805,0.703125,target_added,a
85,337,00:10:00,B,20,4.124,0.703125,target_added,b
86,338,00:10:00,C,20,3.65,0.703125,no_target,a
87,339,00:10:00,D,20,3.134,0.703125,no_target,b
88,352,00:10:00,A,22,3.864,0.35156,target_added,a
89,353,00:10:00,B,22,4.203,0.35156,target_added,b
90,354,00:10:00,C,22,3.3760000000000003,0.35156,no_target,a
91,355,00:10:00,D,22,3.202,0.35156,no_target,b
92,368,00:10:00,A,24,3.739,0.0,target_added,a
93,369,00:10:00,B,24,3.733,0.0,target_added,b
94,370,00:10:00,C,24,4.022,0.0,no_target,a
95,371,00:10:00,D,24,3.386,0.0,no_target,b
96,384,00:20:00,A,2,4.563,360.0,target_added,a
97,385,00:20:00,B,2,3.685,360.0,target_added,b
98,386,00:20:00,C,2,3.037,360.0,no_target,a
99,387,00:20:00,D,2,3.1660000000000004,360.0,no_target,b
100,400,00:20:00,A,4,4.262,180.0,target_added,a
101,401,00:20:00,B,4,4.117,180.0,target_added,b
102,402,00:20:00,C,4,3.045,180.0,no_target,a
103,403,00:20:00,D,4,2.89,180.0,no_target,b
104,416,00:20:00,A,6,4.54,90.0,target_added,a
105,417,00:20:00,B,6,4.1610000000000005,90.0,target_added,b
106,418,00:20:00,C,6,3.137,90.0,no_target,a
107,419,00:20:00,D,6,3.069,90.0,no_target,b
108,432,00:20:00,A,8,4.629,45.0,target_added,a
109,433,00:20:00,B,8,3.976,45.0,target_added,b
110,434,00:20:00,C,8,2.864,45.0,no_target,a
111,435,00:20:00,D,8,2.681,45.0,no_target,b
112,448,00:20:00,A,10,4.079,22.5,target_added,a
113,449,00:20:00,B,10,4.105,22.5,target_added,b
114,450,00:20:00,C,10,3.279,22.5,no_target,a
115,451,00:20:00,D,10,3.756,22.5,no_target,b
116,464,00:20:00,A,12,4.485,11.25,target_added,a
117,465,00:20:00,B,12,4.715,11.25,target_added,b
118,466,00:20:00,C,12,3.195,11.25,no_target,a
119,467,00:20:00,D,12,2.948,11.25,no_target,b
120,480,00:20:00,A,14,4.894,5.625,target_added,a
121,481,00:20:00,B,14,4.843,5.625,target_added,b
122,482,00:20:00,C,14,2.865,5.625,no_target,a
123,483,00:20:00,D,14,2.879,5.625,no_target,b
124,496,00:20:00,A,16,4.965,2.8125,target_added,a
125,497,00:20:00,B,16,4.9030000000000005,2.8125,target_added,b
126,498,00:20:00,C,16,3.069,2.8125,no_target,a
127,499,00:20:00,D,16,3.085,2.8125,no_target,b
128,512,00:20:00,A,18,4.3610000000000015,1.40625,target_added,a
129,513,00:20:00,B,18,4.559,1.40625,target_added,b
130,514,00:20:00,C,18,2.8510000000000004,1.40625,no_target,a
131,515,00:20:00,D,18,2.678,1.40625,no_target,b
132,528,00:20:00,A,20,4.337,0.703125,target_added,a
133,529,00:20:00,B,20,4.762,0.703125,target_added,b
134,530,00:20:00,C,20,3.559,0.703125,no_target,a
135,531,00:20:00,D,20,3.168,0.703125,no_target,b
136,544,00:20:00,A,22,4.424,0.35156,target_added,a
137,545,00:20:00,B,22,5.052,0.35156,target_added,b
138,546,00:20:00,C,22,2.898,0.35156,no_target,a
139,547,00:20:00,D,22,2.858,0.35156,no_target,b
140,560,00:20:00,A,24,4.202,0.0,target_added,a
141,561,00:20:00,B,24,4.215,0.0,target_added,b
142,562,00:20:00,C,24,3.948,0.0,no_target,a
143,563,00:20:00,D,24,3.267,0.0,no_target,b
144,576,00:30:00,A,2,5.005,360.0,target_added,a
145,577,00:30:00,B,2,4.437,360.0,target_added,b
146,578,00:30:00,C,2,3.017,360.0,no_target,a
147,579,00:30:00,D,2,3.13,360.0,no_target,b
148,592,00:30:00,A,4,4.677,180.0,target_added,a
149,593,00:30:00,B,4,4.4460000000000015,180.0,target_added,b
150,594,00:30:00,C,4,3.115,180.0,no_target,a
151,595,00:30:00,D,4,3.045,180.0,no_target,b
152,608,00:30:00,A,6,5.106,90.0,target_added,a
153,609,00:30:00,B,6,4.856,90.0,target_added,b
154,610,00:30:00,C,6,3.025,90.0,no_target,a
155,611,00:30:00,D,6,3.299,90.0,no_target,b
156,624,00:30:00,A,8,5.448,45.0,target_added,a
157,625,00:30:00,B,8,4.685,45.0,target_added,b
158,626,00:30:00,C,8,2.8360000000000003,45.0,no_target,a
159,627,00:30:00,D,8,2.759,45.0,no_target,b
160,640,00:30:00,A,10,4.75,22.5,target_added,a
161,641,00:30:00,B,10,4.7410000000000005,22.5,target_added,b
162,642,00:30:00,C,10,3.1210000000000004,22.5,no_target,a
163,643,00:30:00,D,10,3.447,22.5,no_target,b
164,656,00:30:00,A,12,5.1560000000000015,11.25,target_added,a
165,657,00:30:00,B,12,5.5710000000000015,11.25,target_added,b
166,658,00:30:00,C,12,3.2030000000000003,11.25,no_target,a
167,659,00:30:00,D,12,3.114,11.25,no_target,b
168,672,00:30:00,A,14,6.007999999999999,5.625,target_added,a
169,673,00:30:00,B,14,5.523,5.625,target_added,b
170,674,00:30:00,C,14,2.778,5.625,no_target,a
171,675,00:30:00,D,14,2.699,5.625,no_target,b
172,688,00:30:00,A,16,5.698,2.8125,target_added,a
173,689,00:30:00,B,16,5.608,2.8125,target_added,b
174,690,00:30:00,C,16,3.0980000000000003,2.8125,no_target,a
175,691,00:30:00,D,16,2.986,2.8125,no_target,b
176,704,00:30:00,A,18,5.317,1.40625,target_added,a
177,705,00:30:00,B,18,5.417999999999998,1.40625,target_added,b
178,706,00:30:00,C,18,2.786,1.40625,no_target,a
179,707,00:30:00,D,18,2.544,1.40625,no_target,b
180,720,00:30:00,A,20,5.513,0.703125,target_added,a
181,721,00:30:00,B,20,5.655,0.703125,target_added,b
182,722,00:30:00,C,20,3.5860000000000003,0.703125,no_target,a
183,723,00:30:00,D,20,2.944,0.703125,no_target,b
184,736,00:30:00,A,22,5.122999999999998,0.35156,target_added,a
185,737,00:30:00,B,22,5.573,0.35156,target_added,b
186,738,00:30:00,C,22,3.033,0.35156,no_target,a
187,739,00:30:00,D,22,3.068,0.35156,no_target,b
188,752,00:30:00,A,24,4.537,0.0,target_added,a
189,753,00:30:00,B,24,5.1160000000000005,0.0,target_added,b
190,754,00:30:00,C,24,3.928,0.0,no_target,a
191,755,00:30:00,D,24,3.11,0.0,no_target,b
192,768,00:40:00,A,2,5.846,360.0,target_added,a
193,769,00:40:00,B,2,4.871,360.0,target_added,b
194,770,00:40:00,C,2,3.179,360.0,no_target,a
195,771,00:40:00,D,2,3.1860000000000004,360.0,no_target,b
196,784,00:40:00,A,4,5.347,180.0,target_added,a
197,785,00:40:00,B,4,5.078,180.0,target_added,b
198,786,00:40:00,C,4,3.151,180.0,no_target,a
199,787,00:40:00,D,4,3.13,180.0,no_target,b
200,800,00:40:00,A,6,5.572,90.0,target_added,a
201,801,00:40:00,B,6,5.259,90.0,target_added,b
202,802,00:40:00,C,6,3.372,90.0,no_target,a
203,803,00:40:00,D,6,3.201,90.0,no_target,b
204,816,00:40:00,A,8,6.348,45.0,target_added,a
205,817,00:40:00,B,8,5.4460000000000015,45.0,target_added,b
206,818,00:40:00,C,8,2.781,45.0,no_target,a
207,819,00:40:00,D,8,3.017,45.0,no_target,b
208,832,00:40:00,A,10,5.436,22.5,target_added,a
209,833,00:40:00,B,10,5.682,22.5,target_added,b
210,834,00:40:00,C,10,3.045,22.5,no_target,a
211,835,00:40:00,D,10,3.6010000000000004,22.5,no_target,b
212,848,00:40:00,A,12,5.989,11.25,target_added,a
213,849,00:40:00,B,12,6.367000000000001,11.25,target_added,b
214,850,00:40:00,C,12,3.133,11.25,no_target,a
215,851,00:40:00,D,12,3.0010000000000003,11.25,no_target,b
216,864,00:40:00,A,14,6.892,5.625,target_added,a
217,865,00:40:00,B,14,6.813,5.625,target_added,b
