,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate
0,0,00:00:00,A,1,6695.803000000001,standard_in_buffer,10,standard,a
1,1,00:00:00,B,1,5697.635,standard_in_buffer,10,standard,b
2,2,00:00:00,C,1,5893.807,standard_in_buffer,10,standard,c
3,3,00:00:00,D,1,5120.6590000000015,standard_in_water,10,standard,a
4,4,00:00:00,E,1,4696.582,standard_in_water,10,standard,b
5,5,00:00:00,F,1,5218.745,standard_in_water,10,standard,c
6,6,00:00:00,G,1,2480.996,target_added,,11C,a
7,7,00:00:00,H,1,2.885,no_gRNA,,11C,a
8,8,00:00:00,A,3,3069.511,standard_in_buffer,5,standard,a
9,9,00:00:00,B,3,3130.093,standard_in_buffer,5,standard,b
10,10,00:00:00,C,3,6488.092,standard_in_buffer,5,standard,c
11,11,00:00:00,D,3,2.885,standard_in_water,5,standard,a
12,12,00:00:00,E,3,2694.4770000000008,standard_in_water,5,standard,b
13,13,00:00:00,F,3,2965.655,standard_in_water,5,standard,c
14,14,00:00:00,G,3,3767.651,target_added,,11D,a
15,15,00:00:00,H,3,0.0,no_gRNA,,11D,a
16,16,00:00:00,A,5,1341.469,standard_in_buffer,2.5,standard,a
17,17,00:00:00,B,5,1442.439,standard_in_buffer,2.5,standard,b
18,18,00:00:00,C,5,3456.0840000000007,standard_in_buffer,2.5,standard,c
19,19,00:00:00,D,5,2.885,standard_in_water,2.5,standard,a
20,20,00:00:00,E,5,1295.311,standard_in_water,2.5,standard,b
21,21,00:00:00,F,5,1404.936,standard_in_water,2.5,standard,c
22,22,00:00:00,G,5,1286.656,target_added,,11E,a
23,23,00:00:00,H,5,0.0,no_gRNA,,11E,a
24,24,00:00:00,A,7,467.35,standard_in_buffer,1.25,standard,a
25,25,00:00:00,B,7,490.429,standard_in_buffer,1.25,standard,b
26,26,00:00:00,C,7,1381.8570000000002,standard_in_buffer,1.25,standard,c
27,27,00:00:00,D,7,2.885,standard_in_water,1.25,standard,a
28,28,00:00:00,E,7,579.861,standard_in_water,1.25,standard,b
29,29,00:00:00,F,7,600.055,standard_in_water,1.25,standard,c
30,30,00:00:00,G,7,2403.104,target_added,,11C,b
31,31,00:00:00,H,7,2.885,no_gRNA,,11C,b
32,32,00:00:00,A,9,196.172,standard_in_buffer,0.625,standard,a
33,33,00:00:00,B,9,219.251,standard_in_buffer,0.625,standard,b
34,34,00:00:00,C,9,643.328,standard_in_buffer,0.625,standard,c
35,35,00:00:00,D,9,11.54,standard_in_water,0.625,standard,a
36,36,00:00:00,E,9,144.244,standard_in_water,0.625,standard,b
37,37,00:00:00,F,9,164.438,standard_in_water,0.625,standard,c
38,38,00:00:00,G,9,3802.27,target_added,,11D,b
39,39,00:00:00,H,9,5.77,no_gRNA,,11D,b
40,40,00:00:00,A,11,100.971,standard_in_buffer,0.3125,standard,a
41,41,00:00:00,B,11,126.935,standard_in_buffer,0.3125,standard,b
42,42,00:00:00,C,11,282.718,standard_in_buffer,0.3125,standard,c
43,43,00:00:00,D,11,11.54,standard_in_water,0.3125,standard,a
44,44,00:00:00,E,11,83.661,standard_in_water,0.3125,standard,b
45,45,00:00:00,F,11,63.467,standard_in_water,0.3125,standard,c
46,46,00:00:00,G,11,1275.116,target_added,,11E,b
