,time,row_384,column_384,rfu_value
0,00:00:00,E,1,6491.783
1,00:00:00,F,1,6218.0
2,00:00:00,G,1,28.225
3,00:00:00,H,1,31.048000000000002
4,00:00:00,I,1,0.0
5,00:00:00,E,3,3559.191
6,00:00:00,F,3,3152.7490000000003
7,00:00:00,G,3,25.403000000000002
8,00:00:00,H,3,42.338
9,00:00:00,I,3,0.0
10,00:00:00,E,5,1244.729
11,00:00:00,F,5,1270.132
12,00:00:00,G,5,764.9010000000001
13,00:00:00,H,5,22.58
14,00:00:00,I,5,0.0
15,00:00:00,E,7,457.24699999999996
16,00:00:00,F,7,448.78
17,00:00:00,G,7,764.9010000000001
18,00:00:00,H,7,19.758
19,00:00:00,I,7,11.29
20,00:00:00,E,9,259.671
21,00:00:00,F,9,189.108
22,00:00:00,G,9,0.0
23,00:00:00,H,9,0.0
24,00:00:00,I,9,0.0
25,00:00:00,E,11,138.303
26,00:00:00,F,11,121.368
27,00:00:00,G,11,2.823
28,00:00:00,H,11,2.823
29,00:00:00,I,11,0.0
30,00:00:00,E,13,47.983000000000004
31,00:00:00,F,13,53.628
32,00:00:00,G,13,739.4989999999999
33,00:00:00,H,13,2.823
34,00:00:00,I,13,5.645
35,00:00:00,E,15,59.273
36,00:00:00,F,15,39.515
37,00:00:00,G,15,496.76300000000003
38,00:00:00,H,15,2.823
39,00:00:00,I,15,8.468
40,00:00:00,E,17,59.273
41,00:00:00,F,17,56.45
42,00:00:00,G,17,2.823
43,00:00:00,H,17,0.0
44,00:00:00,I,17,2.823
45,00:00:00,E,19,62.095
46,00:00:00,F,19,59.273
47,00:00:00,G,19,2.823
48,00:00:00,H,19,8.468
49,00:00:00,I,19,0.0
50,00:00:00,E,21,28.225
51,00:00:00,F,21,45.16
52,00:00:00,G,21,50.805
53,00:00:00,H,21,5.645
54,00:00:00,I,21,8.468
55,00:00:00,E,23,59.273
56,00:00:00,F,23,42.338
57,00:00:00,G,23,45.16
58,00:00:00,H,23,5.645
59,00:00:00,I,23,11.29
60,00:10:00,E,1,7318.539000000001
61,00:10:00,F,1,6850.1759999999995
62,00:10:00,G,1,89.075
63,00:10:00,H,1,37.354
64,00:10:00,I,1,5.747000000000001
65,00:10:00,E,3,4143.437
66,00:10:00,F,3,3755.528
67,00:10:00,G,3,57.468
68,00:10:00,H,3,77.582
69,00:10:00,I,3,17.24
70,00:10:00,E,5,1712.5439999999999
71,00:10:00,F,5,1721.164
72,00:10:00,G,5,1186.712
73,00:10:00,H,5,31.607
