,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,gRNA_used,replicate,reporter
0,0,00:00:00,A,1,18.963,target_added,syn_11C,a,DNA-FAM
1,1,00:00:00,B,1,18.693,target_added,syn_11C,b,DNA-FAM
2,2,00:00:00,A,3,24.585,target_added,IVT_11C,a,DNA-FAM
3,3,00:00:00,B,3,28.947,target_added,IVT_11C,b,DNA-FAM
4,4,00:00:00,A,5,124.563,target_added,IVT_D9_3Cs,a,DNA-FAM
5,5,00:00:00,B,5,142.67600000000004,target_added,IVT_D9_3Cs,b,DNA-FAM
6,6,00:00:00,A,7,14.203,target_added,none,a,DNA-FAM
7,7,00:00:00,B,7,14.130999999999998,target_added,none,b,DNA-FAM
8,8,00:00:00,A,9,14.786,no_cas12a,syn_11C,a,DNA-FAM
9,9,00:00:00,B,9,14.567,no_cas12a,syn_11C,b,DNA-FAM
10,10,00:00:00,A,11,13.748,no_cas12a,IVT_11C,a,DNA-FAM
11,11,00:00:00,B,11,14.084,no_cas12a,IVT_11C,b,DNA-FAM
12,12,00:00:00,A,13,14.905,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
13,13,00:00:00,B,13,15.438,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
14,14,00:00:00,A,15,14.41,no_cas12a,none,a,DNA-FAM
15,15,00:00:00,B,15,14.804,no_cas12a,none,b,DNA-FAM
16,16,00:00:00,A,17,14.658,no_target,syn_11C,a,DNA-FAM
17,17,00:00:00,B,17,13.816,no_target,syn_11C,b,DNA-FAM
18,18,00:00:00,A,19,14.263,no_target,IVT_11C,a,DNA-FAM
19,19,00:00:00,B,19,13.587,no_target,IVT_11C,b,DNA-FAM
20,20,00:00:00,A,21,14.308,no_target,IVT_D9_3Cs,a,DNA-FAM
21,21,00:00:00,B,21,15.06,no_target,IVT_D9_3Cs,b,DNA-FAM
22,22,00:00:00,A,23,14.546,no_target,none,a,DNA-FAM
23,23,00:00:00,B,23,17.772000000000006,no_target,none,b,DNA-FAM
24,24,00:10:00,A,1,23.287,target_added,syn_11C,a,DNA-FAM
25,25,00:10:00,B,1,22.14,target_added,syn_11C,b,DNA-FAM
26,26,00:10:00,A,3,34.253,target_added,IVT_11C,a,DNA-FAM
27,27,00:10:00,B,3,44.666,target_added,IVT_11C,b,DNA-FAM
28,28,00:10:00,A,5,232.848,target_added,IVT_D9_3Cs,a,DNA-FAM
29,29,00:10:00,B,5,272.893,target_added,IVT_D9_3Cs,b,DNA-FAM
30,30,00:10:00,A,7,14.18,target_added,none,a,DNA-FAM
31,31,00:10:00,B,7,14.01,target_added,none,b,DNA-FAM
32,32,00:10:00,A,9,14.629,no_cas12a,syn_11C,a,DNA-FAM
33,33,00:10:00,B,9,14.637,no_cas12a,syn_11C,b,DNA-FAM
34,34,00:10:00,A,11,14.104,no_cas12a,IVT_11C,a,DNA-FAM
35,35,00:10:00,B,11,14.354,no_cas12a,IVT_11C,b,DNA-FAM
36,36,00:10:00,A,13,15.14,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
37,37,00:10:00,B,13,14.464,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
38,38,00:10:00,A,15,14.594,no_cas12a,none,a,DNA-FAM
39,39,00:10:00,B,15,14.255999999999998,no_cas12a,none,b,DNA-FAM
40,40,00:10:00,A,17,15.005,no_target,syn_11C,a,DNA-FAM
41,41,00:10:00,B,17,13.953,no_target,syn_11C,b,DNA-FAM
42,42,00:10:00,A,19,14.323,no_target,IVT_11C,a,DNA-FAM
43,43,00:10:00,B,19,13.642,no_target,IVT_11C,b,DNA-FAM
44,44,00:10:00,A,21,14.743,no_target,IVT_D9_3Cs,a,DNA-FAM
45,45,00:10:00,B,21,14.812,no_target,IVT_D9_3Cs,b,DNA-FAM
46,46,00:10:00,A,23,14.525,no_target,none,a,DNA-FAM
47,47,00:10:00,B,23,17.383,no_target,none,b,DNA-FAM
48,48,00:20:00,A,1,27.206,target_added,syn_11C,a,DNA-FAM
49,49,00:20:00,B,1,25.975,target_added,syn_11C,b,DNA-FAM
50,50,00:20:00,A,3,49.512,target_added,IVT_11C,a,DNA-FAM
51,51,00:20:00,B,3,65.748,target_added,IVT_11C,b,DNA-FAM
52,52,00:20:00,A,5,363.84,target_added,IVT_D9_3Cs,a,DNA-FAM
53,53,00:20:00,B,5,429.103,target_added,IVT_D9_3Cs,b,DNA-FAM
54,54,00:20:00,A,7,13.525,target_added,none,a,DNA-FAM
55,55,00:20:00,B,7,14.054,target_added,none,b,DNA-FAM
56,56,00:20:00,A,9,14.968,no_cas12a,syn_11C,a,DNA-FAM
57,57,00:20:00,B,9,14.223,no_cas12a,syn_11C,b,DNA-FAM
58,58,00:20:00,A,11,13.653,no_cas12a,IVT_11C,a,DNA-FAM
59,59,00:20:00,B,11,14.068,no_cas12a,IVT_11C,b,DNA-FAM
60,60,00:20:00,A,13,14.611,no_cas12a,IVT_D9_3Cs,a,DNA-FAM
61,61,00:20:00,B,13,14.929,no_cas12a,IVT_D9_3Cs,b,DNA-FAM
62,62,00:20:00,A,15,14.14,no_cas12a,none,a,DNA-FAM
63,63,00:20:00,B,15,14.183,no_cas12a,none,b,DNA-FAM
64,64,00:20:00,A,17,14.612,no_target,syn_11C,a,DNA-FAM
65,65,00:20:00,B,17,13.566,no_target,syn_11C,b,DNA-FAM
66,66,00:20:00,A,19,14.218,no_target,IVT_11C,a,DNA-FAM
67,67,00:20:00,B,19,13.432,no_target,IVT_11C,b,DNA-FAM
68,68,00:20:00,A,21,14.309,no_target,IVT_D9_3Cs,a,DNA-FAM
69,69,00:20:00,B,21,15.278,no_target,IVT_D9_3Cs,b,DNA-FAM
70,70,00:20:00,A,23,14.491,no_target,none,a,DNA-FAM
71,71,00:20:00,B,23,17.163,no_target,none,b,DNA-FAM
72,72,00:30:00,A,1,32.872,target_added,syn_11C,a,DNA-FAM
73,73,00:30:00,B,1,31.487,target_added,syn_11C,b,DNA-FAM
74,74,00:30:00,A,3,67.25399999999999,target_added,IVT_11C,a,DNA-FAM
75,75,00:30:00,B,3,91.268,target_added,IVT_11C,b,DNA-FAM
76,76,00:30:00,A,5,502.422,target_added,IVT_D9_3Cs,a,DNA-FAM
77,77,00:30:00,B,5,581.861,target_added,IVT_D9_3Cs,b,DNA-FAM
78,78,00:30:00,A,7,13.636,target_added,none,a,DNA-FAM
79,79,00:30:00,B,7,13.699000000000002,target_added,none,b,DNA-FAM
80,80,00:30:00,A,9,14.225,no_cas12a,syn_11C,a,DNA-FAM
