,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate,reporter
0,0,00:00:00,A,2,5646.710999999998,standard,10,standard,a,DNA-RNA-Luc
1,1,00:00:00,B,2,4510.5,standard,10,standard,b,DNA-RNA-Luc
2,2,00:00:00,C,2,45.792,target_added,,syn_11C,a,DNA-RNA-Luc
3,3,00:00:00,D,2,22.896,target_added,,syn_11C,b,DNA-RNA-Luc
4,4,00:00:00,A,4,2804.752,standard,5,standard,a,DNA-RNA-Luc
5,5,00:00:00,B,4,2592.965,standard,5,standard,b,DNA-RNA-Luc
6,6,00:00:00,C,4,2103.564,target_added,,IVT_11C,a,DNA-RNA-Luc
7,7,00:00:00,D,4,995.973,target_added,,IVT_11C,b,DNA-RNA-Luc
8,8,00:00:00,A,6,1016.007,standard,2.5,standard,a,DNA-RNA-Luc
9,9,00:00:00,B,6,924.424,standard,2.5,standard,b,DNA-RNA-Luc
10,10,00:00:00,C,6,3912.344,target_added,,IVT_D9_3Cs,a,DNA-RNA-Luc
11,11,00:00:00,D,6,3276.981,target_added,,IVT_D9_3Cs,b,DNA-RNA-Luc
12,12,00:00:00,A,8,366.335,standard,1.25,standard,a,DNA-RNA-Luc
13,13,00:00:00,B,8,372.059,standard,1.25,standard,b,DNA-RNA-Luc
14,14,00:00:00,C,8,45.792,target_added,,none,a,DNA-RNA-Luc
15,15,00:00:00,D,8,25.758000000000006,target_added,,none,b,DNA-RNA-Luc
16,16,00:00:00,A,10,160.27200000000005,standard,0.625,standard,a,DNA-RNA-Luc
17,17,00:00:00,B,10,128.79,standard,0.625,standard,b,DNA-RNA-Luc
18,18,00:00:00,C,10,45.792,no_cas12a,,syn_11C,a,DNA-RNA-Luc
19,19,00:00:00,D,10,20.034,no_cas12a,,syn_11C,b,DNA-RNA-Luc
20,20,00:00:00,A,12,60.102,standard,0.3125,standard,a,DNA-RNA-Luc
21,21,00:00:00,B,12,40.06800000000001,standard,0.3125,standard,b,DNA-RNA-Luc
22,22,00:00:00,C,12,698.326,no_cas12a,,IVT_11C,a,DNA-RNA-Luc
23,23,00:00:00,D,12,372.059,no_cas12a,,IVT_11C,b,DNA-RNA-Luc
24,24,00:00:00,A,14,45.792,standard,0.15625,standard,a,DNA-RNA-Luc
25,25,00:00:00,B,14,48.654,standard,0.15625,standard,b,DNA-RNA-Luc
26,26,00:00:00,C,14,1279.311,no_cas12a,,IVT_D9_3Cs,a,DNA-RNA-Luc
27,27,00:00:00,D,14,14.31,no_cas12a,,IVT_D9_3Cs,b,DNA-RNA-Luc
28,28,00:00:00,A,16,51.51600000000001,standard,0.078125,standard,a,DNA-RNA-Luc
29,29,00:00:00,B,16,34.344,standard,0.078125,standard,b,DNA-RNA-Luc
30,30,00:00:00,C,16,51.51600000000001,no_cas12a,,none,a,DNA-RNA-Luc
31,31,00:00:00,D,16,2.862,no_cas12a,,none,b,DNA-RNA-Luc
32,32,00:00:00,A,18,28.62,standard,0.0390625,standard,a,DNA-RNA-Luc
33,33,00:00:00,B,18,37.206,standard,0.0390625,standard,b,DNA-RNA-Luc
34,34,00:00:00,C,18,28.62,no_target,,syn_11C,a,DNA-RNA-Luc
35,35,00:00:00,D,18,17.172,no_target,,syn_11C,b,DNA-RNA-Luc
36,36,00:00:00,A,20,31.482,standard,0.0195312,standard,a,DNA-RNA-Luc
37,37,00:00:00,B,20,34.344,standard,0.0195312,standard,b,DNA-RNA-Luc
38,38,00:00:00,C,20,941.596,no_target,,IVT_11C,a,DNA-RNA-Luc
39,39,00:00:00,D,20,426.437,no_target,,IVT_11C,b,DNA-RNA-Luc
40,40,00:00:00,A,22,60.102,standard,0.0097656,standard,a,DNA-RNA-Luc
41,41,00:00:00,B,22,54.378,standard,0.0097656,standard,b,DNA-RNA-Luc
42,42,00:00:00,C,22,1190.589,no_target,,IVT_D9_3Cs,a,DNA-RNA-Luc
43,43,00:00:00,D,22,1502.546,no_target,,IVT_D9_3Cs,b,DNA-RNA-Luc
44,44,00:00:00,A,24,34.344,standard,0,standard,a,DNA-RNA-Luc
45,45,00:00:00,B,24,22.896,standard,0,standard,b,DNA-RNA-Luc
46,46,00:00:00,C,24,57.24,no_target,,none,a,DNA-RNA-Luc
47,47,00:00:00,D,24,20.034,no_target,,none,b,DNA-RNA-Luc
48,48,00:10:00,A,2,6793.513000000001,standard,10,standard,a,DNA-RNA-Luc
49,49,00:10:00,B,2,5980.738,standard,10,standard,b,DNA-RNA-Luc
50,50,00:10:00,C,2,84.48200000000001,target_added,,syn_11C,a,DNA-RNA-Luc
51,51,00:10:00,D,2,131.093,target_added,,syn_11C,b,DNA-RNA-Luc
52,52,00:10:00,A,4,3766.729,standard,5,standard,a,DNA-RNA-Luc
53,53,00:10:00,B,4,3685.16,standard,5,standard,b,DNA-RNA-Luc
54,54,00:10:00,C,4,3411.323,target_added,,IVT_11C,a,DNA-RNA-Luc
55,55,00:10:00,D,4,2817.036,target_added,,IVT_11C,b,DNA-RNA-Luc
56,56,00:10:00,A,6,1610.983,standard,2.5,standard,a,DNA-RNA-Luc
57,57,00:10:00,B,6,1456.585,standard,2.5,standard,b,DNA-RNA-Luc
58,58,00:10:00,C,6,5540.85,target_added,,IVT_D9_3Cs,a,DNA-RNA-Luc
59,59,00:10:00,D,6,5759.338000000002,target_added,,IVT_D9_3Cs,b,DNA-RNA-Luc
60,60,00:10:00,A,8,672.942,standard,1.25,standard,a,DNA-RNA-Luc
61,61,00:10:00,B,8,559.3290000000002,standard,1.25,standard,b,DNA-RNA-Luc
62,62,00:10:00,C,8,128.18,target_added,,none,a,DNA-RNA-Luc
63,63,00:10:00,D,8,64.09,target_added,,none,b,DNA-RNA-Luc
64,64,00:10:00,A,10,297.143,standard,0.625,standard,a,DNA-RNA-Luc
65,65,00:10:00,B,10,215.575,standard,0.625,standard,b,DNA-RNA-Luc
66,66,00:10:00,C,10,131.093,no_cas12a,,syn_11C,a,DNA-RNA-Luc
67,67,00:10:00,D,10,32.045,no_cas12a,,syn_11C,b,DNA-RNA-Luc
68,68,00:10:00,A,12,104.874,standard,0.3125,standard,a,DNA-RNA-Luc
69,69,00:10:00,B,12,128.18,standard,0.3125,standard,b,DNA-RNA-Luc
70,70,00:10:00,C,12,1555.6329999999996,no_cas12a,,IVT_11C,a,DNA-RNA-Luc
71,71,00:10:00,D,12,1005.044,no_cas12a,,IVT_11C,b,DNA-RNA-Luc
72,72,00:10:00,A,14,113.614,standard,0.15625,standard,a,DNA-RNA-Luc
73,73,00:10:00,B,14,84.48200000000001,standard,0.15625,standard,b,DNA-RNA-Luc
74,74,00:10:00,C,14,2380.06,no_cas12a,,IVT_D9_3Cs,a,DNA-RNA-Luc
75,75,00:10:00,D,14,11.653,no_cas12a,,IVT_D9_3Cs,b,DNA-RNA-Luc
76,76,00:10:00,A,16,69.916,standard,0.078125,standard,a,DNA-RNA-Luc
77,77,00:10:00,B,16,55.35,standard,0.078125,standard,b,DNA-RNA-Luc
78,78,00:10:00,C,16,119.44,no_cas12a,,none,a,DNA-RNA-Luc
79,79,00:10:00,D,16,2.9130000000000003,no_cas12a,,none,b,DNA-RNA-Luc
80,80,00:10:00,A,18,110.7,standard,0.0390625,standard,a,DNA-RNA-Luc
81,81,00:10:00,B,18,61.177,standard,0.0390625,standard,b,DNA-RNA-Luc
82,82,00:10:00,C,18,75.742,no_target,,syn_11C,a,DNA-RNA-Luc
83,83,00:10:00,D,18,43.698,no_target,,syn_11C,b,DNA-RNA-Luc
84,84,00:10:00,A,20,46.611,standard,0.0195312,standard,a,DNA-RNA-Luc
85,85,00:10:00,B,20,78.656,standard,0.0195312,standard,b,DNA-RNA-Luc
