,Unnamed: 0,time,row_384,column_384,rfu_value,RNAseT,standard_conc,replicate,reporter,degradation_method
0,0,00:00:00,E,1,6491.783,standard,10,a,standard,standard
1,1,00:00:00,F,1,6218.0,standard,10,b,standard,standard
2,2,00:00:00,G,1,28.225,RNAseT_added,,a,DNA-RNA,heat
3,3,00:00:00,H,1,31.048,RNAseT_added,,a,RNA,heat-DNAse1-buffer
4,4,00:00:00,I,1,0.0,no_RNAse_T,,a,DNA-RNA,DNAse1
5,5,00:00:00,E,3,3559.191,standard,5,a,standard,standard
6,6,00:00:00,F,3,3152.7490000000007,standard,5,b,standard,standard
7,7,00:00:00,G,3,25.403,RNAseT_added,,b,DNA-RNA,heat
8,8,00:00:00,H,3,42.338,RNAseT_added,,b,RNA,heat-DNAse1-buffer
9,9,00:00:00,I,3,0.0,no_RNAse_T,,b,DNA-RNA,DNAse1
10,10,00:00:00,E,5,1244.729,standard,2.5,a,standard,standard
11,11,00:00:00,F,5,1270.132,standard,2.5,b,standard,standard
12,12,00:00:00,G,5,764.9010000000002,RNAseT_added,,a,DNA-RNA,DNAse1
13,13,00:00:00,H,5,22.58,RNAseT_added,,a,RNA,heat-RNAse1-buffer
14,14,00:00:00,I,5,0.0,no_RNAse_T,,a,DNA-RNA,RNAseH
15,15,00:00:00,E,7,457.247,standard,1.25,a,standard,standard
16,16,00:00:00,F,7,448.78,standard,1.25,b,standard,standard
17,17,00:00:00,G,7,764.9010000000002,RNAseT_added,,b,DNA-RNA,DNAse1
18,18,00:00:00,H,7,19.758,RNAseT_added,,b,RNA,heat-RNAse1-buffer
19,19,00:00:00,I,7,11.29,no_RNAse_T,,b,DNA-RNA,RNAseH
20,20,00:00:00,E,9,259.671,standard,0.625,a,standard,standard
21,21,00:00:00,F,9,189.108,standard,0.625,b,standard,standard
22,22,00:00:00,G,9,0.0,RNAseT_added,,a,DNA-RNA,RNAseH
23,23,00:00:00,H,9,0.0,RNAseT_added,,a,RNA,DNAse1
24,24,00:00:00,I,9,0.0,no_RNAse_T,,a,DNA-RNA,none
25,25,00:00:00,E,11,138.303,standard,0.3125,a,standard,standard
26,26,00:00:00,F,11,121.368,standard,0.3125,b,standard,standard
27,27,00:00:00,G,11,2.823,RNAseT_added,,b,DNA-RNA,RNAseH
28,28,00:00:00,H,11,2.823,RNAseT_added,,b,RNA,DNAse1
29,29,00:00:00,I,11,0.0,no_RNAse_T,,b,DNA-RNA,none
30,30,00:00:00,E,13,47.983,standard,0.15625,a,standard,standard
31,31,00:00:00,F,13,53.628,standard,0.15625,b,standard,standard
32,32,00:00:00,G,13,739.4989999999998,RNAseT_added,,a,DNA-RNA,none
33,33,00:00:00,H,13,2.823,RNAseT_added,,a,RNA,RNAseH
34,34,00:00:00,I,13,5.645,no_RNAse_T,,a,RNA,DNAse1
35,35,00:00:00,E,15,59.273,standard,0.078125,a,standard,standard
36,36,00:00:00,F,15,39.515,standard,0.078125,b,standard,standard
37,37,00:00:00,G,15,496.763,RNAseT_added,,b,DNA-RNA,none
38,38,00:00:00,H,15,2.823,RNAseT_added,,b,RNA,RNAseH
39,39,00:00:00,I,15,8.468,no_RNAse_T,,b,RNA,DNAse1
40,40,00:00:00,E,17,59.273,standard,0.0390625,a,standard,standard
41,41,00:00:00,F,17,56.45,standard,0.0390625,b,standard,standard
42,42,00:00:00,G,17,2.823,RNAseT_added,,a,RNA,none
43,43,00:00:00,H,17,0.0,RNAseT_added,,a,H20,DNAse1
44,44,00:00:00,I,17,2.823,no_RNAse_T,,a,RNA,RNAseH
45,45,00:00:00,E,19,62.095,standard,0.0195312,a,standard,standard
46,46,00:00:00,F,19,59.273,standard,0.0195312,b,standard,standard
47,47,00:00:00,G,19,2.823,RNAseT_added,,b,RNA,none
48,48,00:00:00,H,19,8.468,RNAseT_added,,b,H20,DNAse1
