,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,sample_set,input_conc,input_conc_nM
0,0,00:00:00,M,2,541.496,a,standard,10,
1,1,00:00:00,N,2,501.171,b,standard,10,
2,2,00:00:00,O,2,2.88,a,sample,5uM,5000
3,3,00:00:00,P,2,14.401,b,sample,5uM,5000
4,4,00:00:00,M,4,164.17700000000005,a,standard,5,
5,5,00:00:00,N,4,169.937,b,standard,5,
6,6,00:00:00,O,4,40.324,a,sample,500nM,500
7,7,00:00:00,P,4,37.444,b,sample,500nM,500
8,8,00:00:00,M,6,63.367,a,standard,2.5,
9,9,00:00:00,N,6,57.606,b,standard,2.5,
10,10,00:00:00,O,6,345.636,a,sample,50nM,50
11,11,00:00:00,P,6,325.473,b,sample,50nM,50
12,12,00:00:00,M,8,92.169,a,standard,1.25,
13,13,00:00:00,N,8,86.40899999999998,b,standard,1.25,
14,14,00:00:00,O,8,11.521,a,sample,5nM,5
15,15,00:00:00,P,8,37.444,b,sample,5nM,5
16,16,00:00:00,M,10,34.564,a,standard,0.625,
17,17,00:00:00,N,10,23.042,b,standard,0.625,
18,18,00:00:00,O,10,5.761,a,sample,500pM,0.5
19,19,00:00:00,P,10,5.761,b,sample,500pM,0.5
20,20,00:00:00,M,12,25.923,a,standard,0.3125,
21,21,00:00:00,N,12,23.042,b,standard,0.3125,
22,22,00:00:00,O,12,11.521,a,sample,50pM,0.05
23,23,00:00:00,P,12,5.761,b,sample,50pM,0.05
24,24,00:00:00,M,14,8.641,a,standard,0.15625,
25,25,00:00:00,N,14,14.401,b,standard,0.15625,
26,26,00:00:00,O,14,8.641,a,sample,5pM,0.005
27,27,00:00:00,P,14,5.761,b,sample,5pM,0.005
28,28,00:00:00,M,16,74.888,a,standard,0.078125,
29,29,00:00:00,N,16,46.085,b,standard,0.078125,
30,30,00:00:00,O,16,8.641,a,sample,500fM,0.0005
31,31,00:00:00,P,16,11.521,b,sample,500fM,0.0005
32,32,00:00:00,M,18,31.683000000000003,a,standard,0.0390625,
33,33,00:00:00,N,18,23.042,b,standard,0.0390625,
34,34,00:00:00,O,18,14.401,a,sample,50fM,0.00005
35,35,00:00:00,P,18,8.641,b,sample,50fM,0.00005
36,36,00:00:00,M,20,17.282,a,standard,0.0195312,
37,37,00:00:00,N,20,31.683000000000003,b,standard,0.0195312,
38,38,00:00:00,O,20,8.641,a,sample,5fM,0.000005
39,39,00:00:00,P,20,8.641,b,sample,5fM,0.000005
40,40,00:00:00,M,22,51.845,a,standard,0.0097656,
41,41,00:00:00,N,22,46.085,b,standard,0.0097656,
42,42,00:00:00,O,22,20.162,a,sample,no_target,0
43,43,00:00:00,P,22,8.641,b,sample,no_target,0
44,44,00:00:00,M,24,40.324,a,standard,0,
45,45,00:00:00,N,24,46.085,b,standard,0,
46,46,00:00:00,O,24,25.923,a,sample,no_cas12a,0
47,47,00:00:00,P,24,14.401,b,sample,no_cas12a,0
48,48,00:10:00,M,2,1536.9620000000002,a,standard,10,
49,49,00:10:00,N,2,1414.471,b,standard,10,
50,50,00:10:00,O,2,26.248,a,sample,5uM,5000
51,51,00:10:00,P,2,29.164,b,sample,5uM,5000
52,52,00:10:00,M,4,481.212,a,standard,5,
53,53,00:10:00,N,4,545.373,b,standard,5,
54,54,00:10:00,O,4,189.568,a,sample,500nM,500
55,55,00:10:00,P,4,157.488,b,sample,500nM,500
56,56,00:10:00,M,6,204.15,a,standard,2.5,
57,57,00:10:00,N,6,174.986,b,standard,2.5,
58,58,00:10:00,O,6,1149.076,a,sample,50nM,50
59,59,00:10:00,P,6,1146.159,b,sample,50nM,50
60,60,00:10:00,M,8,242.064,a,standard,1.25,
61,61,00:10:00,N,8,142.905,b,standard,1.25,
62,62,00:10:00,O,8,93.326,a,sample,5nM,5
63,63,00:10:00,P,8,49.57899999999999,b,sample,5nM,5
64,64,00:10:00,M,10,49.57899999999999,a,standard,0.625,
65,65,00:10:00,N,10,78.744,b,standard,0.625,
66,66,00:10:00,O,10,11.666,a,sample,500pM,0.5
67,67,00:10:00,P,10,17.499000000000002,b,sample,500pM,0.5
68,68,00:10:00,M,12,49.57899999999999,a,standard,0.3125,
69,69,00:10:00,N,12,55.412,b,standard,0.3125,
70,70,00:10:00,O,12,29.164,a,sample,50pM,0.05
71,71,00:10:00,P,12,32.081,b,sample,50pM,0.05
72,72,00:10:00,M,14,49.57899999999999,a,standard,0.15625,
73,73,00:10:00,N,14,43.747,b,standard,0.15625,
74,74,00:10:00,O,14,17.499000000000002,a,sample,5pM,0.005
75,75,00:10:00,P,14,20.415,b,sample,5pM,0.005
76,76,00:10:00,M,16,99.159,a,standard,0.078125,
77,77,00:10:00,N,16,81.66,b,standard,0.078125,
78,78,00:10:00,O,16,5.832999999999998,a,sample,500fM,0.0005
79,79,00:10:00,P,16,23.331,b,sample,500fM,0.0005
80,80,00:10:00,M,18,61.245,a,standard,0.0390625,
