,time,row_384,column_384,rfu_value,input_conc,input_conc_pg,replicate,reaction_volume,strain
0,00:00:00,A,1,447.57800000000003,100pg,20000,a,full,Clinical_041a
1,00:00:00,B,1,459.106,100pg,20000,b,full,Clinical_041a
2,00:00:00,C,1,512.9209999999999,100pg,20000,c,full,Clinical_041a
3,00:00:00,D,1,506.601,100pg,20000,a,quarter,Clinical_041a
4,00:00:00,E,1,474.889,100pg,20000,b,quarter,Clinical_041a
5,00:00:00,F,1,317.812,100pg,20000,c,quarter,Clinical_041a
6,00:00:00,A,3,460.778,1ng,200000,a,full,H37Rv
7,00:00:00,B,3,463.561,1ng,200000,b,full,H37Rv
8,00:00:00,C,3,476.31699999999995,1ng,200000,c,full,H37Rv
9,00:00:00,D,3,487.782,1ng,200000,a,quarter,H37Rv
10,00:00:00,E,3,467.038,1ng,200000,b,quarter,H37Rv
11,00:00:00,F,3,381.59,1ng,200000,c,quarter,H37Rv
12,00:00:00,A,5,436.968,100pg,20000,a,full,H37Rv
13,00:00:00,B,5,449.564,100pg,20000,b,full,H37Rv
14,00:00:00,C,5,455.026,100pg,20000,c,full,H37Rv
15,00:00:00,D,5,474.594,100pg,20000,a,quarter,H37Rv
16,00:00:00,E,5,444.042,100pg,20000,b,quarter,H37Rv
17,00:00:00,F,5,400.69699999999995,100pg,20000,c,quarter,H37Rv
18,00:00:00,A,7,453.579,10pg,2000,a,full,H37Rv
19,00:00:00,B,7,474.875,10pg,2000,b,full,H37Rv
20,00:00:00,C,7,487.8,10pg,2000,c,full,H37Rv
21,00:00:00,D,7,493.001,10pg,2000,a,quarter,H37Rv
22,00:00:00,E,7,485.514,10pg,2000,b,quarter,H37Rv
23,00:00:00,F,7,373.81300000000005,10pg,2000,c,quarter,H37Rv
24,00:00:00,A,9,418.223,1pg,200,a,full,H37Rv
25,00:00:00,B,9,460.17800000000005,1pg,200,b,full,H37Rv
26,00:00:00,C,9,476.88,1pg,200,c,full,H37Rv
27,00:00:00,D,9,465.11699999999996,1pg,200,a,quarter,H37Rv
28,00:00:00,E,9,432.064,1pg,200,b,quarter,H37Rv
29,00:00:00,F,9,270.774,1pg,200,c,quarter,H37Rv
