,time,row_384,column_384,rfu_value,plate_repeat,sample_id,Reporter,Concentration_uM,Replicate,NEBuffer,RNAse_T_Condition,well
0,00:00.0,A,1,69148.0,1,1a,,10.0,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
1,00:01.6,A,2,42768.0,1,1a,,10.0,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
2,00:03.2,A,3,36728.0,1,2a,,5.0,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
3,00:04.9,A,4,24500.0,1,2a,,5.0,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
4,00:06.5,A,5,17324.0,1,3a,,2.5,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
5,00:08.1,A,6,11404.0,1,3a,,2.5,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
6,00:09.7,A,7,7996.0,1,4a,,1.25,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
7,00:11.3,A,8,5624.0,1,4a,,1.25,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
8,00:13.0,A,9,4368.0,1,5a,,0.625,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
9,00:14.6,A,10,2856.0,1,5a,,0.625,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
10,00:16.2,A,11,2196.0,1,6a,,0.3125,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
11,00:17.8,A,12,1900.0,1,6a,,0.3125,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
12,00:19.5,A,13,1564.0,1,7a,,0.15625,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
13,00:21.1,A,14,1288.0,1,7a,,0.15625,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
14,00:22.7,A,15,1228.0,1,8a,,0.078125,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
15,00:24.3,A,16,1304.0,1,8a,,0.078125,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
16,00:25.9,A,17,1384.0,1,9a,,0.0390625,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
17,00:27.6,A,18,1664.0,1,9a,,0.0390625,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
18,00:29.2,A,19,2048.0,1,10a,,0.01953125,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
19,00:30.8,A,20,2344.0,1,10a,,0.01953125,,NEBuffer 4 (fresh),,"A0         1
1         2
2         3
3         4
4         5
         ..
13063    20
13064    21
13065    22
13066    23
13067    24
Name: column_384, Length: 13068, dtype: int64"
