,standard_conc,replicate,rfu_value
0,10,a,1793773.864
1,10,b,1282774.117
2,5,a,420287.157
3,5,b,449283.485
4,2.5,a,227512.141
5,2.5,b,236754.314
6,1.25,a,105772.788
7,1.25,b,111557.82
8,0.625,a,57319.333
9,0.625,b,60550.386
10,0.3125,a,32673.856
11,0.3125,b,35514.808
12,0.15625,a,21120.986
13,0.15625,b,22215.141
14,0.078125,a,16915.609
15,0.078125,b,18582.053
16,0.0390625,a,27869.416
17,0.0390625,b,36022.16
18,0.0195312,a,12033.802
19,0.0195312,b,12224.488
20,0.0097656,a,12196.118
21,0.0097656,b,11811.27
22,0,a,11114.816
23,0,b,10459.606
