,time,row_384,column_384,rfu_value,standard_conc,replicate,sample_set,reporter
0,00:00:00,J,1,7648.482,10,a,standard,standard
1,00:00:00,K,1,6393.52,10,b,standard,standard
2,00:00:00,L,1,14.132,,a,target_added,r5A-GGAGG-phos
3,00:00:00,M,1,5.653,,a,no_target,r5A-GGAGG-phos
4,00:00:00,N,1,2.826,,a,no_gRNA,r5A-GGAGG-phos
5,00:00:00,J,3,1271.921,5,a,standard,standard
6,00:00:00,K,3,1308.665,5,b,standard,standard
7,00:00:00,L,3,11.306,,b,target_added,r5A-GGAGG-phos
8,00:00:00,M,3,2.826,,b,no_target,r5A-GGAGG-phos
9,00:00:00,N,3,11.306,,b,no_gRNA,r5A-GGAGG-phos
10,00:00:00,J,5,435.279,2.5,a,standard,standard
11,00:00:00,K,5,480.50300000000004,2.5,b,standard,standard
12,00:00:00,L,5,525.727,,a,target_added,r5A-AAAGG-ddC
13,00:00:00,M,5,14.132,,a,no_target,r5A-AAAGG-ddC
14,00:00:00,N,5,5.653,,a,no_gRNA,r5A-AAAGG-ddC
15,00:00:00,J,7,183.722,1.25,a,standard,standard
16,00:00:00,K,7,158.283,1.25,b,standard,standard
17,00:00:00,L,7,505.94199999999995,,b,target_added,r5A-AAAGG-ddC
18,00:00:00,M,7,8.479,,b,no_target,r5A-AAAGG-ddC
19,00:00:00,N,7,8.479,,b,no_gRNA,r5A-AAAGG-ddC
20,00:00:00,J,9,87.62100000000001,0.625,a,standard,standard
21,00:00:00,K,9,62.183,0.625,b,standard,standard
22,00:00:00,L,9,3832.72,,a,target_added,r17A-r3C
23,00:00:00,M,9,169.58900000000003,,a,no_target,r17A-r3C
24,00:00:00,N,9,299.608,,a,no_gRNA,r17A-r3C
25,00:00:00,J,11,50.876999999999995,0.3125,a,standard,standard
26,00:00:00,K,11,76.315,0.3125,b,standard,standard
27,00:00:00,L,11,3889.25,,b,target_added,r17A-r3C
28,00:00:00,M,11,158.283,,b,no_target,r17A-r3C
29,00:00:00,N,11,520.0740000000001,,b,no_gRNA,r17A-r3C
30,00:00:00,J,13,39.571,0.15625,a,standard,standard
31,00:00:00,K,13,39.571,0.15625,b,standard,standard
32,00:00:00,L,13,2.826,,a,target_added,H20
33,00:00:00,M,13,5.653,,a,no_target,H20
34,00:00:00,N,13,14.132,,a,no_gRNA,H20
35,00:00:00,J,15,53.703,0.078125,a,standard,standard
36,00:00:00,K,15,84.795,0.078125,b,standard,standard
37,00:00:00,L,15,11.306,,b,target_added,H20
38,00:00:00,M,15,11.306,,b,no_target,H20
39,00:00:00,N,15,16.959,,b,no_gRNA,H20
40,00:00:00,J,17,56.53,0.0390625,a,standard,standard
41,00:00:00,K,17,56.53,0.0390625,b,standard,standard
42,00:00:00,L,17,19.785,,,,
43,00:00:00,M,17,11.306,,,,
44,00:00:00,N,17,8.479,,,,
45,00:00:00,J,19,45.224,0.0195312,a,standard,standard
46,00:00:00,K,19,42.397,0.0195312,b,standard,standard
47,00:00:00,L,19,28.265,,,,
48,00:00:00,M,19,28.265,,,,
49,00:00:00,N,19,11.306,,,,
50,00:00:00,J,21,42.397,0.0097656,a,standard,standard
51,00:00:00,K,21,36.744,0.0097656,b,standard,standard
52,00:00:00,L,21,11.306,,,,
53,00:00:00,M,21,8.479,,,,
54,00:00:00,N,21,28.265,,,,
55,00:00:00,J,23,48.05,0,a,standard,standard
56,00:00:00,K,23,25.438000000000002,0,b,standard,standard
57,00:00:00,L,23,16.959,,,,
58,00:00:00,M,23,16.959,,,,
59,00:00:00,N,23,11.306,,,,
60,00:02:00,J,1,8349.482,10,a,standard,standard
61,00:02:00,K,1,6907.661,10,b,standard,standard
62,00:02:00,L,1,34.126,,a,target_added,r5A-GGAGG-phos
63,00:02:00,M,1,19.907,,a,no_target,r5A-GGAGG-phos
64,00:02:00,N,1,36.97,,a,no_gRNA,r5A-GGAGG-phos
65,00:02:00,J,3,1592.5439999999999,5,a,standard,standard
66,00:02:00,K,3,1510.0729999999999,5,b,standard,standard
67,00:02:00,L,3,17.063,,b,target_added,r5A-GGAGG-phos
68,00:02:00,M,3,11.375,,b,no_target,r5A-GGAGG-phos
69,00:02:00,N,3,25.594,,b,no_gRNA,r5A-GGAGG-phos
