,time,row_384,column_384,rfu_value
0,00:00:00,E,2,206.695
1,00:00:00,F,2,193.176
2,00:00:00,G,2,192.18400000000003
3,00:00:00,H,2,195.16400000000002
4,00:00:00,E,4,205.708
5,00:00:00,F,4,203.361
6,00:00:00,G,4,184.855
7,00:00:00,H,4,189.207
8,00:00:00,E,6,191.12599999999998
9,00:00:00,F,6,186.447
10,00:00:00,G,6,192.643
11,00:00:00,H,6,192.59799999999998
12,00:00:00,E,8,204.84
13,00:00:00,F,8,199.826
14,00:00:00,G,8,185.00599999999997
15,00:00:00,H,8,189.33900000000003
16,00:00:00,E,10,189.82299999999998
17,00:00:00,F,10,195.90200000000002
18,00:00:00,G,10,203.67
19,00:00:00,H,10,197.21200000000002
20,00:00:00,E,12,192.692
21,00:00:00,F,12,205.422
22,00:00:00,G,12,183.343
23,00:00:00,H,12,187.02599999999998
24,00:00:00,E,14,198.78599999999997
25,00:00:00,F,14,191.15
26,00:00:00,G,14,208.498
27,00:00:00,H,14,182.109
28,00:00:00,E,16,199.36599999999999
29,00:00:00,F,16,201.49400000000003
30,00:00:00,G,16,192.405
31,00:00:00,H,16,194.6
32,00:00:00,E,18,195.90400000000002
33,00:00:00,F,18,196.577
34,00:00:00,G,18,194.791
35,00:00:00,H,18,201.50099999999998
36,00:00:00,E,20,196.65
37,00:00:00,F,20,207.658
38,00:00:00,G,20,190.553
39,00:00:00,H,20,205.753
40,00:00:00,E,22,204.607
41,00:00:00,F,22,186.859
42,00:00:00,G,22,192.571
43,00:00:00,H,22,199.753
44,00:00:00,E,24,191.33599999999998
45,00:00:00,F,24,202.687
46,00:00:00,G,24,188.196
47,00:00:00,H,24,195.641
48,00:10:00,E,2,227.226
49,00:10:00,F,2,217.407
50,00:10:00,G,2,184.328
51,00:10:00,H,2,186.99099999999999
52,00:10:00,E,4,228.361
53,00:10:00,F,4,236.142
54,00:10:00,G,4,179.668
55,00:10:00,H,4,180.06900000000002
56,00:10:00,E,6,190.28799999999998
57,00:10:00,F,6,190.93099999999998
58,00:10:00,G,6,186.265
59,00:10:00,H,6,186.697
60,00:10:00,E,8,231.015
61,00:10:00,F,8,221.951
62,00:10:00,G,8,181.72400000000002
63,00:10:00,H,8,184.554
64,00:10:00,E,10,198.857
65,00:10:00,F,10,205.15599999999998
66,00:10:00,G,10,199.308
