,time,row_384,column_384,rfu_value,replicate,target_added,reporter,phos,gRNA_used
0,00:00:00,E,2,206.695,a,target_added,RNA-FAM,phos,syn-11C
1,00:00:00,F,2,193.176,a,target_added,RNA-FAM,phos,syn-11C
2,00:00:00,G,2,192.18400000000003,b,no_target,RNA-FAM,phos,syn-11C
3,00:00:00,H,2,195.16400000000002,b,no_target,RNA-FAM,phos,syn-11C
4,00:00:00,E,4,205.708,a,target_added,RNA-FAM,phos,IVT-11C
5,00:00:00,F,4,203.361,a,target_added,RNA-FAM,phos,IVT-11C
6,00:00:00,G,4,184.855,b,no_target,RNA-FAM,phos,IVT-11C
7,00:00:00,H,4,189.207,b,no_target,RNA-FAM,phos,IVT-11C
8,00:00:00,E,6,191.12599999999998,a,target_added,RNA-FAM,phos,IVT-B1
9,00:00:00,F,6,186.447,a,target_added,RNA-FAM,phos,IVT-B1
10,00:00:00,G,6,192.643,b,no_target,RNA-FAM,phos,IVT-B1
11,00:00:00,H,6,192.59799999999998,b,no_target,RNA-FAM,phos,IVT-B1
12,00:00:00,E,8,204.84,a,target_added,RNA-FAM,phos,IVT-H6
13,00:00:00,F,8,199.826,a,target_added,RNA-FAM,phos,IVT-H6
14,00:00:00,G,8,185.00599999999997,b,no_target,RNA-FAM,phos,IVT-H6
15,00:00:00,H,8,189.33900000000003,b,no_target,RNA-FAM,phos,IVT-H6
16,00:00:00,E,10,189.82299999999998,a,target_added,RNA-FAM,phos,IVT-G8
17,00:00:00,F,10,195.90200000000002,a,target_added,RNA-FAM,phos,IVT-G8
18,00:00:00,G,10,203.67,b,no_target,RNA-FAM,phos,IVT-G8
19,00:00:00,H,10,197.21200000000002,b,no_target,RNA-FAM,phos,IVT-G8
20,00:00:00,E,12,192.692,a,target_added,RNA-FAM,phos,IVT-C4
21,00:00:00,F,12,205.422,a,target_added,RNA-FAM,phos,IVT-C4
22,00:00:00,G,12,183.343,b,no_target,RNA-FAM,phos,IVT-C4
23,00:00:00,H,12,187.02599999999998,b,no_target,RNA-FAM,phos,IVT-C4
24,00:00:00,E,14,198.78599999999997,a,target_added,RNA-FAM,no_phos,syn-11C
25,00:00:00,F,14,191.15,a,target_added,RNA-FAM,no_phos,syn-11C
26,00:00:00,G,14,208.498,b,no_target,RNA-FAM,no_phos,syn-11C
27,00:00:00,H,14,182.109,b,no_target,RNA-FAM,no_phos,syn-11C
28,00:00:00,E,16,199.36599999999999,a,target_added,RNA-FAM,no_phos,IVT-11C
29,00:00:00,F,16,201.49400000000003,a,target_added,RNA-FAM,no_phos,IVT-11C
30,00:00:00,G,16,192.405,b,no_target,RNA-FAM,no_phos,IVT-11C
31,00:00:00,H,16,194.6,b,no_target,RNA-FAM,no_phos,IVT-11C
32,00:00:00,E,18,195.90400000000002,a,target_added,RNA-FAM,no_phos,IVT-B1
33,00:00:00,F,18,196.577,a,target_added,RNA-FAM,no_phos,IVT-B1
34,00:00:00,G,18,194.791,b,no_target,RNA-FAM,no_phos,IVT-B1
35,00:00:00,H,18,201.50099999999998,b,no_target,RNA-FAM,no_phos,IVT-B1
36,00:00:00,E,20,196.65,a,target_added,RNA-FAM,no_phos,IVT-H6
37,00:00:00,F,20,207.658,a,target_added,RNA-FAM,no_phos,IVT-H6
38,00:00:00,G,20,190.553,b,no_target,RNA-FAM,no_phos,IVT-H6
39,00:00:00,H,20,205.753,b,no_target,RNA-FAM,no_phos,IVT-H6
40,00:00:00,E,22,204.607,a,target_added,RNA-FAM,no_phos,IVT-G8
41,00:00:00,F,22,186.859,a,target_added,RNA-FAM,no_phos,IVT-G8
42,00:00:00,G,22,192.571,b,no_target,RNA-FAM,no_phos,IVT-G8
43,00:00:00,H,22,199.753,b,no_target,RNA-FAM,no_phos,IVT-G8
44,00:00:00,E,24,191.33599999999998,a,target_added,RNA-FAM,no_phos,IVT-C4
45,00:00:00,F,24,202.687,a,target_added,RNA-FAM,no_phos,IVT-C4
46,00:00:00,G,24,188.196,b,no_target,RNA-FAM,no_phos,IVT-C4
47,00:00:00,H,24,195.641,b,no_target,RNA-FAM,no_phos,IVT-C4
48,00:10:00,E,2,227.226,a,target_added,RNA-FAM,phos,syn-11C
49,00:10:00,F,2,217.407,a,target_added,RNA-FAM,phos,syn-11C
50,00:10:00,G,2,184.328,b,no_target,RNA-FAM,phos,syn-11C
51,00:10:00,H,2,186.99099999999999,b,no_target,RNA-FAM,phos,syn-11C
52,00:10:00,E,4,228.361,a,target_added,RNA-FAM,phos,IVT-11C
53,00:10:00,F,4,236.142,a,target_added,RNA-FAM,phos,IVT-11C
54,00:10:00,G,4,179.668,b,no_target,RNA-FAM,phos,IVT-11C
55,00:10:00,H,4,180.06900000000002,b,no_target,RNA-FAM,phos,IVT-11C
56,00:10:00,E,6,190.28799999999998,a,target_added,RNA-FAM,phos,IVT-B1
57,00:10:00,F,6,190.93099999999998,a,target_added,RNA-FAM,phos,IVT-B1
58,00:10:00,G,6,186.265,b,no_target,RNA-FAM,phos,IVT-B1
59,00:10:00,H,6,186.697,b,no_target,RNA-FAM,phos,IVT-B1
60,00:10:00,E,8,231.015,a,target_added,RNA-FAM,phos,IVT-H6
61,00:10:00,F,8,221.951,a,target_added,RNA-FAM,phos,IVT-H6
62,00:10:00,G,8,181.72400000000002,b,no_target,RNA-FAM,phos,IVT-H6
63,00:10:00,H,8,184.554,b,no_target,RNA-FAM,phos,IVT-H6
64,00:10:00,E,10,198.857,a,target_added,RNA-FAM,phos,IVT-G8
65,00:10:00,F,10,205.15599999999998,a,target_added,RNA-FAM,phos,IVT-G8
66,00:10:00,G,10,199.308,b,no_target,RNA-FAM,phos,IVT-G8
67,00:10:00,H,10,189.84,b,no_target,RNA-FAM,phos,IVT-G8
68,00:10:00,E,12,208.003,a,target_added,RNA-FAM,phos,IVT-C4
69,00:10:00,F,12,219.195,a,target_added,RNA-FAM,phos,IVT-C4
70,00:10:00,G,12,181.658,b,no_target,RNA-FAM,phos,IVT-C4
71,00:10:00,H,12,183.79,b,no_target,RNA-FAM,phos,IVT-C4
