,Unnamed: 0,time,row_384,column_384,rfu_value,reporter,phos,gRNA_used,standard_conc,replicate,target_added
0,0,00:00:00,G,1,7076.32,standard,standard,standard,10,a,standard
1,1,00:00:00,H,1,6135.8319999999985,standard,standard,standard,10,b,standard
2,2,00:00:00,I,1,1753.5,r17Ar3C,phos,syn-C11,,a,target_added
3,3,00:00:00,J,1,1592.03,r17Ar3C,phos,syn-C11,,b,target_added
4,4,00:00:00,K,1,8.498,r17Ar3C,phos,syn-C11,,a,no_target
5,5,00:00:00,L,1,14.164,r17Ar3C,phos,syn-C11,,b,no_target
6,6,00:00:00,M,1,62.32100000000001,H20,phos,syn-C11,,a,target_added
7,7,00:00:00,N,1,36.826,H20,phos,syn-C11,,b,target_added
8,8,00:00:00,O,1,2.833,r17Ar3C,no_gRNA,syn-C11_no_gRNA,,a,target_added
9,9,00:00:00,G,3,2138.76,standard,standard,standard,5,a,standard
10,10,00:00:00,H,3,2144.425,standard,standard,standard,5,b,standard
11,11,00:00:00,I,3,1416.3970000000004,r17Ar3C,phos,IVT-C11,,a,target_added
12,12,00:00:00,J,3,1662.85,r17Ar3C,phos,IVT-C11,,b,target_added
13,13,00:00:00,K,3,67.987,r17Ar3C,phos,IVT-C11,,a,no_target
14,14,00:00:00,L,3,50.99,r17Ar3C,phos,IVT-C11,,b,no_target
15,15,00:00:00,M,3,150.138,H20,phos,IVT-C11,,a,target_added
16,16,00:00:00,N,3,107.646,H20,phos,IVT-C11,,b,target_added
17,17,00:00:00,O,3,0.0,r17Ar3C,no_gRNA,C11-no_gRNA,,a,target_added
18,18,00:00:00,G,5,906.494,standard,standard,standard,2.5,a,standard
19,19,00:00:00,H,5,943.32,standard,standard,standard,2.5,b,standard
20,20,00:00:00,I,5,906.494,r17Ar3C,phos,IVT-B1,,a,target_added
21,21,00:00:00,J,5,722.363,r17Ar3C,phos,IVT-B1,,b,target_added
22,22,00:00:00,K,5,169.968,r17Ar3C,phos,IVT-B1,,a,no_target
23,23,00:00:00,L,5,167.135,r17Ar3C,phos,IVT-B1,,b,no_target
24,24,00:00:00,M,5,226.624,H20,phos,IVT-B1,,a,target_added
25,25,00:00:00,N,5,133.141,H20,phos,IVT-B1,,b,target_added
26,26,00:00:00,O,5,2.833,r17Ar3C,no_gRNA,B1-no_gRNA,,a,target_added
27,27,00:00:00,G,7,762.0219999999998,standard,standard,standard,1.25,a,standard
28,28,00:00:00,H,7,643.044,standard,standard,standard,1.25,b,standard
29,29,00:00:00,I,7,1974.458,r17Ar3C,phos,IVT-H6,,a,target_added
30,30,00:00:00,J,7,1736.503,r17Ar3C,phos,IVT-H6,,b,target_added
31,31,00:00:00,K,7,303.1090000000001,r17Ar3C,phos,IVT-H6,,a,no_target
32,32,00:00:00,L,7,300.276,r17Ar3C,phos,IVT-H6,,b,no_target
33,33,00:00:00,M,7,756.3560000000001,H20,phos,IVT-H6,,a,target_added
34,34,00:00:00,N,7,453.247,H20,phos,IVT-H6,,b,target_added
35,35,00:00:00,O,7,0.0,r17Ar3C,no_gRNA,H6-no_gRNA,,a,target_added
36,36,00:00:00,G,9,144.47299999999996,standard,standard,standard,0.625,a,standard
37,37,00:00:00,H,9,186.96400000000003,standard,standard,standard,0.625,b,standard
38,38,00:00:00,I,9,3113.241,r17Ar3C,phos,IVT-G8,,a,target_added
39,39,00:00:00,J,9,2175.586,r17Ar3C,phos,IVT-G8,,b,target_added
40,40,00:00:00,K,9,1761.9979999999996,r17Ar3C,phos,IVT-G8,,a,no_target
41,41,00:00:00,L,9,1390.902,r17Ar3C,phos,IVT-G8,,b,no_target
42,42,00:00:00,M,9,1521.21,H20,phos,IVT-G8,,a,target_added
43,43,00:00:00,N,9,1093.4589999999996,H20,phos,IVT-G8,,b,target_added
44,44,00:00:00,O,9,5.666,r17Ar3C,no_gRNA,G8-no_gRNA,,a,target_added
45,45,00:00:00,G,11,73.653,standard,standard,standard,0.3125,a,standard
46,46,00:00:00,H,11,147.305,standard,standard,standard,0.3125,b,standard
47,47,00:00:00,I,11,3702.462,r17Ar3C,phos,IVT-C4,,a,target_added
48,48,00:00:00,J,11,3059.418,r17Ar3C,phos,IVT-C4,,b,target_added
49,49,00:00:00,K,11,101.981,r17Ar3C,phos,IVT-C4,,a,no_target
50,50,00:00:00,L,11,101.981,r17Ar3C,phos,IVT-C4,,b,no_target
51,51,00:00:00,M,11,838.507,H20,phos,IVT-C4,,a,target_added
