,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,standard_conc,hours,minutes,seconds
0,0,00:00:00,A,1,54181.586,a,10,00,00,00
1,1,00:00:00,C,1,56253.363,b,10,00,00,00
2,2,00:00:00,E,1,61218.23,c,10,00,00,00
3,3,00:00:00,A,3,39517.176,a,5,00,00,00
4,4,00:00:00,C,3,35478.777,b,5,00,00,00
5,5,00:00:00,E,3,38957.31200000001,c,5,00,00,00
6,6,00:00:00,A,5,19944.734,a,2.5,00,00,00
7,7,00:00:00,C,5,22457.01,b,2.5,00,00,00
8,8,00:00:00,E,5,21499.275,c,2.5,00,00,00
9,9,00:00:00,A,7,10839.159,a,1.25,00,00,00
10,10,00:00:00,C,7,11515.541,b,1.25,00,00,00
11,11,00:00:00,E,7,11362.076,c,1.25,00,00,00
12,12,00:00:00,A,9,5021.708,a,0.625,00,00,00
13,13,00:00:00,C,9,5575.886,b,0.625,00,00,00
14,14,00:00:00,E,9,5828.819,c,0.625,00,00,00
15,15,00:00:00,A,11,2881.7270000000008,a,0.3125,00,00,00
16,16,00:00:00,C,11,3151.711,b,0.3125,00,00,00
17,17,00:00:00,E,11,3114.766,c,0.3125,00,00,00
18,18,00:00:00,A,13,1716.5320000000004,a,0.15625,00,00,00
19,19,00:00:00,C,13,2162.716,b,0.15625,00,00,00
20,20,00:00:00,E,13,2216.713,c,0.15625,00,00,00
21,21,00:00:00,A,15,1037.308,a,0.078125,00,00,00
22,22,00:00:00,C,15,1190.773,b,0.078125,00,00,00
23,23,00:00:00,E,15,1241.928,c,0.078125,00,00,00
24,24,00:00:00,A,17,3077.821,a,0.0390625,00,00,00
25,25,00:00:00,C,17,1284.557,b,0.0390625,00,00,00
26,26,00:00:00,E,17,1199.299,c,0.0390625,00,00,00
27,27,00:00:00,A,19,15974.544,a,0.0195312,00,00,00
28,28,00:00:00,C,19,2057.564,b,0.0195312,00,00,00
29,29,00:00:00,E,19,1261.821,c,0.0195312,00,00,00
30,30,00:00:00,A,21,1185.089,a,0.0097656,00,00,00
31,31,00:00:00,C,21,2910.146,b,0.0097656,00,00,00
32,32,00:00:00,E,21,1096.989,c,0.0097656,00,00,00
33,33,00:00:00,A,23,835.53,a,0,00,00,00
34,34,00:00:00,C,23,963.418,b,0,00,00,00
35,35,00:00:00,E,23,895.211,c,0,00,00,00
36,36,00:05:00,A,1,48780.238,a,10,00,05,00
37,37,00:05:00,C,1,50779.688,b,10,00,05,00
38,38,00:05:00,E,1,55491.852,c,10,00,05,00
39,39,00:05:00,A,3,35119.254,a,5,00,05,00
40,40,00:05:00,C,3,31547.17,b,5,00,05,00
41,41,00:05:00,E,3,35276.801,c,5,00,05,00
42,42,00:05:00,A,5,18633.828,a,2.5,00,05,00
43,43,00:05:00,C,5,20828.064,b,2.5,00,05,00
44,44,00:05:00,E,5,20005.941000000006,c,2.5,00,05,00
45,45,00:05:00,A,7,10512.858,a,1.25,00,05,00
46,46,00:05:00,C,7,10647.492,b,1.25,00,05,00
47,47,00:05:00,E,7,10627.44,c,1.25,00,05,00
48,48,00:05:00,A,9,4924.143,a,0.625,00,05,00
49,49,00:05:00,C,9,5242.107,b,0.625,00,05,00
50,50,00:05:00,E,9,5279.346,c,0.625,00,05,00
51,51,00:05:00,A,11,2870.268,a,0.3125,00,05,00
52,52,00:05:00,C,11,2921.83,b,0.3125,00,05,00
53,53,00:05:00,E,11,2939.0170000000007,c,0.3125,00,05,00
54,54,00:05:00,A,13,1624.194,a,0.15625,00,05,00
55,55,00:05:00,C,13,2076.791,b,0.15625,00,05,00
56,56,00:05:00,E,13,2159.863,c,0.15625,00,05,00
57,57,00:05:00,A,15,968.214,a,0.078125,00,05,00
58,58,00:05:00,C,15,1332.011,b,0.078125,00,05,00
59,59,00:05:00,E,15,1352.063,c,0.078125,00,05,00
60,60,00:05:00,A,17,3076.515,a,0.0390625,00,05,00
61,61,00:05:00,C,17,1380.708,b,0.0390625,00,05,00
62,62,00:05:00,E,17,1257.533,c,0.0390625,00,05,00
63,63,00:05:00,A,19,14992.999,a,0.0195312,00,05,00
