,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,gRNA,target,cas12a,hours,minutes,seconds
0,0,00:00:00,A,1,131.026,a,alt-R_11C,500,NEB-Cas12a,00,00,00
1,1,00:00:00,B,1,16.366,a,alt-R_11C,5,NEB-Cas12a,00,00,00
2,2,00:00:00,C,1,448.151,a,alt-R_11C,500,IDT-Cas12a,00,00,00
3,3,00:00:00,D,1,20.931,a,alt-R_11C,5,IDT-Cas12a,00,00,00
4,4,00:00:00,A,3,151.33,b,alt-R_11C,500,NEB-Cas12a,00,00,00
5,5,00:00:00,B,3,17.108,b,alt-R_11C,5,NEB-Cas12a,00,00,00
6,6,00:00:00,C,3,447.689,b,alt-R_11C,500,IDT-Cas12a,00,00,00
7,7,00:00:00,D,3,19.681,b,alt-R_11C,5,IDT-Cas12a,00,00,00
8,8,00:00:00,A,5,157.126,c,alt-R_11C,500,NEB-Cas12a,00,00,00
9,9,00:00:00,B,5,15.267,c,alt-R_11C,5,NEB-Cas12a,00,00,00
10,10,00:00:00,C,5,439.494,c,alt-R_11C,500,IDT-Cas12a,00,00,00
11,11,00:00:00,D,5,24.123,c,alt-R_11C,5,IDT-Cas12a,00,00,00
12,12,00:00:00,A,7,141.092,a,syn_11C,500,NEB-Cas12a,00,00,00
13,13,00:00:00,B,7,14.165,a,syn_11C,5,NEB-Cas12a,00,00,00
14,14,00:00:00,C,7,426.13,a,syn_11C,500,IDT-Cas12a,00,00,00
15,15,00:00:00,D,7,22.187,a,syn_11C,5,IDT-Cas12a,00,00,00
16,16,00:00:00,A,9,160.014,b,syn_11C,500,NEB-Cas12a,00,00,00
17,17,00:00:00,B,9,13.98,b,syn_11C,5,NEB-Cas12a,00,00,00
18,18,00:00:00,C,9,460.551,b,syn_11C,500,IDT-Cas12a,00,00,00
19,19,00:00:00,D,9,20.93,b,syn_11C,5,IDT-Cas12a,00,00,00
20,20,00:00:00,A,11,151.793,c,syn_11C,500,NEB-Cas12a,00,00,00
21,21,00:00:00,B,11,13.858,c,syn_11C,5,NEB-Cas12a,00,00,00
22,22,00:00:00,C,11,442.14,c,syn_11C,500,IDT-Cas12a,00,00,00
23,23,00:00:00,D,11,22.734,c,syn_11C,5,IDT-Cas12a,00,00,00
24,24,00:00:00,A,13,100.122,a,alt-R_11C,50,NEB-Cas12a,00,00,00
25,25,00:00:00,B,13,4.356,a,alt-R_11C,0,NEB-Cas12a,00,00,00
26,26,00:00:00,C,13,177.832,a,alt-R_11C,50,IDT-Cas12a,00,00,00
27,27,00:00:00,D,13,4.212,a,alt-R_11C,0,IDT-Cas12a,00,00,00
28,28,00:00:00,A,15,95.66,b,alt-R_11C,50,NEB-Cas12a,00,00,00
29,29,00:00:00,B,15,4.1560000000000015,b,alt-R_11C,0,NEB-Cas12a,00,00,00
30,30,00:00:00,C,15,172.69,b,alt-R_11C,50,IDT-Cas12a,00,00,00
31,31,00:00:00,D,15,4.131,b,alt-R_11C,0,IDT-Cas12a,00,00,00
32,32,00:00:00,A,17,121.573,c,alt-R_11C,50,NEB-Cas12a,00,00,00
33,33,00:00:00,B,17,4.394,c,alt-R_11C,0,NEB-Cas12a,00,00,00
34,34,00:00:00,C,17,200.811,c,alt-R_11C,50,IDT-Cas12a,00,00,00
35,35,00:00:00,D,17,3.807,c,alt-R_11C,0,IDT-Cas12a,00,00,00
36,36,00:00:00,A,19,99.171,a,syn_11C,50,NEB-Cas12a,00,00,00
37,37,00:00:00,B,19,4.249,a,syn_11C,0,NEB-Cas12a,00,00,00
38,38,00:00:00,C,19,189.217,a,syn_11C,50,IDT-Cas12a,00,00,00
39,39,00:00:00,D,19,3.5980000000000003,a,syn_11C,0,IDT-Cas12a,00,00,00
40,40,00:00:00,A,21,97.878,b,syn_11C,50,NEB-Cas12a,00,00,00
41,41,00:00:00,B,21,4.142,b,syn_11C,0,NEB-Cas12a,00,00,00
42,42,00:00:00,C,21,192.26,b,syn_11C,50,IDT-Cas12a,00,00,00
43,43,00:00:00,D,21,3.688,b,syn_11C,0,IDT-Cas12a,00,00,00
44,44,00:00:00,A,23,88.40299999999998,c,syn_11C,50,NEB-Cas12a,00,00,00
45,45,00:00:00,B,23,4.199,c,syn_11C,0,NEB-Cas12a,00,00,00
46,46,00:00:00,C,23,170.63,c,syn_11C,50,IDT-Cas12a,00,00,00
47,47,00:00:00,D,23,3.409,c,syn_11C,0,IDT-Cas12a,00,00,00
48,48,00:10:00,A,1,279.086,a,alt-R_11C,500,NEB-Cas12a,00,10,00
