,Unnamed: 0,time,row_384,column_384,rfu_value,replicate,gRNA,reporter,target,standard_conc,hours,minutes,seconds
0,0,00:00:00,A,1,76522.219,a,,,,10,00,00,00
1,1,00:00:00,C,1,80144.664,b,,,,10,00,00,00
2,2,00:00:00,E,1,79766.445,c,,,,10,00,00,00
3,3,00:00:00,G,1,176224.672,a,alt-R_11C,r17Ar3C,target_added,,00,00,00
4,4,00:00:00,I,1,164247.937,b,alt-R_11C,r17Ar3C,target_added,,00,00,00
5,5,00:00:00,K,1,137361.234,c,alt-R_11C,r17Ar3C,target_added,,00,00,00
6,6,00:00:00,M,1,81999.305,a,syn_11C,r17A-AAAAA-phos,target_added,,00,00,00
7,7,00:00:00,A,3,31444.879,a,,,,5,00,00,00
8,8,00:00:00,C,3,33913.066,b,,,,5,00,00,00
9,9,00:00:00,E,3,33571.273,c,,,,5,00,00,00
10,10,00:00:00,G,3,160737.578,a,syn_11C,r17Ar3C,target_added,,00,00,00
11,11,00:00:00,I,3,157765.094,b,syn_11C,r17Ar3C,target_added,,00,00,00
12,12,00:00:00,K,3,139403.578,c,syn_11C,r17Ar3C,target_added,,00,00,00
13,13,00:00:00,M,3,434.244,a,syn_11C,r17A-AAAAA-phos,no_target,,00,00,00
14,14,00:00:00,A,5,12859.229,a,,,,2.5,00,00,00
15,15,00:00:00,C,5,12985.302,b,,,,2.5,00,00,00
16,16,00:00:00,E,5,12705.143999999998,c,,,,2.5,00,00,00
17,17,00:00:00,G,5,173.69799999999995,a,alt-R_11C,r17Ar3C,no_target,,00,00,00
18,18,00:00:00,I,5,123.269,b,alt-R_11C,r17Ar3C,no_target,,00,00,00
19,19,00:00:00,K,5,106.46,c,alt-R_11C,r17Ar3C,no_target,,00,00,00
20,20,00:00:00,M,5,81951.672,a,syn_11C,r17A-AAAAA-phos,target_added,,00,00,00
21,21,00:00:00,A,7,4916.764,a,,,,1.25,00,00,00
22,22,00:00:00,C,7,5718.015,b,,,,1.25,00,00,00
23,23,00:00:00,E,7,5224.938,c,,,,1.25,00,00,00
24,24,00:00:00,G,7,294.165,a,syn_11C,r17Ar3C,no_target,,00,00,00
25,25,00:00:00,I,7,316.578,b,syn_11C,r17Ar3C,no_target,,00,00,00
