,PlateNumber,PlateRepeat,Barcode,Group,Well,Sample,Label,Kinetic,ScanX,ScanY,MeasInfo,Wavelength,MeasTime,Signal,Flashes/Time,Result,Formula,Unnamed: 17,replicate,standard_conc,kit,sample_set,row_384,column_384
0,1,1.0,"=""=""""""""""""""""",1.0,A01,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:00.000,426656.0,0.1,4266560.0,,,a,10,AMP,AMP_standard,A,01
2,1,1.0,"=""=""""""""""""""""",1.0,A02,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:00.202,15500.0,0.1,155000.0,,,water,water,water,water,A,02
4,1,1.0,"=""=""""""""""""""""",1.0,A03,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:00.423,229228.0,0.1,2292280.0,,,a,5,AMP,AMP_standard,A,03
6,1,1.0,"=""=""""""""""""""""",1.0,A04,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:00.655,20588.0,0.1,205880.0,,,water,water,water,water,A,04
8,1,1.0,"=""=""""""""""""""""",1.0,A05,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:00.888,75952.0,0.1,759520.0,,,a,2.5,AMP,AMP_standard,A,05
10,1,1.0,"=""=""""""""""""""""",1.0,A06,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:01.081,16140.0,0.1,161400.0,,,water,water,water,water,A,06
12,1,1.0,"=""=""""""""""""""""",1.0,A07,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:01.274,36744.0,0.1,367440.0,,,a,1.25,AMP,AMP_standard,A,07
14,1,1.0,"=""=""""""""""""""""",1.0,A08,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:01.468,7688.0,0.1,76880.0,,,water,water,water,water,A,08
16,1,1.0,"=""=""""""""""""""""",1.0,A09,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:01.660,18128.0,0.1,181280.0,,,a,0.6125,AMP,AMP_standard,A,09
18,1,1.0,"=""=""""""""""""""""",1.0,A10,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:01.854,3756.0,0.1,37560.0,,,water,water,water,water,A,10
20,1,1.0,"=""=""""""""""""""""",1.0,A11,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:02.048,10912.0,0.1,109120.0,,,a,0.3125,AMP,AMP_standard,A,11
22,1,1.0,"=""=""""""""""""""""",1.0,A12,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:02.241,1900.0,0.1,19000.0,,,water,water,water,water,A,12
24,1,1.0,"=""=""""""""""""""""",1.0,A13,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:02.435,6916.0,0.1,69160.0,,,a,0.15625,AMP,AMP_standard,A,13
26,1,1.0,"=""=""""""""""""""""",1.0,A14,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:02.629,1048.0,0.1,10480.0,,,water,water,water,water,A,14
28,1,1.0,"=""=""""""""""""""""",1.0,A15,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:02.821,4176.0,0.1,41760.0,,,a,0.078125,AMP,AMP_standard,A,15
30,1,1.0,"=""=""""""""""""""""",1.0,A16,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:03.015,708.0,0.1,7080.0,,,water,water,water,water,A,16
32,1,1.0,"=""=""""""""""""""""",1.0,A17,-,US LUM 384 (cps)(1),0.0,0.0,0.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0.0,00:00:03.208,2308.0,0.1,23080.0,,,a,0.0390625,AMP,AMP_standard,A,17
