,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reagents,hours,minutes,seconds
0,00:00:00,A,1,70641.695,a,AMP_standard,10,,00,00,00
1,00:00:00,C,1,70433.438,b,AMP_standard,10,,00,00,00
2,00:00:00,E,1,71877.375,c,AMP_standard,10,,00,00,00
3,00:00:00,G,1,63799.672,a,AMP_standard_no_ATP,10,,00,00,00
4,00:00:00,I,1,61178.375,b,AMP_standard_no_ATP,10,,00,00,00
5,00:00:00,K,1,62294.645,c,AMP_standard_no_ATP,10,,00,00,00
6,00:00:00,M,1,2.7769999999999997,a,buffer,,buffer,00,00,00
7,00:00:00,O,1,0.0,a,water,,water,00,00,00
8,00:00:00,A,3,28809.262000000002,a,AMP_standard,5,,00,00,00
9,00:00:00,C,3,29758.924,b,AMP_standard,5,,00,00,00
10,00:00:00,E,3,30664.16,c,AMP_standard,5,,00,00,00
11,00:00:00,G,3,24799.568,a,AMP_standard_no_ATP,5,,00,00,00
12,00:00:00,I,3,24352.504,b,AMP_standard_no_ATP,5,,00,00,00
13,00:00:00,K,3,23830.465,c,AMP_standard_no_ATP,5,,00,00,00
14,00:00:00,M,3,11.107000000000001,b,buffer,,buffer,00,00,00
15,00:00:00,O,3,5.553999999999999,b,water,,water,00,00,00
16,00:00:00,A,5,10379.665,a,AMP_standard,2.5,,00,00,00
17,00:00:00,C,5,11046.096000000001,b,AMP_standard,2.5,,00,00,00
18,00:00:00,E,5,11132.176000000001,c,AMP_standard,2.5,,00,00,00
19,00:00:00,G,5,8027.718000000001,a,AMP_standard_no_ATP,2.5,,00,00,00
20,00:00:00,I,5,8260.969000000001,b,AMP_standard_no_ATP,2.5,,00,00,00
21,00:00:00,K,5,7591.7609999999995,c,AMP_standard_no_ATP,2.5,,00,00,00
22,00:00:00,M,5,5.553999999999999,c,buffer,,buffer,00,00,00
23,00:00:00,O,5,11.107000000000001,c,water,,water,00,00,00
24,00:00:00,A,7,3707.0229999999997,a,AMP_standard,1.25,,00,00,00
25,00:00:00,C,7,4026.3540000000003,b,AMP_standard,1.25,,00,00,00
26,00:00:00,E,7,4345.686,c,AMP_standard,1.25,,00,00,00
27,00:00:00,G,7,2290.857,a,AMP_standard_no_ATP,1.25,,00,00,00
28,00:00:00,I,7,2457.465,b,AMP_standard_no_ATP,1.25,,00,00,00
29,00:00:00,K,7,2465.795,c,AMP_standard_no_ATP,1.25,,00,00,00
30,00:00:00,M,7,30.545,a,buffer,,buffer+R1,00,00,00
31,00:00:00,O,7,8.33,a,water,,water+R1,00,00,00
32,00:00:00,A,9,1643.8629999999998,a,AMP_standard,0.625,,00,00,00
33,00:00:00,C,9,1632.756,b,AMP_standard,0.625,,00,00,00
34,00:00:00,E,9,1710.507,c,AMP_standard,0.625,,00,00,00
35,00:00:00,G,9,652.547,a,AMP_standard_no_ATP,0.625,,00,00,00
36,00:00:00,I,9,683.092,b,AMP_standard_no_ATP,0.625,,00,00,00
37,00:00:00,K,9,671.985,c,AMP_standard_no_ATP,0.625,,00,00,00
38,00:00:00,M,9,13.884,b,buffer,,buffer+R1,00,00,00
39,00:00:00,O,9,22.214000000000002,b,water,,water+R1,00,00,00
40,00:00:00,A,11,744.181,a,AMP_standard,0.3125,,00,00,00
41,00:00:00,C,11,894.128,b,AMP_standard,0.3125,,00,00,00
42,00:00:00,E,11,791.387,c,AMP_standard,0.3125,,00,00,00
43,00:00:00,G,11,208.26,a,AMP_standard_no_ATP,0.3125,,00,00,00
44,00:00:00,I,11,166.608,b,AMP_standard_no_ATP,0.3125,,00,00,00
