,time,row_384,column_384,rfu_value
0,00:00:00,F,1,60286.191
1,00:00:00,H,1,58778.969000000005
2,00:00:00,J,1,58390.914000000004
3,00:00:00,L,1,79551.117
4,00:00:00,N,1,70190.016
5,00:00:00,P,1,39764.309
6,00:00:00,F,3,23204.52
7,00:00:00,H,3,24753.924
8,00:00:00,J,3,24289.945
9,00:00:00,L,3,241.831
10,00:00:00,N,3,264.327
11,00:00:00,P,3,129.351
12,00:00:00,F,5,8495.013
13,00:00:00,H,5,9009.607
14,00:00:00,J,5,8719.973
15,00:00:00,L,5,109.66799999999999
16,00:00:00,N,5,126.539
17,00:00:00,P,5,67.488
18,00:00:00,F,7,3208.4770000000003
19,00:00:00,H,7,3225.349
20,00:00:00,J,7,3028.51
21,00:00:00,L,7,30.932
22,00:00:00,N,7,16.872
23,00:00:00,P,7,14.06
24,00:00:00,F,9,1358.19
25,00:00:00,H,9,1405.994
26,00:00:00,J,9,1321.634
27,00:00:00,L,9,26876.972999999998
28,00:00:00,N,9,19894.808999999997
29,00:00:00,P,9,14194.911
30,00:00:00,F,11,750.801
31,00:00:00,H,11,942.0160000000001
32,00:00:00,J,11,776.1080000000001
33,00:00:00,L,11,354.31
34,00:00:00,N,11,281.199
35,00:00:00,P,11,81.548
36,00:00:00,F,13,469.602
37,00:00:00,H,13,449.918
38,00:00:00,J,13,508.97
39,00:00:00,L,13,130346.852
40,00:00:00,N,13,122118.984
41,00:00:00,P,13,112746.625
42,00:00:00,F,15,368.37
43,00:00:00,H,15,458.35400000000004
44,00:00:00,J,15,497.722
45,00:00:00,L,15,25771.861
46,00:00:00,N,15,39173.793
47,00:00:00,P,15,26024.943
48,00:00:00,F,17,281.199
49,00:00:00,H,17,359.934
50,00:00:00,J,17,368.37
51,00:00:00,L,17,511.782
52,00:00:00,N,17,402.11400000000003
53,00:00:00,P,17,151.847
54,00:00:00,F,19,329.00300000000004
55,00:00:00,H,19,334.626
56,00:00:00,J,19,314.943
57,00:00:00,L,19,33.744
58,00:00:00,N,19,14.06
59,00:00:00,P,19,19.684
