,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,RNAseT,gRNA,target,hours,minutes,seconds,kit
0,00:00:00,F,1,60286.191,a,AMP_standard,10,,,,,00,00,00,AMP
1,00:00:00,H,1,58778.969000000005,b,AMP_standard,10,,,,,00,00,00,AMP
2,00:00:00,J,1,58390.914000000004,c,AMP_standard,10,,,,,00,00,00,AMP
3,00:00:00,L,1,79551.117,a,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,target_added,00,00,00,AMP
4,00:00:00,N,1,70190.016,b,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,target_added,00,00,00,AMP
5,00:00:00,P,1,39764.309,c,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,target_added,00,00,00,AMP
6,00:00:00,F,3,23204.52,a,AMP_standard,5,,,,,00,00,00,AMP
7,00:00:00,H,3,24753.924,b,AMP_standard,5,,,,,00,00,00,AMP
8,00:00:00,J,3,24289.945,c,AMP_standard,5,,,,,00,00,00,AMP
9,00:00:00,L,3,241.831,a,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,no_target,00,00,00,AMP
10,00:00:00,N,3,264.327,b,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,no_target,00,00,00,AMP
11,00:00:00,P,3,129.351,c,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,no_target,00,00,00,AMP
12,00:00:00,F,5,8495.013,a,AMP_standard,2.5,,,,,00,00,00,AMP
13,00:00:00,H,5,9009.607,b,AMP_standard,2.5,,,,,00,00,00,AMP
14,00:00:00,J,5,8719.973,c,AMP_standard,2.5,,,,,00,00,00,AMP
15,00:00:00,L,5,109.66799999999999,a,sample,,r17A-AAAAA-phos,RNAseT,no_gRNA,target_added,00,00,00,AMP
16,00:00:00,N,5,126.539,b,sample,,r17A-AAAAA-phos,RNAseT,no_gRNA,target_added,00,00,00,AMP
17,00:00:00,P,5,67.488,c,sample,,r17A-AAAAA-phos,RNAseT,no_gRNA,target_added,00,00,00,AMP
18,00:00:00,F,7,3208.4770000000003,a,AMP_standard,1.25,,,,,00,00,00,AMP
19,00:00:00,H,7,3225.349,b,AMP_standard,1.25,,,,,00,00,00,AMP
20,00:00:00,J,7,3028.51,c,AMP_standard,1.25,,,,,00,00,00,AMP
21,00:00:00,L,7,30.932,a,sample,,r17A-AAAAA-phos,no_RNAseT,syn_11C,target_added,00,00,00,AMP
22,00:00:00,N,7,16.872,b,sample,,r17A-AAAAA-phos,no_RNAseT,syn_11C,target_added,00,00,00,AMP
23,00:00:00,P,7,14.06,c,sample,,r17A-AAAAA-phos,no_RNAseT,syn_11C,target_added,00,00,00,AMP
24,00:00:00,F,9,1358.19,a,AMP_standard,0.625,,,,,00,00,00,AMP
25,00:00:00,H,9,1405.994,b,AMP_standard,0.625,,,,,00,00,00,AMP
26,00:00:00,J,9,1321.634,c,AMP_standard,0.625,,,,,00,00,00,AMP
27,00:00:00,L,9,26876.972999999998,a,sample,,r17Ar3C,RNAseT,syn_11C,target_added,00,00,00,AMP
28,00:00:00,N,9,19894.808999999997,b,sample,,r17Ar3C,RNAseT,syn_11C,target_added,00,00,00,AMP
29,00:00:00,P,9,14194.911,c,sample,,r17Ar3C,RNAseT,syn_11C,target_added,00,00,00,AMP
30,00:00:00,F,11,750.801,a,AMP_standard,0.3125,,,,,00,00,00,AMP
31,00:00:00,H,11,942.0160000000001,b,AMP_standard,0.3125,,,,,00,00,00,AMP
32,00:00:00,J,11,776.1080000000001,c,AMP_standard,0.3125,,,,,00,00,00,AMP
33,00:00:00,L,11,354.31,a,sample,,r17Ar3C,RNAseT,syn_11C,no_target,00,00,00,AMP
34,00:00:00,N,11,281.199,b,sample,,r17Ar3C,RNAseT,syn_11C,no_target,00,00,00,AMP
35,00:00:00,P,11,81.548,c,sample,,r17Ar3C,RNAseT,syn_11C,no_target,00,00,00,AMP
36,00:00:00,F,13,469.602,a,AMP_standard,0.15625,,,,,00,00,00,AMP
37,00:00:00,H,13,449.918,b,AMP_standard,0.15625,,,,,00,00,00,AMP
38,00:00:00,J,13,508.97,c,AMP_standard,0.15625,,,,,00,00,00,AMP
39,00:00:00,L,13,130346.852,a,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,target_added,00,00,00,AMP
40,00:00:00,N,13,122118.984,b,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,target_added,00,00,00,AMP
41,00:00:00,P,13,112746.625,c,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,target_added,00,00,00,AMP
42,00:00:00,F,15,368.37,a,AMP_standard,0.078125,,,,,00,00,00,AMP
43,00:00:00,H,15,458.35400000000004,b,AMP_standard,0.078125,,,,,00,00,00,AMP
44,00:00:00,J,15,497.722,c,AMP_standard,0.078125,,,,,00,00,00,AMP
45,00:00:00,L,15,25771.861,a,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,no_target,00,00,00,AMP
46,00:00:00,N,15,39173.793,b,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,no_target,00,00,00,AMP
47,00:00:00,P,15,26024.943,c,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,no_target,00,00,00,AMP
48,00:00:00,F,17,281.199,a,AMP_standard,0.0390625,,,,,00,00,00,AMP
49,00:00:00,H,17,359.934,b,AMP_standard,0.0390625,,,,,00,00,00,AMP
50,00:00:00,J,17,368.37,c,AMP_standard,0.0390625,,,,,00,00,00,AMP
51,00:00:00,L,17,511.782,a,sample,,no_reporter,RNAseT,syn_11C,target_added,00,00,00,AMP
52,00:00:00,N,17,402.11400000000003,b,sample,,no_reporter,RNAseT,syn_11C,target_added,00,00,00,AMP
53,00:00:00,P,17,151.847,c,sample,,no_reporter,RNAseT,syn_11C,target_added,00,00,00,AMP
54,00:00:00,F,19,329.00300000000004,a,AMP_standard,0.0195312,,,,,00,00,00,AMP
55,00:00:00,H,19,334.626,b,AMP_standard,0.0195312,,,,,00,00,00,AMP
56,00:00:00,J,19,314.943,c,AMP_standard,0.0195312,,,,,00,00,00,AMP
57,00:00:00,L,19,33.744,a,sample,,,,,,00,00,00,AMP
58,00:00:00,N,19,14.06,b,sample,,,,,,00,00,00,AMP
59,00:00:00,P,19,19.684,c,sample,,,,,,00,00,00,AMP
60,00:00:00,F,21,278.387,a,AMP_standard,0.0097656,,,,,00,00,00,AMP
61,00:00:00,H,21,359.934,b,AMP_standard,0.0097656,,,,,00,00,00,AMP
62,00:00:00,J,21,312.131,c,AMP_standard,0.0097656,,,,,00,00,00,AMP
63,00:00:00,L,21,36.556,a,sample,,,,,,00,00,00,AMP
64,00:00:00,N,21,14.06,b,sample,,,,,,00,00,00,AMP
65,00:00:00,P,21,16.872,c,sample,,,,,,00,00,00,AMP
66,00:00:00,F,23,351.49800000000005,a,AMP_standard,0,,,,,00,00,00,AMP
67,00:00:00,H,23,357.12199999999996,b,AMP_standard,0,,,,,00,00,00,AMP
68,00:00:00,J,23,317.755,c,AMP_standard,0,,,,,00,00,00,AMP
69,00:00:00,L,23,19.684,a,sample,,,,,,00,00,00,AMP
70,00:00:00,N,23,5.624,b,sample,,,,,,00,00,00,AMP
71,00:00:00,P,23,16.872,c,sample,,,,,,00,00,00,AMP
72,00:10:00,F,1,69644.648,a,AMP_standard,10,,,,,00,10,00,AMP
73,00:10:00,H,1,68116.164,b,AMP_standard,10,,,,,00,10,00,AMP
74,00:10:00,J,1,68832.461,c,AMP_standard,10,,,,,00,10,00,AMP
75,00:10:00,L,1,86393.086,a,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,target_added,00,10,00,AMP
76,00:10:00,N,1,78197.945,b,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,target_added,00,10,00,AMP
77,00:10:00,P,1,50721.922,c,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,target_added,00,10,00,AMP
78,00:10:00,F,3,28316.402000000002,a,AMP_standard,5,,,,,00,10,00,AMP
79,00:10:00,H,3,30555.545,b,AMP_standard,5,,,,,00,10,00,AMP
80,00:10:00,J,3,30482.222999999998,c,AMP_standard,5,,,,,00,10,00,AMP
81,00:10:00,L,3,400.45099999999996,a,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,no_target,00,10,00,AMP
82,00:10:00,N,3,391.991,b,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,no_target,00,10,00,AMP
83,00:10:00,P,3,180.485,c,sample,,r17A-AAAAA-phos,RNAseT,syn_11C,no_target,00,10,00,AMP
84,00:10:00,F,5,11113.928,a,AMP_standard,2.5,,,,,00,10,00,AMP
85,00:10:00,H,5,11593.34,b,AMP_standard,2.5,,,,,00,10,00,AMP
86,00:10:00,J,5,11624.36,c,AMP_standard,2.5,,,,,00,10,00,AMP
87,00:10:00,L,5,203.046,a,sample,,r17A-AAAAA-phos,RNAseT,no_gRNA,target_added,00,10,00,AMP
88,00:10:00,N,5,152.284,b,sample,,r17A-AAAAA-phos,RNAseT,no_gRNA,target_added,00,10,00,AMP
89,00:10:00,P,5,141.004,c,sample,,r17A-AAAAA-phos,RNAseT,no_gRNA,target_added,00,10,00,AMP
90,00:10:00,F,7,4049.632,a,AMP_standard,1.25,,,,,00,10,00,AMP
91,00:10:00,H,7,4435.982,b,AMP_standard,1.25,,,,,00,10,00,AMP
92,00:10:00,J,7,4156.795,c,AMP_standard,1.25,,,,,00,10,00,AMP
93,00:10:00,L,7,36.661,a,sample,,r17A-AAAAA-phos,no_RNAseT,syn_11C,target_added,00,10,00,AMP
94,00:10:00,N,7,19.741,b,sample,,r17A-AAAAA-phos,no_RNAseT,syn_11C,target_added,00,10,00,AMP
95,00:10:00,P,7,31.021,c,sample,,r17A-AAAAA-phos,no_RNAseT,syn_11C,target_added,00,10,00,AMP
96,00:10:00,F,9,1748.4479999999999,a,AMP_standard,0.625,,,,,00,10,00,AMP
97,00:10:00,H,9,1844.3310000000001,b,AMP_standard,0.625,,,,,00,10,00,AMP
98,00:10:00,J,9,1725.888,c,AMP_standard,0.625,,,,,00,10,00,AMP
99,00:10:00,L,9,32741.104,a,sample,,r17Ar3C,RNAseT,syn_11C,target_added,00,10,00,AMP
100,00:10:00,N,9,25634.507999999998,b,sample,,r17Ar3C,RNAseT,syn_11C,target_added,00,10,00,AMP
101,00:10:00,P,9,18945.283,c,sample,,r17Ar3C,RNAseT,syn_11C,target_added,00,10,00,AMP
102,00:10:00,F,11,815.003,a,AMP_standard,0.3125,,,,,00,10,00,AMP
103,00:10:00,H,11,1195.713,b,AMP_standard,0.3125,,,,,00,10,00,AMP
104,00:10:00,J,11,972.927,c,AMP_standard,0.3125,,,,,00,10,00,AMP
105,00:10:00,L,11,445.57199999999995,a,sample,,r17Ar3C,RNAseT,syn_11C,no_target,00,10,00,AMP
106,00:10:00,N,11,366.61,b,sample,,r17Ar3C,RNAseT,syn_11C,no_target,00,10,00,AMP
107,00:10:00,P,11,121.26299999999999,c,sample,,r17Ar3C,RNAseT,syn_11C,no_target,00,10,00,AMP
108,00:10:00,F,13,569.656,a,AMP_standard,0.15625,,,,,00,10,00,AMP
109,00:10:00,H,13,626.057,b,AMP_standard,0.15625,,,,,00,10,00,AMP
110,00:10:00,J,13,600.677,c,AMP_standard,0.15625,,,,,00,10,00,AMP
111,00:10:00,L,13,126621.492,a,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,target_added,00,10,00,AMP
112,00:10:00,N,13,121965.555,b,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,target_added,00,10,00,AMP
113,00:10:00,P,13,114808.18699999999,c,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,target_added,00,10,00,AMP
114,00:10:00,F,15,411.731,a,AMP_standard,0.078125,,,,,00,10,00,AMP
115,00:10:00,H,15,487.87300000000005,b,AMP_standard,0.078125,,,,,00,10,00,AMP
116,00:10:00,J,15,572.476,c,AMP_standard,0.078125,,,,,00,10,00,AMP
117,00:10:00,L,15,30961.635,a,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,no_target,00,10,00,AMP
118,00:10:00,N,15,44754.637,b,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,no_target,00,10,00,AMP
119,00:10:00,P,15,32191.189,c,sample,,r17A-TTATT-r3C,RNAseT,syn_11C,no_target,00,10,00,AMP
120,00:10:00,F,17,341.22900000000004,a,AMP_standard,0.0390625,,,,,00,10,00,AMP
121,00:10:00,H,17,406.091,b,AMP_standard,0.0390625,,,,,00,10,00,AMP
122,00:10:00,J,17,501.974,c,AMP_standard,0.0390625,,,,,00,10,00,AMP
123,00:10:00,L,17,744.5010000000001,a,sample,,no_reporter,RNAseT,syn_11C,target_added,00,10,00,AMP
124,00:10:00,N,17,575.2959999999999,b,sample,,no_reporter,RNAseT,syn_11C,target_added,00,10,00,AMP
125,00:10:00,P,17,183.305,c,sample,,no_reporter,RNAseT,syn_11C,target_added,00,10,00,AMP
126,00:10:00,F,19,394.811,a,AMP_standard,0.0195312,,,,,00,10,00,AMP
127,00:10:00,H,19,456.853,b,AMP_standard,0.0195312,,,,,00,10,00,AMP
128,00:10:00,J,19,327.129,c,AMP_standard,0.0195312,,,,,00,10,00,AMP
129,00:10:00,L,19,5.64,a,sample,,,,,,00,10,00,AMP
130,00:10:00,N,19,19.741,b,sample,,,,,,00,10,00,AMP
131,00:10:00,P,19,11.28,c,sample,,,,,,00,10,00,AMP
132,00:10:00,F,21,310.209,a,AMP_standard,0.0097656,,,,,00,10,00,AMP
133,00:10:00,H,21,485.05300000000005,b,AMP_standard,0.0097656,,,,,00,10,00,AMP
134,00:10:00,J,21,377.89,c,AMP_standard,0.0097656,,,,,00,10,00,AMP
135,00:10:00,L,21,25.381,a,sample,,,,,,00,10,00,AMP
136,00:10:00,N,21,8.46,b,sample,,,,,,00,10,00,AMP
137,00:10:00,P,21,14.1,c,sample,,,,,,00,10,00,AMP
138,00:10:00,F,23,352.51,a,AMP_standard,0,,,,,00,10,00,AMP
139,00:10:00,H,23,420.19199999999995,b,AMP_standard,0,,,,,00,10,00,AMP
140,00:10:00,J,23,346.87,c,AMP_standard,0,,,,,00,10,00,AMP
141,00:10:00,L,23,25.381,a,sample,,,,,,00,10,00,AMP
142,00:10:00,N,23,31.021,b,sample,,,,,,00,10,00,AMP
143,00:10:00,P,23,14.1,c,sample,,,,,,00,10,00,AMP
144,00:20:00,F,1,72914.773,a,AMP_standard,10,,,,,00,20,00,AMP
145,00:20:00,H,1,72031.961,b,AMP_standard,10,,,,,00,20,00,AMP
