,experiment,read,read_number,row,column,well,rfu_value,standard_substrate,kit,minutes,concentration,concentration_moles
0,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,A,10.0,A10,15018100.0,ATP,ENLITEN_10s,0,10^-11mol/100nM,1E-11
1,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,B,10.0,B10,1432900.0,ATP,ENLITEN_10s,0,10^-12mol/10nM,1E-12
2,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,C,10.0,C10,470561.0,ATP,ENLITEN_10s,0,10^-13mol/1nM,1E-13
3,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,D,10.0,D10,205225.0,ATP,ENLITEN_10s,0,10^-14mol/100pM,1E-14
4,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,E,10.0,E10,132085.0,ATP,ENLITEN_10s,0,10^-15mol/10pM,1E-15
5,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,F,10.0,F10,98117.8,ATP,ENLITEN_10s,0,10^-16mol/1pM,1E-16
6,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,G,10.0,G10,89888.9,ATP,ENLITEN_10s,0,10^-17mol/100fM,1E-17
7,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,H,10.0,H10,80163.2,ATP,ENLITEN_10s,0,0mol/0pM,0
8,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,A,11.0,A11,15527900.0,ATP,ENLITEN_10s,0,10^-11mol/100nM,1E-11
9,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,B,11.0,B11,1466070.0,ATP,ENLITEN_10s,0,10^-12mol/10nM,1E-12
10,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,C,11.0,C11,395729.0,ATP,ENLITEN_10s,0,10^-13mol/1nM,1E-13
11,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,D,11.0,D11,183026.0,ATP,ENLITEN_10s,0,10^-14mol/100pM,1E-14
12,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,E,11.0,E11,117091.0,ATP,ENLITEN_10s,0,10^-15mol/10pM,1E-15
13,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,F,11.0,F11,93995.7,ATP,ENLITEN_10s,0,10^-16mol/1pM,1E-16
14,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,G,11.0,G11,83115.7,ATP,ENLITEN_10s,0,10^-17mol/100fM,1E-17
15,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,H,11.0,H11,79057.6,ATP,ENLITEN_10s,0,0mol/0pM,0
16,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,A,12.0,A12,16016400.0,ATP,ENLITEN_10s,0,10^-11mol/100nM,1E-11
17,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,B,12.0,B12,1399820.0,ATP,ENLITEN_10s,0,10^-12mol/10nM,1E-12
18,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,C,12.0,C12,328180.0,ATP,ENLITEN_10s,0,10^-13mol/1nM,1E-13
19,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,D,12.0,D12,147475.0,ATP,ENLITEN_10s,0,10^-14mol/100pM,1E-14
20,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,E,12.0,E12,105807.0,ATP,ENLITEN_10s,0,10^-15mol/10pM,1E-15
21,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,F,12.0,F12,88129.7,ATP,ENLITEN_10s,0,10^-16mol/1pM,1E-16
22,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,G,12.0,G12,79472.0,ATP,ENLITEN_10s,0,10^-17mol/100fM,1E-17
23,ENLITEN_STDS,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate,1,H,12.0,H12,75402.5,ATP,ENLITEN_10s,0,0mol/0pM,0
0,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,A,1,A1,18904700.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
1,ENLITEN_STDS_kinetic,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,A,1,A1,18653800.0,ATP,ENLITEN_60s,0,10^-11mol/100nM,1E-11
