,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,hours,minutes,seconds
0,00:00:00,A,1,4639.806,a,100uL,10,00,00,00
1,00:00:00,C,1,8092.064,b,100uL,10,00,00,00
2,00:00:00,E,1,1565.613,a,20uL,10,00,00,00
3,00:00:00,G,1,2701.647,b,20uL,10,00,00,00
4,00:00:00,A,3,4577.255,a,100uL,5,00,00,00
5,00:00:00,C,3,4912.086,b,100uL,5,00,00,00
6,00:00:00,E,3,740.492,a,20uL,5,00,00,00
7,00:00:00,G,3,716.576,b,20uL,5,00,00,00
8,00:00:00,A,5,1376.12,a,100uL,2.5,00,00,00
9,00:00:00,C,5,1426.713,b,100uL,2.5,00,00,00
10,00:00:00,E,5,237.326,a,20uL,2.5,00,00,00
11,00:00:00,G,5,201.451,b,20uL,2.5,00,00,00
12,00:00:00,A,7,416.699,a,100uL,1.25,00,00,00
13,00:00:00,C,7,398.302,b,100uL,1.25,00,00,00
14,00:00:00,E,7,91.067,a,20uL,1.25,00,00,00
15,00:00:00,G,7,70.83,b,20uL,1.25,00,00,00
16,00:00:00,A,9,161.896,a,100uL,0.625,00,00,00
17,00:00:00,C,9,150.858,b,100uL,0.625,00,00,00
18,00:00:00,E,9,31.275,a,20uL,0.625,00,00,00
19,00:00:00,G,9,31.275,b,20uL,0.625,00,00,00
20,00:00:00,A,11,32.195,a,100uL,0.3125,00,00,00
21,00:00:00,C,11,77.269,b,100uL,0.3125,00,00,00
22,00:00:00,E,11,19.317,a,20uL,0.3125,00,00,00
23,00:00:00,G,11,33.115,b,20uL,0.3125,00,00,00
24,00:00:00,A,13,20.237,a,100uL,0.15625,00,00,00
25,00:00:00,C,13,22.077,b,100uL,0.15625,00,00,00
26,00:00:00,E,13,11.038,a,20uL,0.15625,00,00,00
27,00:00:00,G,13,21.157,b,20uL,0.15625,00,00,00
28,00:00:00,A,15,21.157,a,100uL,0.078125,00,00,00
29,00:00:00,C,15,11.958,b,100uL,0.078125,00,00,00
30,00:00:00,E,15,12.878,a,20uL,0.078125,00,00,00
31,00:00:00,G,15,27.596,b,20uL,0.078125,00,00,00
32,00:00:00,A,17,16.558,a,100uL,0.0390625,00,00,00
33,00:00:00,C,17,12.878,b,100uL,0.0390625,00,00,00
34,00:00:00,E,17,10.119,a,20uL,0.0390625,00,00,00
35,00:00:00,G,17,10.119,b,20uL,0.0390625,00,00,00
36,00:00:00,A,19,14.718,a,100uL,0.0195312,00,00,00
37,00:00:00,C,19,9.199,b,100uL,0.0195312,00,00,00
38,00:00:00,E,19,8.279,a,20uL,0.0195312,00,00,00
39,00:00:00,G,19,31.275,b,20uL,0.0195312,00,00,00
40,00:00:00,A,21,16.558,a,100uL,0.0097656,00,00,00
41,00:00:00,C,21,15.638,b,100uL,0.0097656,00,00,00
42,00:00:00,E,21,18.397,a,20uL,0.0097656,00,00,00
43,00:00:00,G,21,11.038,b,20uL,0.0097656,00,00,00
44,00:00:00,A,23,11.038,a,100uL,0,00,00,00
45,00:00:00,C,23,11.958,b,100uL,0,00,00,00
46,00:00:00,E,23,32.195,a,20uL,0,00,00,00
47,00:00:00,G,23,7.359,b,20uL,0,00,00,00
48,00:10:00,A,1,6247.421,a,100uL,10,00,10,00
49,00:10:00,C,1,10305.408,b,100uL,10,00,10,00
50,00:10:00,E,1,2182.924,a,20uL,10,00,10,00
51,00:10:00,G,1,3240.437,b,20uL,10,00,10,00
52,00:10:00,A,3,6040.941,a,100uL,5,00,10,00
53,00:10:00,C,3,6351.591,b,100uL,5,00,10,00
54,00:10:00,E,3,1051.933,a,20uL,5,00,10,00
55,00:10:00,G,3,1103.088,b,20uL,5,00,10,00
56,00:10:00,A,5,2063.872,a,100uL,2.5,00,10,00
57,00:10:00,C,5,2027.598,b,100uL,2.5,00,10,00
58,00:10:00,E,5,390.638,a,20uL,2.5,00,10,00
59,00:10:00,G,5,364.596,b,20uL,2.5,00,10,00
60,00:10:00,A,7,625.951,a,100uL,1.25,00,10,00
61,00:10:00,C,7,658.504,b,100uL,1.25,00,10,00
62,00:10:00,E,7,124.632,a,20uL,1.25,00,10,00
63,00:10:00,G,7,117.191,b,20uL,1.25,00,10,00
