,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,RNAseT,gRNA,target,hours,minutes,seconds
0,00:00:00,A,1,96288.937,a,AMP_standard,10,,,,,00,00,00
1,00:00:00,C,1,89030.617,b,AMP_standard,10,,,,,00,00,00
2,00:00:00,E,1,88130.063,c,AMP_standard,10,,,,,00,00,00
3,00:00:00,G,1,37540.125,a,sample,,r17A-AAAAA-r3C-phos,RNAseT,alt-R_11C,target_added,00,00,00
4,00:00:00,I,1,58084.809,b,sample,,r17A-AAAAA-r3C-phos,RNAseT,alt-R_11C,target_added,00,00,00
5,00:00:00,K,1,55773.145,c,sample,,r17A-AAAAA-r3C-phos,RNAseT,alt-R_11C,target_added,00,00,00
6,00:00:00,A,3,35697.918,a,AMP_standard,5,,,,,00,00,00
7,00:00:00,C,3,35493.328,b,AMP_standard,5,,,,,00,00,00
8,00:00:00,E,3,35774.637,c,AMP_standard,5,,,,,00,00,00
9,00:00:00,G,3,84.027,a,sample,,r17A-AAAAA-r3C-phos,RNAseT,alt-R_11C,no_target,00,00,00
10,00:00:00,I,3,46.58,b,sample,,r17A-AAAAA-r3C-phos,RNAseT,alt-R_11C,no_target,00,00,00
11,00:00:00,K,3,73.067,c,sample,,r17A-AAAAA-r3C-phos,RNAseT,alt-R_11C,no_target,00,00,00
12,00:00:00,A,5,12928.336,a,AMP_standard,2.5,,,,,00,00,00
13,00:00:00,C,5,12888.149,b,AMP_standard,2.5,,,,,00,00,00
14,00:00:00,E,5,12796.815,c,AMP_standard,2.5,,,,,00,00,00
15,00:00:00,G,5,61.194,a,sample,,r17A-AAAAA-r3C-phos,RNAseT,no_gRNA,target_added,00,00,00
16,00:00:00,I,5,69.414,b,sample,,r17A-AAAAA-r3C-phos,RNAseT,no_gRNA,target_added,00,00,00
17,00:00:00,K,5,62.107,c,sample,,r17A-AAAAA-r3C-phos,RNAseT,no_gRNA,target_added,00,00,00
18,00:00:00,A,7,4470.802,a,AMP_standard,1.25,,,,,00,00,00
19,00:00:00,C,7,4487.242,b,AMP_standard,1.25,,,,,00,00,00
20,00:00:00,E,7,4652.557,c,AMP_standard,1.25,,,,,00,00,00
21,00:00:00,G,7,22.834,a,sample,,r17A-AAAAA-r3C-phos,no_RNAseT,alt-R_11C,target_added,00,00,00
22,00:00:00,I,7,36.534,b,sample,,r17A-AAAAA-r3C-phos,no_RNAseT,alt-R_11C,target_added,00,00,00
23,00:00:00,K,7,46.58,c,sample,,r17A-AAAAA-r3C-phos,no_RNAseT,alt-R_11C,target_added,00,00,00
24,00:00:00,A,9,1443.992,a,AMP_standard,0.625,,,,,00,00,00
25,00:00:00,C,9,1484.178,b,AMP_standard,0.625,,,,,00,00,00
26,00:00:00,E,9,1411.111,c,AMP_standard,0.625,,,,,00,00,00
27,00:00:00,G,9,40658.273,a,sample,,r17Ar3C,RNAseT,alt-R_11C,target_added,00,00,00
28,00:00:00,I,9,47730.266,b,sample,,r17Ar3C,RNAseT,alt-R_11C,target_added,00,00,00
29,00:00:00,K,9,62570.227,c,sample,,r17Ar3C,RNAseT,alt-R_11C,target_added,00,00,00
30,00:00:00,A,11,436.577,a,AMP_standard,0.3125,,,,,00,00,00
31,00:00:00,C,11,455.757,b,AMP_standard,0.3125,,,,,00,00,00
32,00:00:00,E,11,501.424,c,AMP_standard,0.3125,,,,,00,00,00
33,00:00:00,G,11,170.795,a,sample,,r17Ar3C,RNAseT,alt-R_11C,no_target,00,00,00
34,00:00:00,I,11,158.921,b,sample,,r17Ar3C,RNAseT,alt-R_11C,no_target,00,00,00
35,00:00:00,K,11,132.434,c,sample,,r17Ar3C,RNAseT,alt-R_11C,no_target,00,00,00
36,00:00:00,A,13,144.308,a,AMP_standard,0.15625,,,,,00,00,00
37,00:00:00,C,13,126.954,b,AMP_standard,0.15625,,,,,00,00,00
38,00:00:00,E,13,187.235,c,AMP_standard,0.15625,,,,,00,00,00
39,00:00:00,G,13,99207.063,a,sample,,r17A-TTATT-r3C,RNAseT,alt-R_11C,target_added,00,00,00
40,00:00:00,I,13,100343.25,b,sample,,r17A-TTATT-r3C,RNAseT,alt-R_11C,target_added,00,00,00
41,00:00:00,K,13,106389.563,c,sample,,r17A-TTATT-r3C,RNAseT,alt-R_11C,target_added,00,00,00
42,00:00:00,A,15,42.014,a,AMP_standard,0.078125,,,,,00,00,00
43,00:00:00,C,15,51.147,b,AMP_standard,0.078125,,,,,00,00,00
44,00:00:00,E,15,49.32,c,AMP_standard,0.078125,,,,,00,00,00
45,00:00:00,G,15,41820.953,a,sample,,r17A-TTATT-r3C,RNAseT,alt-R_11C,no_target,00,00,00
46,00:00:00,I,15,11007.581,b,sample,,r17A-TTATT-r3C,RNAseT,alt-R_11C,no_target,00,00,00
47,00:00:00,K,15,12747.495,c,sample,,r17A-TTATT-r3C,RNAseT,alt-R_11C,no_target,00,00,00
48,00:00:00,A,17,34.707,a,AMP_standard,0.0390625,,,,,00,00,00
49,00:00:00,C,17,31.967,b,AMP_standard,0.0390625,,,,,00,00,00
50,00:00:00,E,17,28.314,c,AMP_standard,0.0390625,,,,,00,00,00
51,00:00:00,G,17,71296.281,a,sample,,r17A-AAAAA-phos,RNAseT,alt-R_11C,target_added,00,00,00
52,00:00:00,I,17,67924.227,b,sample,,r17A-AAAAA-phos,RNAseT,alt-R_11C,target_added,00,00,00
53,00:00:00,K,17,87484.328,c,sample,,r17A-AAAAA-phos,RNAseT,alt-R_11C,target_added,00,00,00
54,00:00:00,A,19,21.007,a,AMP_standard,0.0195312,,,,,00,00,00
55,00:00:00,C,19,15.527,b,AMP_standard,0.0195312,,,,,00,00,00
56,00:00:00,E,19,29.227,c,AMP_standard,0.0195312,,,,,00,00,00
57,00:00:00,G,19,174.448,a,sample,,r17A-AAAAA-phos,RNAseT,alt-R_11C,no_target,00,00,00
