,column,concentration,concentration_moles,experiment,kit,read,read_number,rfu_value,row,sample_set,standard_substrate,timepoint,well
0,1,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,687500,A,NANCY_DREW,AMP,,A1
1,1,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,683220,A,NANCY_DREW,AMP,,A1
2,1,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,673367,A,NANCY_DREW,AMP,,A1
3,1,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,673604,A,NANCY_DREW,AMP,,A1
4,1,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,665821,A,NANCY_DREW,AMP,,A1
5,1,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,660901,A,NANCY_DREW,AMP,,A1
6,2,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,666868,A,NANCY_DREW,AMP,,A2
7,2,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,660992,A,NANCY_DREW,AMP,,A2
8,2,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,650610,A,NANCY_DREW,AMP,,A2
9,2,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,655420,A,NANCY_DREW,AMP,,A2
10,2,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,643766,A,NANCY_DREW,AMP,,A2
11,2,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,638722,A,NANCY_DREW,AMP,,A2
12,3,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,1,593750,A,NANCY_DREW,AMP,,A3
13,3,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,2,592183,A,NANCY_DREW,AMP,,A3
14,3,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,3,586621,A,NANCY_DREW,AMP,,A3
15,3,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,4,587095,A,NANCY_DREW,AMP,,A3
16,3,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,5,574122,A,NANCY_DREW,AMP,,A3
17,3,no_reporter,,NANCY_DREW,AMP_no_kinase_ENLITEN,100µl per well (Injector 1) 2sec. 1 repeat. 96 well plate. kinetics,6,571000,A,NANCY_DREW,AMP,,A3
