,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,RNAseT,gRNA,target,background_DNA,background_DNA_mass,hours,minutes,seconds,kit
0,00:00:00,A,1,21345.85,a,AMP_standard,10,,,,,,,00,00,00,AMP
1,00:00:00,B,1,20991.928,b,AMP_standard,10,,,,,,,00,00,00,AMP
2,00:00:00,C,1,14709.834,c,AMP_standard,10,,,,,,,00,00,00,AMP
3,00:00:00,E,1,2582.516,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,400ng,00,00,00,AMP
4,00:00:00,G,1,52.535,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,400ng,00,00,00,AMP
5,00:00:00,I,1,33.18,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,400ng,00,00,00,AMP
6,00:00:00,K,1,616.596,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,400ng,00,00,00,AMP
7,00:00:00,M,1,27.65,a,IS_gRNAs,,r17Ar3C,RNAseT,IS6110_A7,IS6110_A7,none,none,00,00,00,AMP
8,00:00:00,N,1,30.415,b,IS_gRNAs,,r17Ar3C,RNAseT,IS6110_A7,IS6110_A7,none,none,00,00,00,AMP
9,00:00:00,A,3,5552.133,a,AMP_standard,5,,,,,,,00,00,00,AMP
10,00:00:00,B,3,5662.733,b,AMP_standard,5,,,,,,,00,00,00,AMP
11,00:00:00,C,3,4241.52,c,AMP_standard,5,,,,,,,00,00,00,AMP
12,00:00:00,E,3,2690.351,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,40ng,00,00,00,AMP
13,00:00:00,G,3,41.475,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,40ng,00,00,00,AMP
14,00:00:00,I,3,47.005,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,40ng,00,00,00,AMP
15,00:00:00,K,3,1816.609,c,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,CRE_RR013,40ng,00,00,00,AMP
16,00:00:00,M,3,11.06,a,IS_gRNAs,,no_reporter,RNAseT,IS6110_A7,IS6110_A7,none,none,00,00,00,AMP
17,00:00:00,N,3,5.53,b,IS_gRNAs,,no_reporter,RNAseT,IS6110_A7,IS6110_A7,none,none,00,00,00,AMP
18,00:00:00,A,5,1697.714,a,AMP_standard,2.5,,,,,,,00,00,00,AMP
19,00:00:00,B,5,2104.17,b,AMP_standard,2.5,,,,,,,00,00,00,AMP
20,00:00:00,C,5,1689.419,c,AMP_standard,2.5,,,,,,,00,00,00,AMP
21,00:00:00,E,5,3735.524,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,target_added,human_HEK293,4ng,00,00,00,AMP
22,00:00:00,G,5,52.535,a,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,CRE_RR013,4ng,00,00,00,AMP
23,00:00:00,I,5,66.36,b,AMP_background,,r17Ar3C,RNAseT,syn_11C,no_target,human_HEK293,4ng,00,00,00,AMP
