,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,gRNA,target_DNA,target_DNA_input_concentration,target_DNA_input_molecules,hours,minutes,seconds,kit
0,00:00:00,A,1,2.05,a,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,00,00,DETECTR
1,00:00:00,C,1,2.243,b,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,00,00,DETECTR
2,00:00:00,E,1,2.187,c,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,00,00,DETECTR
3,00:00:00,A,3,125.507,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,00,00,DETECTR
4,00:00:00,C,3,121.172,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,00,00,DETECTR
5,00:00:00,E,3,115.296,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,00,00,DETECTR
6,00:00:00,A,5,169.592,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400nM,2.4E11,00,00,00,DETECTR
7,00:00:00,C,5,173.638,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400nM,2.4E11,00,00,00,DETECTR
8,00:00:00,E,5,159.207,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400nM,2.4E11,00,00,00,DETECTR
9,00:00:00,A,7,148.156,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40nM,2.4E10,00,00,00,DETECTR
10,00:00:00,C,7,154.261,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40nM,2.4E10,00,00,00,DETECTR
11,00:00:00,E,7,138.289,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40nM,2.4E10,00,00,00,DETECTR
12,00:00:00,A,9,28.254,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4nM,2.4E9,00,00,00,DETECTR
13,00:00:00,C,9,27.541,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4nM,2.4E9,00,00,00,DETECTR
14,00:00:00,E,9,24.645,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4nM,2.4E9,00,00,00,DETECTR
15,00:00:00,A,11,3.734,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400pM,2.4E8,00,00,00,DETECTR
16,00:00:00,C,11,4.018,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400pM,2.4E8,00,00,00,DETECTR
17,00:00:00,E,11,3.586,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400pM,2.4E8,00,00,00,DETECTR
18,00:00:00,A,13,2.076,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40pM,2.4E7,00,00,00,DETECTR
19,00:00:00,C,13,2.181,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40pM,2.4E7,00,00,00,DETECTR
20,00:00:00,E,13,2.105,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40pM,2.4E7,00,00,00,DETECTR
21,00:00:00,A,15,2.231,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4pM,2.4E6,00,00,00,DETECTR
22,00:00:00,C,15,2.051,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4pM,2.4E6,00,00,00,DETECTR
23,00:00:00,E,15,2.196,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4pM,2.4E6,00,00,00,DETECTR
24,00:00:00,A,17,2.191,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400fM,2.4E5,00,00,00,DETECTR
25,00:00:00,C,17,2.083,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400fM,2.4E5,00,00,00,DETECTR
26,00:00:00,E,17,1.925,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400fM,2.4E5,00,00,00,DETECTR
27,00:00:00,A,19,2.107,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40fM,2.4E4,00,00,00,DETECTR
28,00:00:00,C,19,1.991,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40fM,2.4E4,00,00,00,DETECTR
29,00:00:00,E,19,1.967,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40fM,2.4E4,00,00,00,DETECTR
30,00:00:00,A,21,2.188,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,0fM,0,00,00,00,DETECTR
31,00:00:00,C,21,2.223,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,0fM,0,00,00,00,DETECTR
32,00:00:00,E,21,1.9,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,0fM,0,00,00,00,DETECTR
33,00:00:00,A,23,2.083,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS6110_A7,400nM,2.4E11,00,00,00,DETECTR
34,00:00:00,C,23,2.28,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS6110_A7,400nM,2.4E11,00,00,00,DETECTR
35,00:00:00,E,23,1.887,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS6110_A7,400nM,2.4E11,00,00,00,DETECTR
36,00:00:00,A,24,2.096,a,DETECTR_background,,DNA-FAM-TTATT,,,,,00,00,00,DETECTR
37,00:00:00,C,24,2.481,b,DETECTR_background,,DNA-FAM-TTATT,,,,,00,00,00,DETECTR
38,00:00:00,E,24,2.468,c,DETECTR_background,,DNA-FAM-TTATT,,,,,00,00,00,DETECTR
39,00:10:00,A,1,2.04,a,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,10,00,DETECTR
40,00:10:00,C,1,2.213,b,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,10,00,DETECTR
41,00:10:00,E,1,2.14,c,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,10,00,DETECTR
42,00:10:00,A,3,157.133,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,10,00,DETECTR
43,00:10:00,C,3,167.338,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,10,00,DETECTR
44,00:10:00,E,3,152.554,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,10,00,DETECTR
45,00:10:00,A,5,164.342,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400nM,2.4E11,00,10,00,DETECTR
46,00:10:00,C,5,166.424,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400nM,2.4E11,00,10,00,DETECTR
47,00:10:00,E,5,154.82,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400nM,2.4E11,00,10,00,DETECTR
48,00:10:00,A,7,160.792,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40nM,2.4E10,00,10,00,DETECTR
49,00:10:00,C,7,165.551,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40nM,2.4E10,00,10,00,DETECTR
50,00:10:00,E,7,149.096,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40nM,2.4E10,00,10,00,DETECTR
51,00:10:00,A,9,73.417,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4nM,2.4E9,00,10,00,DETECTR
52,00:10:00,C,9,74.366,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4nM,2.4E9,00,10,00,DETECTR
53,00:10:00,E,9,69.616,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4nM,2.4E9,00,10,00,DETECTR
54,00:10:00,A,11,7.904,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400pM,2.4E8,00,10,00,DETECTR
55,00:10:00,C,11,7.905,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400pM,2.4E8,00,10,00,DETECTR
56,00:10:00,E,11,7.628,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400pM,2.4E8,00,10,00,DETECTR
57,00:10:00,A,13,2.198,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40pM,2.4E7,00,10,00,DETECTR
58,00:10:00,C,13,2.342,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40pM,2.4E7,00,10,00,DETECTR
59,00:10:00,E,13,2.058,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40pM,2.4E7,00,10,00,DETECTR
60,00:10:00,A,15,2.108,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4pM,2.4E6,00,10,00,DETECTR
61,00:10:00,C,15,2.045,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4pM,2.4E6,00,10,00,DETECTR
62,00:10:00,E,15,2.142,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4pM,2.4E6,00,10,00,DETECTR
63,00:10:00,A,17,2.137,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400fM,2.4E5,00,10,00,DETECTR
64,00:10:00,C,17,2.174,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400fM,2.4E5,00,10,00,DETECTR
65,00:10:00,E,17,1.842,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400fM,2.4E5,00,10,00,DETECTR
66,00:10:00,A,19,2.101,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40fM,2.4E4,00,10,00,DETECTR
67,00:10:00,C,19,2.175,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40fM,2.4E4,00,10,00,DETECTR
68,00:10:00,E,19,1.83,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,40fM,2.4E4,00,10,00,DETECTR
69,00:10:00,A,21,1.998,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,0fM,0,00,10,00,DETECTR
70,00:10:00,C,21,2.194,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,0fM,0,00,10,00,DETECTR
71,00:10:00,E,21,2.026,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,0fM,0,00,10,00,DETECTR
72,00:10:00,A,23,2.086,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS6110_A7,400nM,2.4E11,00,10,00,DETECTR
73,00:10:00,C,23,2.096,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS6110_A7,400nM,2.4E11,00,10,00,DETECTR
74,00:10:00,E,23,1.88,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS6110_A7,400nM,2.4E11,00,10,00,DETECTR
75,00:10:00,A,24,2.034,a,DETECTR_background,,DNA-FAM-TTATT,,,,,00,10,00,DETECTR
76,00:10:00,C,24,2.54,b,DETECTR_background,,DNA-FAM-TTATT,,,,,00,10,00,DETECTR
77,00:10:00,E,24,2.644,c,DETECTR_background,,DNA-FAM-TTATT,,,,,00,10,00,DETECTR
78,00:20:00,A,1,2.072,a,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,20,00,DETECTR
79,00:20:00,C,1,2.069,b,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,20,00,DETECTR
80,00:20:00,E,1,2.081,c,DETECTR_sample,,DNA-FAM-TTATT,no_gRNA,IS1081_H6,400nM,2.4E11,00,20,00,DETECTR
81,00:20:00,A,3,161.958,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,20,00,DETECTR
82,00:20:00,C,3,177.287,b,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,20,00,DETECTR
83,00:20:00,E,3,161.95,c,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,4uM,2.4E12,00,20,00,DETECTR
84,00:20:00,A,5,164.586,a,DETECTR_sample,,DNA-FAM-TTATT,IS1081_H6,IS1081_H6,400nM,2.4E11,00,20,00,DETECTR
