,time,row_384,column_384,rfu_value,replicate,sample_set,standard_conc,reporter,gRNA,target_DNA,target_DNA_input_concentration,target_DNA_input_DNA_molecules,hours,minutes,seconds,cas12a_timing,cas12a_minutes
0,00:00:00,A,1,5300.2080000000005,a,NANCI_UMP_standard,10,,,,,,00,00,00,NANCI_UMP_standard,0
1,00:00:00,B,1,5591.8330000000005,b,NANCI_UMP_standard,10,,,,,,00,00,00,NANCI_UMP_standard,0
2,00:00:00,C,1,5434.695,c,NANCI_UMP_standard,10,,,,,,00,00,00,NANCI_UMP_standard,0
4,00:00:00,E,1,4329.069,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,30mins,30
6,00:00:00,G,1,5549.363,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,1hr,60
8,00:00:00,I,1,9040.366,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,2hr,120
10,00:00:00,K,1,9361.719000000001,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
12,00:00:00,M,1,523047.281,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
14,00:00:00,O,1,554445.063,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
16,00:00:00,A,3,2412.274,a,NANCI_UMP_standard,5,,,,,,00,00,00,NANCI_UMP_standard,0
17,00:00:00,B,3,2388.208,b,NANCI_UMP_standard,5,,,,,,00,00,00,NANCI_UMP_standard,0
18,00:00:00,C,3,2545.346,c,NANCI_UMP_standard,5,,,,,,00,00,00,NANCI_UMP_standard,0
20,00:00:00,E,3,498.31,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,30mins,30
22,00:00:00,G,3,638.46,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,1hr,60
24,00:00:00,I,3,1060.325,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,2hr,120
26,00:00:00,K,3,1404.329,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,3hr,180
28,00:00:00,M,3,468056.219,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,00,00,00,3hr,180
30,00:00:00,O,3,483946.969,c,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6_IVT,none,0nM,0,00,00,00,3hr,180
32,00:00:00,A,5,1098.547,a,NANCI_UMP_standard,2.5,,,,,,00,00,00,NANCI_UMP_standard,0
33,00:00:00,B,5,1162.252,b,NANCI_UMP_standard,2.5,,,,,,00,00,00,NANCI_UMP_standard,0
34,00:00:00,C,5,1148.095,c,NANCI_UMP_standard,2.5,,,,,,00,00,00,NANCI_UMP_standard,0
36,00:00:00,E,5,189.69799999999998,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,30mins,30
38,00:00:00,G,5,201.023,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,1hr,60
40,00:00:00,I,5,250.571,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,2hr,120
42,00:00:00,K,5,417.61800000000005,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,40pM,2.4E8,00,00,00,3hr,180
44,00:00:00,M,5,402998.43700000003,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,00,00,00,3hr,180
46,00:00:00,O,5,385359.375,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,h37rV,100ng,2E7,00,00,00,3hr,180
48,00:00:00,A,7,569.0930000000001,a,NANCI_UMP_standard,1.25,,,,,,00,00,00,NANCI_UMP_standard,0
49,00:00:00,B,7,576.1709999999999,b,NANCI_UMP_standard,1.25,,,,,,00,00,00,NANCI_UMP_standard,0
50,00:00:00,C,7,552.105,c,NANCI_UMP_standard,1.25,,,,,,00,00,00,NANCI_UMP_standard,0
52,00:00:00,E,7,184.035,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,30mins,30
54,00:00:00,G,7,134.487,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,1hr,60
56,00:00:00,I,7,168.463,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,2hr,120
58,00:00:00,K,7,233.583,a,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS6110_A7,4nM,2.4E10,00,00,00,3hr,180
60,00:00:00,M,7,384023.0,a,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,00,00,00,3hr,180
62,00:00:00,O,7,394072.75,c,NANCI_UMP_sample,,r17U-TTATT-phos,TB_96_pool,none,0ng,0,00,00,00,3hr,180
64,00:00:00,A,9,283.131,a,NANCI_UMP_standard,0.625,,,,,,00,00,00,NANCI_UMP_standard,0
65,00:00:00,B,9,298.703,b,NANCI_UMP_standard,0.625,,,,,,00,00,00,NANCI_UMP_standard,0
66,00:00:00,C,9,339.75699999999995,c,NANCI_UMP_standard,0.625,,,,,,00,00,00,NANCI_UMP_standard,0
68,00:00:00,E,9,3454.196,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,30mins,30
70,00:00:00,G,9,4592.380999999999,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,1hr,60
72,00:00:00,I,9,8140.01,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,2hr,120
74,00:00:00,K,9,8169.7390000000005,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
76,00:00:00,M,9,261.89599999999996,a,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,4nM,2.4E10,00,00,00,3hr,180
78,00:00:00,O,9,210.93200000000002,c,NANCI_UMP_sample,,r17U-TTATT-phos,no_gRNA,IS1081_H6,,,00,00,00,3hr,180
80,00:00:00,A,11,161.385,a,NANCI_UMP_standard,0.3125,,,,,,00,00,00,NANCI_UMP_standard,0
81,00:00:00,B,11,159.969,b,NANCI_UMP_standard,0.3125,,,,,,00,00,00,NANCI_UMP_standard,0
82,00:00:00,C,11,181.204,c,NANCI_UMP_standard,0.3125,,,,,,00,00,00,NANCI_UMP_standard,0
84,00:00:00,E,11,488.401,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,30mins,30
86,00:00:00,G,11,2584.984,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,1hr,60
88,00:00:00,I,11,999.452,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,2hr,120
90,00:00:00,K,11,1300.986,b,NANCI_UMP_cas12a_timing,,r17U-TTATT-phos,IS1081_H6,IS1081_H6,400pM,2.4E9,00,00,00,3hr,180
92,00:00:00,M,11,268.974,a,NANCI_UMP_sample,,r17U-TTATT-phos,IS1081_H6,none,0nM,0,00,00,00,3hr,180
