,experiment,read,read_number,row,column,well,rfu_value,sample_set,concentration,concentration_target_molecules,concentration_target_molecules_number
0,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,A,1,A1,1776.73,NANCY_DREW,no_reporter,no_reporter,0
1,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,A,1,A1,1786.73,NANCY_DREW,no_reporter,no_reporter,0
2,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,A,1,A1,1766.13,NANCY_DREW,no_reporter,no_reporter,0
3,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,A,1,A1,1761.03,NANCY_DREW,no_reporter,no_reporter,0
4,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,A,1,A1,1779.63,NANCY_DREW,no_reporter,no_reporter,0
5,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,A,1,A1,1748.83,NANCY_DREW,no_reporter,no_reporter,0
6,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,A,2,A2,1985.47,NANCY_DREW,40nM,2.4E10,2.4E10
7,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,A,2,A2,1920.56,NANCY_DREW,40nM,2.4E10,2.4E10
8,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,A,2,A2,1978.26,NANCY_DREW,40nM,2.4E10,2.4E10
9,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,A,2,A2,1919.75,NANCY_DREW,40nM,2.4E10,2.4E10
10,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,A,2,A2,1938.06,NANCY_DREW,40nM,2.4E10,2.4E10
11,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,A,2,A2,1951.36,NANCY_DREW,40nM,2.4E10,2.4E10
12,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,A,3,A3,1794.34,NANCY_DREW,4nM,2.4E9,2.4E9
13,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,A,3,A3,1763.03,NANCY_DREW,4nM,2.4E9,2.4E9
