,time,row_384,column_384,rfu_value
0,00:00:00,A,2,2.932
2,00:00:00,C,2,2.891
4,00:00:00,E,2,2.813
6,00:00:00,G,2,3.258
8,00:00:00,I,2,5.146
10,00:00:00,K,2,4.941
12,00:00:00,M,2,2.678
14,00:00:00,O,2,2.903
16,00:10:00,A,2,3.39
18,00:10:00,C,2,3.469
20,00:10:00,E,2,2.636
22,00:10:00,G,2,3.17
24,00:10:00,I,2,8.943
26,00:10:00,K,2,9.196
28,00:10:00,M,2,2.7460000000000004
30,00:10:00,O,2,2.742
32,00:20:00,A,2,4.236000000000001
34,00:20:00,C,2,4.448
36,00:20:00,E,2,2.6310000000000002
38,00:20:00,G,2,3.015
40,00:20:00,I,2,14.035
42,00:20:00,K,2,14.209000000000001
44,00:20:00,M,2,2.71
46,00:20:00,O,2,2.5869999999999997
48,00:30:00,A,2,5.021
50,00:30:00,C,2,5.222
52,00:30:00,E,2,2.541
54,00:30:00,G,2,2.926
56,00:30:00,I,2,19.612000000000002
58,00:30:00,K,2,20.517
60,00:30:00,M,2,2.5980000000000003
62,00:30:00,O,2,2.798
64,00:40:00,A,2,6.343
66,00:40:00,C,2,6.809
68,00:40:00,E,2,2.681
70,00:40:00,G,2,3.122
72,00:40:00,I,2,27.304000000000002
74,00:40:00,K,2,27.41
76,00:40:00,M,2,2.702
78,00:40:00,O,2,2.641
80,00:50:00,A,2,7.942
82,00:50:00,C,2,8.217
84,00:50:00,E,2,2.761
86,00:50:00,G,2,2.9339999999999997
88,00:50:00,I,2,36.208
90,00:50:00,K,2,36.919000000000004
92,00:50:00,M,2,2.8480000000000003
94,00:50:00,O,2,2.653
96,01:00:00,A,2,9.468
98,01:00:00,C,2,9.985
100,01:00:00,E,2,2.448
102,01:00:00,G,2,3.1519999999999997
104,01:00:00,I,2,46.367
106,01:00:00,K,2,47.078
108,01:00:00,M,2,2.8110000000000004
110,01:00:00,O,2,2.752
112,01:10:00,A,2,11.09
114,01:10:00,C,2,12.693
116,01:10:00,E,2,2.719
118,01:10:00,G,2,3.141
120,01:10:00,I,2,57.18
122,01:10:00,K,2,57.525
124,01:10:00,M,2,2.6710000000000003
126,01:10:00,O,2,2.64
128,01:20:00,A,2,13.542
130,01:20:00,C,2,14.42
132,01:20:00,E,2,2.589
134,01:20:00,G,2,3.093
136,01:20:00,I,2,68.89
138,01:20:00,K,2,69.955
140,01:20:00,M,2,2.785
142,01:20:00,O,2,2.84
144,01:30:00,A,2,15.716
146,01:30:00,C,2,17.354
148,01:30:00,E,2,2.719
150,01:30:00,G,2,2.863
152,01:30:00,I,2,83.445
154,01:30:00,K,2,82.228
156,01:30:00,M,2,2.9019999999999997
158,01:30:00,O,2,2.9210000000000003
160,01:40:00,A,2,18.824
162,01:40:00,C,2,19.93
164,01:40:00,E,2,2.594
166,01:40:00,G,2,3.0610000000000004
168,01:40:00,I,2,96.639
170,01:40:00,K,2,96.35600000000001
172,01:40:00,M,2,2.853
174,01:40:00,O,2,2.853
176,01:50:00,A,2,21.901
178,01:50:00,C,2,23.590999999999998
180,01:50:00,E,2,2.602
182,01:50:00,G,2,3.299
184,01:50:00,I,2,110.48100000000001
186,01:50:00,K,2,108.542
188,01:50:00,M,2,2.929
190,01:50:00,O,2,2.698
192,02:00:00,A,2,25.483
194,02:00:00,C,2,28.135
196,02:00:00,E,2,2.696
198,02:00:00,G,2,3.167
200,02:00:00,I,2,123.291
202,02:00:00,K,2,123.075
204,02:00:00,M,2,2.84
206,02:00:00,O,2,3.025
208,02:10:00,A,2,29.325
210,02:10:00,C,2,32.814
212,02:10:00,E,2,2.753
214,02:10:00,G,2,3.255
216,02:10:00,I,2,139.407
218,02:10:00,K,2,136.82299999999998
220,02:10:00,M,2,3.174
222,02:10:00,O,2,3.123
224,02:20:00,A,2,34.101
226,02:20:00,C,2,36.749
228,02:20:00,E,2,2.685
230,02:20:00,G,2,3.1519999999999997
232,02:20:00,I,2,148.731
234,02:20:00,K,2,150.957
236,02:20:00,M,2,3.033
238,02:20:00,O,2,2.9389999999999996
240,02:30:00,A,2,38.178000000000004
242,02:30:00,C,2,42.161
244,02:30:00,E,2,2.8480000000000003
246,02:30:00,G,2,3.347
248,02:30:00,I,2,162.503
250,02:30:00,K,2,162.141
252,02:30:00,M,2,3.139
254,02:30:00,O,2,3.102
256,02:40:00,A,2,43.244
258,02:40:00,C,2,47.946999999999996
260,02:40:00,E,2,2.835
262,02:40:00,G,2,3.3939999999999997
264,02:40:00,I,2,172.577
266,02:40:00,K,2,171.535
268,02:40:00,M,2,3.2119999999999997
270,02:40:00,O,2,3.0980000000000003
272,02:50:00,A,2,48.034
274,02:50:00,C,2,52.955
276,02:50:00,E,2,2.852
278,02:50:00,G,2,3.3789999999999996
280,02:50:00,I,2,181.33599999999998
282,02:50:00,K,2,180.46200000000002
284,02:50:00,M,2,3.313
286,02:50:00,O,2,3.179
288,03:00:00,A,2,53.028
290,03:00:00,C,2,59.568000000000005
292,03:00:00,E,2,2.932
294,03:00:00,G,2,3.489
296,03:00:00,I,2,190.132
298,03:00:00,K,2,188.84799999999998
300,03:00:00,M,2,3.185
302,03:00:00,O,2,3.403
304,03:10:00,A,2,58.544
306,03:10:00,C,2,64.865
308,03:10:00,E,2,2.8139999999999996
310,03:10:00,G,2,3.378
312,03:10:00,I,2,195.805
314,03:10:00,K,2,194.46900000000002
316,03:10:00,M,2,3.446
318,03:10:00,O,2,3.523
320,03:20:00,A,2,64.471
322,03:20:00,C,2,72.20100000000001
324,03:20:00,E,2,3.0039999999999996
326,03:20:00,G,2,3.5789999999999997
328,03:20:00,I,2,203.22099999999998
330,03:20:00,K,2,204.045
332,03:20:00,M,2,3.6260000000000003
334,03:20:00,O,2,3.615
336,03:30:00,A,2,70.08800000000001
338,03:30:00,C,2,77.918
340,03:30:00,E,2,3.071
342,03:30:00,G,2,3.639
344,03:30:00,I,2,208.46200000000002
346,03:30:00,K,2,208.263
348,03:30:00,M,2,3.778
350,03:30:00,O,2,3.6489999999999996
352,03:40:00,A,2,77.60300000000001
354,03:40:00,C,2,85.304
356,03:40:00,E,2,3.2310000000000003
358,03:40:00,G,2,3.9930000000000003
360,03:40:00,I,2,215.487
362,03:40:00,K,2,217.38400000000001
364,03:40:00,M,2,3.679
366,03:40:00,O,2,3.767
368,03:50:00,A,2,83.32600000000001
370,03:50:00,C,2,92.785
372,03:50:00,E,2,3.198
374,03:50:00,G,2,3.6439999999999997
376,03:50:00,I,2,220.713
378,03:50:00,K,2,219.553
380,03:50:00,M,2,3.932
