,Unnamed: 0,time,row_384,column_384,rfu_value,gRNA_used,target_added,target_DNA,gRNA_target
0,0,0:00:00,A,2,285.627,m1,on-target,Major,Major
1,1,0:00:00,B,2,9.372,m1,off-target,Infantum,Major
2,2,0:00:00,C,2,11.103,m1,off-target,Tropica,Major
3,3,0:00:00,D,2,10.247,m1,no_target,none,Major
4,4,0:00:00,A,4,342.492,m2,on-target,Major,Major
5,5,0:00:00,B,4,44.721,m2,off-target,Infantum,Major
6,6,0:00:00,C,4,376.321,m2,off-target,Tropica,Major
7,7,0:00:00,D,4,9.065,m2,no_target,none,Major
8,8,0:00:00,A,6,447.29,m3,on-target,Major,Major
9,9,0:00:00,B,6,8.731,m3,off-target,Infantum,Major
10,10,0:00:00,C,6,119.806,m3,off-target,Tropica,Major
11,11,0:00:00,D,6,8.412,m3,no_target,none,Major
12,12,0:00:00,A,8,6.447,i1,off-target,Major,Infantum
13,13,0:00:00,B,8,177.898,i1,on-target,Infantum,Infantum
14,14,0:00:00,C,8,23.084,i1,off-target,Tropica,Infantum
15,15,0:00:00,D,8,7.108,i1,no_target,none,Infantum
16,16,0:00:00,A,10,5.763,i2,off-target,Major,Infantum
17,17,0:00:00,B,10,351.06,i2,on-target,Infantum,Infantum
18,18,0:00:00,C,10,6.852,i2,off-target,Tropica,Infantum
19,19,0:00:00,D,10,5.432,i2,no_target,none,Infantum
20,20,0:00:00,A,12,10.278,i3,off-target,Major,Infantum
21,21,0:00:00,B,12,127.314,i3,on-target,Infantum,Infantum
22,22,0:00:00,C,12,39.84,i3,off-target,Tropica,Infantum
23,23,0:00:00,D,12,9.726,i3,no_target,none,Infantum
24,24,0:00:00,A,14,5.647,i4,off-target,Major,Infantum
25,25,0:00:00,B,14,280.2,i4,on-target,Infantum,Infantum
26,26,0:00:00,C,14,7.603,i4,off-target,Tropica,Infantum
27,27,0:00:00,D,14,5.925,i4,no_target,none,Infantum
28,28,0:00:00,A,16,15.58,i5,off-target,Major,Infantum
29,29,0:00:00,B,16,191.36900000000003,i5,on-target,Infantum,Infantum
30,30,0:00:00,C,16,11.175999999999998,i5,off-target,Tropica,Infantum
31,31,0:00:00,D,16,9.148,i5,no_target,none,Infantum
32,32,0:00:00,A,18,9.451,t1,off-target,Major,Tropica
33,33,0:00:00,B,18,7.47,t1,off-target,Infantum,Tropica
34,34,0:00:00,C,18,292.997,t1,on-target,Tropica,Tropica
35,35,0:00:00,D,18,8.702,t1,no_target,none,Tropica
36,36,0:00:00,A,20,7.145,t2,off-target,Major,Tropica
37,37,0:00:00,B,20,7.732,t2,off-target,Infantum,Tropica
38,38,0:00:00,C,20,404.677,t2,on-target,Tropica,Tropica
