,time,row_384,column_384,rfu_value
0,00:00:00,H,1,8.158
1,00:00:00,J,1,8.068
2,00:00:00,L,1,55.483
3,00:00:00,N,1,9.774
4,00:00:00,H,3,48.482
5,00:00:00,J,3,27.951
6,00:00:00,L,3,85.993
7,00:00:00,N,3,8.297
8,00:00:00,H,5,15.053
9,00:00:00,J,5,19.725
10,00:00:00,L,5,66.594
11,00:00:00,N,5,6.635
12,00:00:00,H,7,6.457
13,00:00:00,J,7,6.334
14,00:00:00,L,7,106.533
15,00:00:00,N,7,6.324
16,00:00:00,H,9,11.476
17,00:00:00,J,9,8.301
18,00:00:00,L,9,158.144
19,00:00:00,N,9,6.749
20,00:00:00,H,11,14.346
21,00:00:00,J,11,6.661
22,00:00:00,L,11,15.356
23,00:00:00,N,11,10.317
24,00:00:00,H,13,6.011
25,00:00:00,J,13,6.534
26,00:00:00,L,13,103.14
27,00:00:00,N,13,6.678
28,00:00:00,H,15,60.774
29,00:00:00,J,15,6.654
30,00:00:00,L,15,52.53
31,00:00:00,N,15,7.139
32,00:00:00,H,17,8.592
33,00:00:00,J,17,7.773
34,00:00:00,L,17,51.339
35,00:00:00,N,17,8.291
36,00:00:00,H,19,35.565
37,00:00:00,J,19,30.245
38,00:00:00,L,19,100.638
39,00:00:00,N,19,7.775
40,00:00:00,H,21,7.005
41,00:00:00,J,21,6.837
42,00:00:00,L,21,111.096
43,00:00:00,N,21,7.068
44,00:00:00,H,23,5.784
45,00:00:00,J,23,5.763
46,00:00:00,L,23,6.131
47,00:00:00,N,23,6.616
48,00:10:00,H,1,13.591
49,00:10:00,J,1,14.33
50,00:10:00,L,1,202.322
51,00:10:00,N,1,22.673
52,00:10:00,H,3,120.35
53,00:10:00,J,3,105.685
54,00:10:00,L,3,312.377
55,00:10:00,N,3,18.892
56,00:10:00,H,5,41.875
57,00:10:00,J,5,65.787
58,00:10:00,L,5,269.917
59,00:10:00,N,5,9.49
60,00:10:00,H,7,8.754
61,00:10:00,J,7,8.732
62,00:10:00,L,7,354.948
63,00:10:00,N,7,8.154
64,00:10:00,H,9,16.471
65,00:10:00,J,9,12.05
66,00:10:00,L,9,468.749
67,00:10:00,N,9,10.361
68,00:10:00,H,11,35.746
69,00:10:00,J,11,9.754
70,00:10:00,L,11,51.024
71,00:10:00,N,11,32.089
72,00:10:00,H,13,7.464
73,00:10:00,J,13,9.423
74,00:10:00,L,13,389.187
75,00:10:00,N,13,11.325
76,00:10:00,H,15,173.202
77,00:10:00,J,15,9.195
78,00:10:00,L,15,200.999
79,00:10:00,N,15,14.123
80,00:10:00,H,17,16.089
81,00:10:00,J,17,13.168
82,00:10:00,L,17,196.326
83,00:10:00,N,17,20.725
84,00:10:00,H,19,95.796
85,00:10:00,J,19,116.034
86,00:10:00,L,19,386.545
87,00:10:00,N,19,18.429
88,00:10:00,H,21,10.624
89,00:10:00,J,21,9.006
90,00:10:00,L,21,403.292
91,00:10:00,N,21,11.813
92,00:10:00,H,23,5.432
93,00:10:00,J,23,5.362
94,00:10:00,L,23,5.74
95,00:10:00,N,23,6.325
96,00:20:00,H,1,23.336
97,00:20:00,J,1,23.01
98,00:20:00,L,1,336.515
99,00:20:00,N,1,43.11
100,00:20:00,H,3,184.151
101,00:20:00,J,3,198.047
102,00:20:00,L,3,429.467
103,00:20:00,N,3,37.382
104,00:20:00,H,5,82.558
105,00:20:00,J,5,131.825
106,00:20:00,L,5,413.543
107,00:20:00,N,5,14.754
108,00:20:00,H,7,11.443
109,00:20:00,J,7,11.498
110,00:20:00,L,7,437.032
111,00:20:00,N,7,12.102
112,00:20:00,H,9,21.514
113,00:20:00,J,9,15.998
114,00:20:00,L,9,521.08
115,00:20:00,N,9,16.88
116,00:20:00,H,11,64.459
117,00:20:00,J,11,14.025
118,00:20:00,L,11,104.035
119,00:20:00,N,11,67.107
120,00:20:00,H,13,10.928
121,00:20:00,J,13,13.652
122,00:20:00,L,13,499.355
123,00:20:00,N,13,19.836
124,00:20:00,H,15,270.634
125,00:20:00,J,15,12.061
126,00:20:00,L,15,364.472
127,00:20:00,N,15,27.045
128,00:20:00,H,17,28.503
129,00:20:00,J,17,23.973
130,00:20:00,L,17,348.468
131,00:20:00,N,17,43.296
132,00:20:00,H,19,162.258
133,00:20:00,J,19,215.688
134,00:20:00,L,19,468.087
135,00:20:00,N,19,37.592
136,00:20:00,H,21,16.168
137,00:20:00,J,21,12.314
138,00:20:00,L,21,497.741
139,00:20:00,N,21,18.96
140,00:20:00,H,23,5.052
141,00:20:00,J,23,5.257
142,00:20:00,L,23,5.375
143,00:20:00,N,23,6.265
144,00:30:00,H,1,35.446
145,00:30:00,J,1,33.688
146,00:30:00,L,1,420.571
147,00:30:00,N,1,67.465
148,00:30:00,H,3,246.741
149,00:30:00,J,3,282.125
150,00:30:00,L,3,464.994
151,00:30:00,N,3,59.993
152,00:30:00,H,5,134.024
153,00:30:00,J,5,206.824
154,00:30:00,L,5,465.87
155,00:30:00,N,5,21.604
156,00:30:00,H,7,15.069
157,00:30:00,J,7,15.805
158,00:30:00,L,7,455.555
159,00:30:00,N,7,16.567
160,00:30:00,H,9,27.489
161,00:30:00,J,9,20.798
162,00:30:00,L,9,524.802
163,00:30:00,N,9,25.398
164,00:30:00,H,11,94.927
165,00:30:00,J,11,20.448
166,00:30:00,L,11,161.925
167,00:30:00,N,11,107.787
168,00:30:00,H,13,15.974
169,00:30:00,J,13,19.553
170,00:30:00,L,13,505.751
171,00:30:00,N,13,31.288
172,00:30:00,H,15,349.759
173,00:30:00,J,15,16.648
174,00:30:00,L,15,456.455
175,00:30:00,N,15,42.311
176,00:30:00,H,17,44.656
177,00:30:00,J,17,38.456
178,00:30:00,L,17,442.873
179,00:30:00,N,17,72.533
180,00:30:00,H,19,230.227
181,00:30:00,J,19,299.708
